measured_on,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2023-05-01,3.875,60.0,60.0
2023-06-01,4.476,71.0,71.0
2023-07-01,4.909,77.0,77.0
2023-08-01,5.403,85.0,85.0
2023-09-01,4.552,72.0,72.0
2023-10-01,3.36,53.0,53.0
2023-11-01,3.115,49.0,49.0
2023-12-01,3.31,52.0,52.0
2024-01-01,7.69,115.0,115.0
2024-02-01,5.309,79.0,79.0
2024-03-01,6.025,90.0,90.0
2024-04-01,5.661,84.0,84.0
2024-05-01,7.563,113.0,113.0
2024-06-01,8.533,127.0,127.0
2024-07-01,9.223,137.0,137.0
2024-08-01,10.421,155.0,155.0
2024-09-01,8.647,128.0,128.0
2024-10-01,7.49,112.0,112.0
2024-11-01,6.001,89.0,89.0
2024-12-01,6.437,96.0,96.0
