measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,,,,39.0,389.0,389.0,365.0,8662.0,8662.0,84.0,0.0,0.0,152.0,1510.0,1510.0
2003-02-01,0.0,0.0,0.0,,,,5.0,58.0,58.0,2310.0,35924.0,35924.0,672.0,0.0,0.0,35.0,384.0,384.0
2003-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,1485.0,26320.0,26320.0,443.0,0.0,0.0,149.0,1525.0,1525.0
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-108.0,0.0,0.0,,,,154.0,1430.0,1430.0
2003-05-01,0.0,0.0,0.0,0.0,0.0,0.0,52.0,557.0,557.0,0.0,0.0,0.0,,,,1010.0,10968.0,10968.0
2003-06-01,0.0,0.0,0.0,,,,20.0,215.0,215.0,,,,95.0,0.0,0.0,842.0,9352.0,9352.0
2003-07-01,0.0,0.0,0.0,,,,23.0,244.0,244.0,3992.0,65456.0,65456.0,1263.0,0.0,0.0,979.0,10871.0,10871.0
2003-08-01,0.0,0.0,0.0,,,,7.0,75.0,75.0,2395.0,40353.0,40353.0,704.0,0.0,0.0,532.0,5806.0,5806.0
2003-09-01,0.0,0.0,0.0,,,,22.0,220.0,220.0,6003.0,95328.0,95328.0,1936.0,0.0,0.0,651.0,6864.0,6864.0
2003-10-01,0.0,0.0,0.0,,,,4.0,52.0,52.0,,,,84.0,0.0,0.0,128.0,1401.0,1401.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,4.0,46.0,46.0,-156.0,0.0,0.0,,,,29.0,309.0,309.0
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-172.0,0.0,0.0,,,,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,,,,0.27,3.0,3.0,14.404,2636.0,2636.0,21.744,0.0,0.0,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,,,,0.153,2.0,2.0,14.478000000000002,2650.0,2650.0,20.342000000000002,0.0,0.0,38.0,344.0,344.0
2004-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,14.279,2613.0,2613.0,37.216,0.0,0.0,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,,,,0.314,3.0,3.0,15.972000000000001,2923.0,2923.0,35.837,0.0,0.0,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,,,,1.22,12.0,12.0,17.927,3281.0,3281.0,46.279,0.0,0.0,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,,,,19.067,194.0,194.0,20.296,3714.0,3714.0,59.816,0.0,0.0,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,,,,27.848000000000003,283.0,283.0,21.224,3884.0,3884.0,66.02,0.0,0.0,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,,,,0.307,3.0,3.0,20.682000000000002,3785.0,3785.0,61.018,0.0,0.0,91.2,826.0,826.0
2004-09-01,0.0,0.0,0.0,,,,1.921,20.0,20.0,20.285,3712.0,3712.0,59.232,0.0,0.0,269.8,2445.0,2445.0
2004-10-01,0.0,0.0,0.0,,,,0.29200000000000004,3.0,3.0,19.924,3646.0,3646.0,62.139,0.0,0.0,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,,,,0.41600000000000004,4.0,4.0,15.699000000000002,2873.0,2873.0,40.476,0.0,0.0,3.8,34.0,34.0
2004-12-01,0.0,0.0,0.0,,,,0.19,2.0,2.0,14.831000000000001,2714.0,2714.0,29.88,0.0,0.0,34.2,310.0,310.0
2005-01-01,0.098,1.7,1.7,0.098,1.7,1.7,174.208,1628.91,1628.91,734.2710000000001,6120.87,6120.87,167.012,6120.87,6120.87,,,
2005-02-01,0.05,0.86,0.86,0.05,0.86,0.86,88.415,826.72,826.72,609.55,5081.2,5081.2,138.644,5081.2,5081.2,,,
