measured_on,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed"
2003-01-01,,,,15167.279,193288.0,193288.0,1.9140000000000001,35.0,35.0,,,
2003-02-01,,,,13384.875,170574.0,170574.0,1.689,31.0,31.0,,,
2003-03-01,,,,13772.586,175515.0,175515.0,1.738,32.0,32.0,,,
2003-04-01,,,,12368.95,157627.0,157627.0,1.5610000000000002,28.0,28.0,,,
2003-05-01,,,,12622.389,160857.0,160857.0,1.593,29.0,29.0,,,
2003-06-01,,,,13386.508,170595.0,170595.0,1.69,31.0,31.0,,,
2003-07-01,,,,15481.663,197295.0,197295.0,1.9540000000000002,36.0,36.0,,,
2003-08-01,,,,16414.264,209180.0,209180.0,2.072,38.0,38.0,,,
2003-09-01,,,,13754.762,175288.0,175288.0,1.736,32.0,32.0,,,
2003-10-01,,,,12902.37,164425.0,164425.0,1.6280000000000001,30.0,30.0,,,
2003-11-01,,,,12859.267,163876.0,163876.0,1.623,30.0,30.0,,,
2003-12-01,,,,14272.087,181880.0,181880.0,1.8010000000000002,33.0,33.0,,,
2004-01-01,,,,16184.793000000001,217899.0,217899.0,11.541,339.0,339.0,,,
2004-02-01,,,,13946.46,187764.0,187764.0,3.036,89.0,89.0,,,
2004-03-01,,,,10098.898,135963.0,135963.0,0.49200000000000005,14.0,14.0,,,
2004-04-01,,,,9368.024000000001,126123.0,126123.0,2.841,83.0,83.0,,,
2004-05-01,,,,12944.183,174270.0,174270.0,3.8070000000000004,112.0,112.0,,,
2004-06-01,,,,13487.546,181585.0,181585.0,0.028,1.0,1.0,,,
2004-07-01,,,,14199.635,191172.0,191172.0,2.9810000000000003,87.0,87.0,,,
2004-08-01,,,,12828.082,172707.0,172707.0,1.374,40.0,40.0,,,
2004-09-01,,,,12845.037,172935.0,172935.0,0.0,0.0,0.0,,,
2004-10-01,,,,8289.423,111602.0,111602.0,0.251,7.0,7.0,,,
2004-11-01,,,,10989.124,147949.0,147949.0,0.29700000000000004,9.0,9.0,,,
2004-12-01,,,,12394.793,166873.0,166873.0,3.3520000000000003,98.0,98.0,,,
2005-01-01,,,,15450.742,206361.18,206361.18,31.702,635.73,635.73,,,
2005-02-01,,,,13452.437,179671.68,179671.68,10.892000000000001,218.41,218.41,,,
2005-03-01,,,,13956.866,186408.87,186408.87,12.072000000000001,242.09,242.09,,,
2005-04-01,,,,12438.313,166126.97,166126.97,14.623000000000001,293.24,293.24,,,
2005-05-01,,,,13654.767,182374.02,182374.02,13.581000000000001,272.34,272.34,,,
2005-06-01,,,,15208.579000000002,203126.83,203126.83,17.627000000000002,353.47,353.47,,,
2005-07-01,,,,16077.077000000001,214726.57,214726.57,17.942,359.8,359.8,,,
2005-08-01,,,,16255.95,217115.59,217115.59,21.077,422.67,422.67,,,
2005-09-01,,,,14897.223,198968.35,198968.35,13.798,276.68,276.68,,,
2005-10-01,,,,14067.637,187888.33,187888.33,15.322000000000001,307.26,307.26,,,
2005-11-01,,,,13715.294,183182.41,183182.41,12.318000000000001,247.01,247.01,,,
2005-12-01,,,,15317.112000000001,204576.41,204576.41,26.046000000000003,522.3,522.3,,,
2006-01-01,,,,14006.366,171516.0,171516.0,40.311,568.0,568.0,,,
2006-02-01,,,,13339.526,163350.0,163350.0,21.093,297.0,297.0,,,
2006-03-01,,,,13630.528,166914.0,166914.0,17.719,249.0,249.0,,,
2006-04-01,,,,11596.544,142007.0,142007.0,33.941,478.0,478.0,,,
2006-05-01,,,,12392.993,151760.0,151760.0,31.726000000000003,447.0,447.0,,,
2006-06-01,,,,13425.948,164409.0,164409.0,28.837,406.0,406.0,,,
2006-07-01,,,,15271.991,187015.0,187015.0,41.771,588.0,588.0,,,
2006-08-01,,,,15382.187,188364.0,188364.0,40.517,571.0,571.0,,,
2006-09-01,,,,12780.741,156508.0,156508.0,18.614,262.0,262.0,,,
2006-10-01,,,,13219.664,161883.0,161883.0,19.663,277.0,277.0,,,
2006-11-01,,,,13071.030999999999,160062.0,160062.0,23.154,326.0,326.0,,,
