measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2003-01-01,894.8710000000001,0.0,0.0,,,
2003-02-01,771.49,0.0,0.0,,,
2003-03-01,754.417,0.0,0.0,,,
2003-04-01,692.4440000000001,0.0,0.0,,,
2003-05-01,870.3470000000001,0.0,0.0,,,
2003-06-01,912.8380000000001,0.0,0.0,,,
2003-07-01,1010.606,0.0,0.0,,,
2003-08-01,1049.762,0.0,0.0,,,
2003-09-01,877.157,0.0,0.0,,,
2003-10-01,782.282,0.0,0.0,,,
2003-11-01,775.0010000000001,0.0,0.0,,,
2003-12-01,857.785,0.0,0.0,,,
2004-01-01,0.0,0.0,0.0,828.461,0.0,0.0
2004-02-01,0.0,0.0,0.0,828.461,0.0,0.0
2004-03-01,0.0,0.0,0.0,828.461,0.0,0.0
2004-04-01,0.0,0.0,0.0,828.461,0.0,0.0
2004-05-01,0.0,0.0,0.0,828.461,0.0,0.0
2004-06-01,0.0,0.0,0.0,828.461,0.0,0.0
2004-07-01,0.0,0.0,0.0,828.461,0.0,0.0
2004-08-01,0.0,0.0,0.0,828.461,0.0,0.0
2004-09-01,0.0,0.0,0.0,828.461,0.0,0.0
2004-10-01,0.0,0.0,0.0,828.461,0.0,0.0
2004-11-01,0.0,0.0,0.0,828.461,0.0,0.0
2004-12-01,0.0,0.0,0.0,828.461,0.0,0.0
2005-01-01,0.0,0.0,0.0,763.456,7788.01,7788.01
2005-02-01,0.0,0.0,0.0,765.596,7809.84,7809.84
2005-03-01,0.0,0.0,0.0,932.965,9517.18,9517.18
2005-04-01,0.0,0.0,0.0,848.014,8650.59,8650.59
2005-05-01,0.0,0.0,0.0,896.955,9149.84,9149.84
2005-06-01,0.0,0.0,0.0,859.149,8764.18,8764.18
2005-07-01,0.0,0.0,0.0,1016.535,10369.67,10369.67
2005-08-01,0.0,0.0,0.0,981.998,10017.36,10017.36
2005-09-01,0.0,0.0,0.0,850.534,8676.3,8676.3
2005-10-01,0.0,0.0,0.0,710.1840000000001,7244.59,7244.59
2005-11-01,0.0,0.0,0.0,832.239,8489.67,8489.67
2005-12-01,0.0,0.0,0.0,791.3760000000001,8072.83,8072.83
2006-01-01,,,,814.717,0.0,0.0
2006-02-01,,,,749.919,0.0,0.0
2006-03-01,,,,945.773,0.0,0.0
2006-04-01,,,,848.6020000000001,0.0,0.0
2006-05-01,,,,911.964,0.0,0.0
2006-06-01,,,,761.469,0.0,0.0
2006-07-01,,,,871.2080000000001,0.0,0.0
2006-08-01,,,,828.058,0.0,0.0
2006-09-01,,,,839.493,0.0,0.0
2006-10-01,,,,910.8470000000001,0.0,0.0
2006-11-01,,,,900.4,0.0,0.0
2006-12-01,,,,866.55,0.0,0.0
2007-01-01,1272.1570000000002,0.0,0.0,,,
2007-02-01,1238.391,0.0,0.0,,,
2007-03-01,1166.478,0.0,0.0,,,
2007-04-01,1165.5610000000001,0.0,0.0,,,
2007-05-01,1300.938,0.0,0.0,,,
2007-06-01,1126.344,0.0,0.0,,,
2007-07-01,1213.6280000000002,0.0,0.0,,,
2007-08-01,1340.749,0.0,0.0,,,
2007-09-01,1044.1680000000001,0.0,0.0,,,
2007-10-01,758.027,0.0,0.0,,,
2007-11-01,813.2990000000001,0.0,0.0,,,
2007-12-01,1016.101,0.0,0.0,,,
2008-01-01,878.753,0.0,0.0,,,
2008-02-01,596.967,0.0,0.0,,,
2008-03-01,492.27200000000005,0.0,0.0,,,
2008-04-01,361.473,0.0,0.0,,,
2008-05-01,309.298,0.0,0.0,,,
2008-06-01,1081.9940000000001,0.0,0.0,,,
2008-07-01,1268.776,0.0,0.0,,,
2008-08-01,1264.662,0.0,0.0,,,
2008-09-01,786.6850000000001,0.0,0.0,,,
2008-10-01,802.8480000000001,0.0,0.0,,,
2008-11-01,886.8770000000001,0.0,0.0,,,
2008-12-01,594.005,0.0,0.0,,,
2009-01-01,161.614,0.0,0.0,,,
2009-02-01,176.567,0.0,0.0,,,
2009-03-01,177.34900000000002,0.0,0.0,,,
2009-04-01,170.591,0.0,0.0,,,
2009-05-01,170.321,0.0,0.0,,,
2009-06-01,269.845,0.0,0.0,,,
2009-07-01,261.085,0.0,0.0,,,
2009-08-01,266.567,0.0,0.0,,,
2009-09-01,206.538,0.0,0.0,,,
2009-10-01,138.416,0.0,0.0,,,
2009-11-01,147.00900000000001,0.0,0.0,,,
2009-12-01,173.368,0.0,0.0,,,
2010-01-01,0.0,0.0,0.0,,,
2010-02-01,0.0,0.0,0.0,,,
2010-03-01,0.0,0.0,0.0,,,
2010-04-01,0.0,0.0,0.0,,,
2010-05-01,0.0,0.0,0.0,,,
2010-06-01,0.0,0.0,0.0,,,
2010-07-01,0.0,0.0,0.0,,,
2010-08-01,0.0,0.0,0.0,,,
2010-09-01,0.0,0.0,0.0,,,
2010-10-01,0.0,0.0,0.0,,,
2010-11-01,0.0,0.0,0.0,,,
2010-12-01,0.0,0.0,0.0,,,
