measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2011-01-01,4.992,59.0,99430.0,,,
2011-02-01,4.577,54.0,91162.0,,,
2011-03-01,4.425,52.0,88141.0,,,
2011-04-01,3.752,44.0,74752.0,,,
2011-05-01,3.751,44.0,74726.0,,,
2011-06-01,4.602,54.0,91648.0,,,
2011-07-01,5.644,66.0,112435.0,,,
2011-08-01,5.196,61.0,103475.0,,,
2011-09-01,4.145,49.0,82560.0,,,
2011-10-01,3.768,44.0,75034.0,,,
2011-11-01,3.058,36.0,60928.0,,,
2011-12-01,3.5,41.0,69709.0,,,
2012-01-01,0.0,90010.0,90010.0,,,
2012-02-01,0.0,86016.0,86016.0,,,
2012-03-01,0.0,75571.0,75571.0,,,
2012-04-01,0.0,79795.0,79795.0,,,
2012-05-01,0.0,80947.0,80947.0,,,
2012-06-01,0.0,91034.0,91034.0,,,
2012-07-01,0.0,116198.0,116198.0,,,
2012-08-01,0.0,111590.0,111590.0,,,
2012-09-01,0.0,68787.0,68787.0,,,
2012-10-01,0.0,65024.0,65024.0,,,
2012-11-01,0.0,73574.0,73574.0,,,
2012-12-01,0.0,93005.0,93005.0,,,
2013-01-01,780.897,10426.0,95949.0,2.796,37.0,341.0
2013-02-01,750.04,10014.0,92160.0,2.714,36.0,335.0
2013-03-01,785.674,10490.0,96563.0,2.691,36.0,329.0
2013-04-01,723.192,9656.0,88883.0,1.764,24.0,218.0
2013-05-01,744.782,9944.0,91520.0,3.728,50.0,459.0
2013-06-01,748.299,9991.0,91955.0,3.182,42.0,388.0
2013-07-01,838.557,11196.0,103040.0,4.57,61.0,564.0
2013-08-01,871.156,11631.0,107059.0,2.338,31.0,288.0
2013-09-01,722.38,9645.0,88781.0,3.131,42.0,382.0
2013-10-01,651.724,8701.0,80102.0,2.003,27.0,247.0
2013-11-01,675.078,9013.0,82970.0,2.712,36.0,335.0
2013-12-01,874.201,11672.0,107418.0,2.391,32.0,294.0
2014-01-01,935.032,10634.0,114862.0,15.881,181.0,1944.0
2014-02-01,803.351,9137.0,98670.0,8.136,93.0,1001.0
2014-03-01,843.521,9594.0,103604.0,7.771,88.0,955.0
2014-04-01,650.257,7396.0,79872.0,4.725,54.0,581.0
2014-05-01,584.438,6647.0,71776.0,4.518,51.0,558.0
2014-06-01,715.304,8135.0,87867.0,5.289,60.0,650.0
2014-07-01,807.309,9182.0,99151.0,3.499,40.0,431.0
2014-08-01,759.519,8638.0,93281.0,5.143,58.0,633.0
2014-09-01,643.836,7323.0,79088.0,2.207,25.0,270.0
2014-10-01,595.541,6773.0,73142.0,2.393,27.0,293.0
2014-11-01,709.312,8067.0,87133.0,3.135,36.0,385.0
2014-12-01,646.198,7349.0,79366.0,3.685,42.0,454.0
2015-01-01,1039.492,12188.0,110562.0,3.743,44.0,389.0
2015-02-01,1071.423,12563.0,113964.0,2.835,33.0,301.0
2015-03-01,911.199,10684.0,96928.0,3.195,37.0,342.0
2015-04-01,647.261,7589.0,68837.0,2.21,26.0,236.0
2015-05-01,584.857,6857.0,62214.0,3.471,41.0,372.0
2015-06-01,759.245,8902.0,80744.0,3.858,45.0,413.0
2015-07-01,870.334,10205.0,92573.0,4.151,49.0,443.0
2015-08-01,891.337,10451.0,94815.0,2.465,29.0,260.0
2015-09-01,869.059,10190.0,92444.0,1.927,23.0,207.0
2015-10-01,690.839,8100.0,73476.0,2.037,24.0,218.0
2015-11-01,481.957,5651.0,51261.0,3.015,35.0,319.0
2015-12-01,499.902,5861.0,53168.0,4.868,57.0,519.0
2016-01-01,850.363,3561.0,87847.0,0.0,0.0,0.0
2016-02-01,692.896,2902.0,71543.0,0.0,0.0,0.0
2016-03-01,506.117,2119.0,52265.0,0.0,0.0,0.0
2016-04-01,650.531,2724.0,67183.0,0.0,0.0,0.0
2016-05-01,588.446,2464.0,60757.0,0.0,0.0,0.0
2016-06-01,815.02,3413.0,84168.0,0.0,0.0,0.0
2016-07-01,947.141,3966.0,97801.0,0.0,0.0,0.0
2016-08-01,1024.673,4291.0,105815.0,0.0,0.0,0.0
2016-09-01,883.709,3701.0,91249.0,0.0,0.0,0.0
2016-10-01,669.039,2802.0,69098.0,0.0,0.0,0.0
2016-11-01,633.696,2654.0,65444.0,0.0,0.0,0.0
2016-12-01,889.349,3724.0,91829.0,0.0,0.0,0.0
2017-01-01,864.795,3513.0,85957.0,3.205,13.0,319.0
2017-02-01,765.0,3107.0,71946.0,0.0,0.0,0.0
2017-03-01,777.0,3156.0,80539.0,0.0,0.0,0.0
2017-04-01,775.0,3148.0,79405.0,0.0,0.0,0.0
2017-05-01,776.0,3152.0,76331.0,0.0,0.0,0.0
2017-06-01,770.299,3129.0,74441.0,4.701,19.0,454.0
2017-07-01,771.627,3134.0,66629.0,4.373,18.0,378.0
2017-08-01,800.89,3253.0,76608.0,1.11,5.0,106.0
2017-09-01,657.865,2672.0,58111.0,1.135,5.0,100.0
2017-10-01,714.977,2904.0,74189.0,1.023,4.0,106.0
2017-11-01,712.414,2894.0,71744.0,0.586,2.0,59.0
2017-12-01,882.705,3585.0,63932.0,5.295,22.0,384.0
2018-01-01,817.412,3320.0,72576.0,3.588,15.0,319.0
2018-02-01,831.032,3376.0,65873.0,0.968,4.0,77.0
2018-03-01,942.783,3829.0,77011.0,0.217,1.0,18.0
2018-04-01,504.639,2050.0,63781.0,3.361,14.0,425.0
2018-05-01,508.145,2064.0,69779.0,4.855,20.0,667.0
2018-06-01,331.003,1345.0,50854.0,1.997,8.0,307.0
2018-07-01,248.168,1008.0,51030.0,0.832,3.0,171.0
2018-08-01,331.73,1347.0,50854.0,1.27,5.0,195.0
2018-09-01,235.183,955.0,45310.0,2.817,11.0,543.0
2018-10-01,329.359,1338.0,67486.0,1.641,7.0,336.0
2018-11-01,331.796,1348.0,66629.0,2.204,9.0,443.0
2018-12-01,559.286,2272.0,58640.0,3.714,15.0,389.0
2019-01-01,607.0,2466.0,66604.0,0.0,0.0,0.0
2019-02-01,277.881,1129.0,64487.0,1.119,5.0,260.0
2019-03-01,230.895,938.0,64966.0,0.105,0.0,30.0
2019-04-01,258.722,1051.0,60908.0,1.278,5.0,301.0
2019-05-01,275.149,1118.0,64915.0,2.851,12.0,673.0
2019-06-01,689.588,2801.0,67259.0,6.412,26.0,625.0
2019-07-01,296.282,1203.0,57305.0,7.718,31.0,1493.0
2019-08-01,78.027,317.0,56801.0,0.973,4.0,708.0
2019-09-01,136.469,554.0,54558.0,0.531,2.0,212.0
2019-10-01,0.0,0.0,55314.0,0.0,0.0,106.0
2019-11-01,0.0,0.0,59976.0,0.0,0.0,1752.0
2019-12-01,0.0,0.0,59699.0,0.0,0.0,0.0
2020-01-01,0.0,0.0,59170.0,0.0,0.0,572.0
2020-02-01,0.0,0.0,55314.0,0.0,0.0,384.0
2020-03-01,0.0,0.0,57380.0,0.0,0.0,307.0
2020-04-01,0.0,0.0,56347.0,0.0,0.0,94.0
2020-05-01,0.0,0.0,50148.0,0.0,0.0,761.0
2020-06-01,0.0,0.0,45788.0,0.0,0.0,242.0
2020-07-01,0.0,0.0,25099.0,0.0,0.0,313.0
2020-08-01,0.0,0.0,25906.0,0.0,0.0,454.0
2020-09-01,0.0,0.0,34322.0,0.0,0.0,590.0
2020-10-01,0.0,0.0,54004.0,0.0,0.0,319.0
2020-11-01,0.0,0.0,24772.0,0.0,0.0,313.0
2020-12-01,0.0,0.0,42210.0,0.0,0.0,1097.0
2021-01-01,0.0,0.0,52920.0,0.0,0.0,820.0
