measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Waste/Other Oil Generation,Waste/Other Oil Quantity Consumed For Electricity,Waste/Other Oil Total Fuel Consumed
2007-01-01,1.355,17.0,17.0,929.254,10655.0,10655.0
2007-02-01,5.164000000000001,58.0,58.0,3541.949,40606.0,40606.0
2007-03-01,1.508,17.0,17.0,1033.967,11855.0,11855.0
2007-04-01,1.087,12.0,12.0,745.6890000000001,8549.0,8549.0
2007-05-01,0.224,0.0,0.0,153.63400000000001,1763.0,1763.0
2007-06-01,0.685,6.0,6.0,469.928,5388.0,5388.0
2007-07-01,0.302,6.0,6.0,207.393,2378.0,2378.0
2007-08-01,1.4360000000000002,17.0,17.0,985.1740000000001,11293.0,11293.0
2007-09-01,0.18100000000000002,0.0,0.0,123.998,1421.0,1421.0
2007-10-01,0.355,6.0,6.0,243.43200000000002,2790.0,2790.0
2007-11-01,0.113,0.0,0.0,77.505,887.0,887.0
2007-12-01,0.23800000000000002,0.0,0.0,163.13,1868.0,1868.0
2008-01-01,0.0,0.0,0.0,720.7810000000001,7784.0,7784.0
2008-02-01,0.0,0.0,0.0,282.42900000000003,3045.0,3045.0
2008-03-01,0.0,0.0,0.0,40.782000000000004,441.0,441.0
2008-04-01,0.0,0.0,0.0,85.181,916.0,916.0
2008-05-01,0.0,0.0,0.0,71.19200000000001,766.0,766.0
2008-06-01,0.0,0.0,0.0,764.6310000000001,8248.0,8248.0
2008-07-01,0.0,0.0,0.0,373.146,4025.0,4025.0
2008-08-01,0.0,0.0,0.0,148.059,1595.0,1595.0
2008-09-01,0.0,0.0,0.0,189.473,2042.0,2042.0
2008-10-01,0.0,0.0,0.0,54.402,586.0,586.0
2008-11-01,0.0,0.0,0.0,811.966,8758.0,8758.0
2008-12-01,0.0,0.0,0.0,653.9580000000001,7053.0,7053.0
2009-01-01,0.0,0.0,0.0,1613.9070000000002,14233.0,14233.0
2009-02-01,0.0,0.0,0.0,592.3960000000001,5226.0,5226.0
2009-03-01,0.0,0.0,0.0,468.118,4130.0,4130.0
2009-04-01,0.0,0.0,0.0,43.38,383.0,383.0
2009-05-01,0.0,0.0,0.0,122.536,1079.0,1079.0
2009-06-01,0.0,0.0,0.0,84.45700000000001,742.0,742.0
2009-07-01,0.0,0.0,0.0,152.48,1346.0,1346.0
2009-08-01,0.0,0.0,0.0,301.971,2662.0,2662.0
2009-09-01,0.0,0.0,0.0,38.717,342.0,342.0
2009-10-01,0.0,0.0,0.0,49.649,435.0,435.0
2009-11-01,0.0,0.0,0.0,63.742000000000004,563.0,563.0
2009-12-01,0.0,0.0,0.0,78.647,696.0,696.0
2010-01-01,15.155000000000001,151.0,151.0,534.544,5313.0,5313.0
2010-02-01,8.081,81.0,81.0,285.04200000000003,2830.0,2830.0
2010-03-01,1.895,17.0,17.0,66.855,667.0,667.0
2010-04-01,1.877,17.0,17.0,66.206,655.0,655.0
2010-05-01,4.42,46.0,46.0,155.916,1549.0,1549.0
2010-06-01,22.54,226.0,226.0,795.0210000000001,7900.0,7900.0
2010-07-01,31.824,319.0,319.0,1122.473,11153.0,11153.0
2010-08-01,17.756,174.0,174.0,626.273,6223.0,6223.0
2010-09-01,14.173,139.0,139.0,499.913,4965.0,4965.0
2010-10-01,3.08,29.0,29.0,108.623,1079.0,1079.0
2010-11-01,5.492,52.0,52.0,193.71900000000002,1926.0,1926.0
2010-12-01,34.824000000000005,348.0,348.0,1228.298,12203.0,12203.0
2011-01-01,45.027,439.0,439.0,40.64,402.0,402.0
2011-02-01,6.054,63.0,63.0,5.464,54.0,54.0
2011-03-01,12.872,125.0,125.0,11.618,114.0,114.0
2011-04-01,5.479,57.0,57.0,4.946,48.0,48.0
2011-05-01,28.098,279.0,279.0,25.361,252.0,252.0
2011-06-01,32.908,325.0,325.0,29.702,294.0,294.0
2011-07-01,58.804,581.0,581.0,53.076,528.0,528.0
2011-08-01,39.346,388.0,388.0,35.513,354.0,354.0
2011-09-01,6.118,63.0,63.0,5.522,54.0,54.0
2011-10-01,12.48,125.0,125.0,11.264,114.0,114.0
2011-11-01,10.261,103.0,103.0,9.261,90.0,90.0
2011-12-01,9.033,91.0,91.0,8.153,78.0,78.0
2012-01-01,9.62,52.0,52.0,0.0,0.0,0.0
2012-02-01,12.093,75.0,75.0,0.0,0.0,0.0
2012-03-01,4.289,29.0,29.0,0.0,0.0,0.0
2012-04-01,5.357,35.0,35.0,0.0,0.0,0.0
2012-05-01,10.78,70.0,70.0,0.0,0.0,0.0
2012-06-01,27.913,174.0,174.0,0.0,0.0,0.0
2012-07-01,70.882,447.0,447.0,0.0,0.0,0.0
2012-08-01,7.594,46.0,46.0,0.0,0.0,0.0
2012-09-01,10.949,70.0,70.0,0.0,0.0,0.0
2012-10-01,10.376,64.0,64.0,0.0,0.0,0.0
2012-11-01,6.969,46.0,46.0,0.0,0.0,0.0
2012-12-01,5.178,35.0,35.0,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01,59.849,1219.0,1219.0,0.0,0.0,0.0
2014-02-01,6.584,138.0,138.0,0.0,0.0,0.0
2014-03-01,8.822,184.0,184.0,0.0,0.0,0.0
2014-04-01,0.991,23.0,23.0,0.0,0.0,0.0
2014-05-01,1.328,29.0,29.0,0.0,0.0,0.0
2014-06-01,1.17,23.0,23.0,0.0,0.0,0.0
2014-07-01,7.689,161.0,161.0,0.0,0.0,0.0
2014-08-01,4.264,86.0,86.0,0.0,0.0,0.0
2014-09-01,1.535,35.0,35.0,0.0,0.0,0.0
2014-10-01,2.512,52.0,52.0,0.0,0.0,0.0
