measured_on,Agricultural By-Products Generation,Agricultural By-Products Quantity Consumed For Electricity,Agricultural By-Products Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,643.0,5024.0,83544.0,,,
2001-02-01,650.0,5079.0,84454.0,,,
2001-03-01,618.0,4829.0,80296.0,,,
2001-04-01,581.0,4540.0,75489.0,,,
2001-05-01,663.0,5181.0,86143.0,,,
2001-06-01,637.0,4978.0,82765.0,,,
2001-07-01,502.0,3923.0,65224.0,,,
2001-08-01,559.0,4368.0,72630.0,,,
2001-09-01,746.0,5829.0,96927.0,,,
2001-10-01,683.0,5337.0,88741.0,,,
2001-11-01,750.0,5861.0,97446.0,,,
2001-12-01,633.0,4946.0,82245.0,,,
2002-01-01,177.656,1446.0,22702.0,,,
2002-02-01,0.0,0.0,0.0,,,
2002-03-01,7.682,63.0,2800.0,,,
2002-04-01,0.0,0.0,0.0,,,
2002-05-01,0.0,0.0,0.0,,,
2002-06-01,48.015,391.0,6136.0,,,
2002-07-01,176.695,1840.0,4270.0,,,
2002-08-01,0.0,0.0,0.0,,,
2002-09-01,0.0,0.0,0.0,,,
2002-10-01,0.0,0.0,0.0,,,
2002-11-01,0.0,0.0,0.0,,,
2002-12-01,0.0,0.0,0.0,,,
2004-01-01,466.89300000000003,2142.01,51952.5,,,
2004-02-01,466.89300000000003,2142.01,51952.5,,,
2004-03-01,466.89300000000003,2142.01,51952.5,,,
2004-04-01,466.89300000000003,2142.01,51952.5,,,
2004-05-01,466.89300000000003,2142.01,51952.5,,,
2004-06-01,466.89300000000003,2142.01,51952.5,,,
2004-07-01,466.89300000000003,2142.01,51952.5,,,
2004-08-01,466.89300000000003,2142.01,51952.5,,,
2004-09-01,466.89300000000003,2142.01,51952.5,,,
2004-10-01,466.89300000000003,2142.01,51952.5,,,
2004-11-01,466.89300000000003,2142.01,51952.5,,,
2004-12-01,466.89300000000003,2142.01,51952.5,,,
2005-01-01,780.9720000000001,3582.95,92571.6,,,
2005-02-01,696.6890000000001,3196.27,82581.15,,,
2005-03-01,795.715,3650.59,94318.95,,,
2005-04-01,794.07,3643.04,94124.1,,,
2005-05-01,872.965,4004.99,103475.7,,,
2005-06-01,864.856,3967.79,102514.5,,,
2005-07-01,895.5120000000001,4108.43,106148.25,,,
2005-08-01,891.464,4089.86,105668.55,,,
2005-09-01,839.753,3852.62,99539.1,,,
2005-10-01,847.6690000000001,3888.94,100477.35,,,
2005-11-01,853.7460000000001,3916.82,101197.65,,,
2005-12-01,855.65,3925.55,101423.25,,,
2006-01-01,366.315,1680.58,121069.35,0.0,0.0,0.0
2006-02-01,328.075,1505.14,108430.8,0.0,0.0,0.0
2006-03-01,294.538,1351.28,97346.7,0.0,0.0,0.0
2006-04-01,267.783,1228.54,88504.05,0.0,0.0,0.0
2006-05-01,311.647,1429.77,103001.25,0.0,0.0,0.0
2006-06-01,211.958,972.42,70053.45,0.0,0.0,0.0
2006-07-01,281.136,1289.8,92917.2,0.0,0.0,0.0
2006-08-01,276.337,1267.78,91331.1,0.0,0.0,0.0
2006-09-01,256.97,1178.93,84930.15,0.0,0.0,0.0
2006-10-01,294.469,1350.97,97324.05,0.0,0.0,0.0
2006-11-01,323.44100000000003,1483.88,106899.3,0.0,0.0,0.0
2006-12-01,331.712,1521.83,109632.75,0.0,0.0,0.0
2007-01-01,1108.528,5198.0,55182.0,0.0,0.0,0.0
2007-02-01,1006.258,4720.0,50103.0,0.0,0.0,0.0
2007-03-01,1294.944,6071.0,64467.0,0.0,0.0,0.0
2007-04-01,876.08,4104.0,43622.0,0.0,0.0,0.0
2007-05-01,1051.384,4925.0,52343.0,0.0,0.0,0.0
2007-06-01,999.69,4685.0,49761.0,0.0,0.0,0.0
2007-07-01,1037.016,4856.0,51625.0,0.0,0.0,0.0
2007-08-01,1311.526,6139.0,65288.0,0.0,0.0,0.0
2007-09-01,1272.046,5951.0,63321.0,0.0,0.0,0.0
2007-10-01,1312.0,6139.0,65322.0,0.0,0.0,0.0
2007-11-01,1057.214,4959.0,52634.0,0.0,0.0,0.0
2007-12-01,1180.313,5523.0,58756.0,0.0,0.0,0.0
2008-01-01,899.123,4212.0,35226.0,0.0,0.0,0.0
2008-02-01,937.373,4391.0,36731.0,0.0,0.0,0.0
2008-03-01,1003.894,4703.0,39347.0,0.0,0.0,0.0
2008-04-01,1124.309,5267.0,44067.0,0.0,0.0,0.0
2008-05-01,1044.094,4891.0,40920.0,0.0,0.0,0.0
2008-06-01,1077.9080000000001,5049.0,42254.0,0.0,0.0,0.0
2008-07-01,1161.0240000000001,5439.0,45503.0,0.0,0.0,0.0
2008-08-01,1312.239,6147.0,51437.0,0.0,0.0,0.0
2008-09-01,1219.963,5715.0,47812.0,0.0,0.0,0.0
2008-10-01,1115.309,5224.0,43708.0,0.0,0.0,0.0
2008-11-01,1101.625,5160.0,43178.0,0.0,0.0,0.0
2008-12-01,930.139,4357.0,36457.0,0.0,0.0,0.0
2009-01-01,690.92,3237.0,26582.0,0.0,0.0,0.0
2009-02-01,705.28,3304.0,27144.0,0.0,0.0,0.0
2009-03-01,1001.947,4693.0,38563.0,0.0,0.0,0.0
2009-04-01,1080.607,5062.0,41590.0,0.0,0.0,0.0
2009-05-01,970.788,4548.0,37362.0,0.0,0.0,0.0
2009-06-01,1021.1270000000001,4783.0,39296.0,0.0,0.0,0.0
2009-07-01,1152.3210000000001,5398.0,44351.0,0.0,0.0,0.0
2009-08-01,1103.5720000000001,5170.0,42479.0,0.0,0.0,0.0
2009-09-01,1002.6310000000001,4697.0,38579.0,0.0,0.0,0.0
2009-10-01,890.7330000000001,4173.0,34273.0,0.0,0.0,0.0
2009-11-01,977.773,4580.0,37627.0,0.0,0.0,0.0
2009-12-01,974.301,4564.0,37502.0,0.0,0.0,0.0
2010-01-01,759.3760000000001,3557.0,29921.0,0.0,0.0,0.0
2010-02-01,990.028,4638.0,38969.0,0.0,0.0,0.0
2010-03-01,1137.327,5328.0,44772.0,0.0,0.0,0.0
2010-04-01,884.74,4144.0,34835.0,0.0,0.0,0.0
2010-05-01,981.601,4598.0,38641.0,0.0,0.0,0.0
2010-06-01,1102.9930000000002,5167.0,43430.0,0.0,0.0,0.0
2010-07-01,1148.155,5378.0,45193.0,0.0,0.0,0.0
2010-08-01,1172.228,5491.0,46145.0,0.0,0.0,0.0
2010-09-01,992.817,4651.0,39078.0,0.0,0.0,0.0
2010-10-01,1086.209,5088.0,42760.0,0.0,0.0,0.0
2010-11-01,1094.2160000000001,5126.0,43072.0,0.0,0.0,0.0
2010-12-01,1037.31,4859.0,40841.0,0.0,0.0,0.0
2011-01-01,729.324,3416.0,69592.0,0.0,0.0,0.0
2011-02-01,767.756,3596.0,73289.0,0.0,0.0,0.0
2011-03-01,865.402,4054.0,82618.0,0.0,0.0,0.0
2011-04-01,829.816,3887.0,79217.0,0.0,0.0,0.0
2011-05-01,779.939,3654.0,74459.0,0.0,0.0,0.0
2011-06-01,870.117,4076.0,83054.0,0.0,0.0,0.0
2011-07-01,827.886,3878.0,79030.0,0.0,0.0,0.0
2011-08-01,899.223,4212.0,85847.0,0.0,0.0,0.0
2011-09-01,805.473,3773.0,76892.0,0.0,0.0,0.0
2011-10-01,897.416,4204.0,85675.0,0.0,0.0,0.0
2011-11-01,737.625,3455.0,70418.0,0.0,0.0,0.0
2011-12-01,852.023,3991.0,81338.0,0.0,0.0,0.0
2012-01-01,464.399,2176.0,56706.0,0.0,0.0,0.0
2012-02-01,431.565,2022.0,52697.0,0.0,0.0,0.0
2012-03-01,472.946,2216.0,57736.0,0.0,0.0,0.0
2012-04-01,467.223,2189.0,57049.0,0.0,0.0,0.0
2012-05-01,420.877,1972.0,51386.0,0.0,0.0,0.0
2012-06-01,470.992,2206.0,57502.0,0.0,0.0,0.0
2012-07-01,474.619,2223.0,57954.0,0.0,0.0,0.0
2012-08-01,507.945,2380.0,62010.0,0.0,0.0,0.0
2012-09-01,460.275,2156.0,56191.0,0.0,0.0,0.0
2012-10-01,486.084,2277.0,59342.0,0.0,0.0,0.0
2012-11-01,446.459,2091.0,54506.0,0.0,0.0,0.0
2012-12-01,439.616,2059.0,53680.0,0.0,0.0,0.0
2013-01-01,434.016,2033.0,77329.0,0.0,0.0,0.0
2013-02-01,361.402,1693.0,64381.0,0.0,0.0,0.0
2013-03-01,438.699,2055.0,78140.0,0.0,0.0,0.0
2013-04-01,452.748,2121.0,80652.0,0.0,0.0,0.0
2013-05-01,411.553,1928.0,73304.0,0.0,0.0,0.0
2013-06-01,414.972,1944.0,73913.0,0.0,0.0,0.0
2013-07-01,568.404,2662.0,101244.0,0.0,0.0,0.0
2013-08-01,525.071,2459.0,93538.0,0.0,0.0,0.0
2013-09-01,475.796,2229.0,84755.0,0.0,0.0,0.0
2013-10-01,478.09,2239.0,85160.0,0.0,0.0,0.0
2013-11-01,469.713,2200.0,83663.0,0.0,0.0,0.0
2013-12-01,450.536,2110.0,80246.0,0.0,0.0,0.0
2014-01-01,251.915,1180.0,93194.0,0.0,0.0,0.0
2014-02-01,183.872,861.0,68032.0,0.0,0.0,0.0
2014-03-01,214.821,1006.0,79482.0,0.0,0.0,0.0
2014-04-01,242.017,1133.0,89544.0,0.0,0.0,0.0
2014-05-01,219.647,1029.0,81260.0,0.0,0.0,0.0
2014-06-01,236.275,1107.0,87422.0,0.0,0.0,0.0
2014-07-01,244.994,1147.0,90652.0,0.0,0.0,0.0
2014-08-01,220.124,1031.0,81448.0,0.0,0.0,0.0
2014-09-01,206.881,969.0,76549.0,0.0,0.0,0.0
2014-10-01,200.717,940.0,74256.0,0.0,0.0,0.0
2014-11-01,209.075,979.0,77360.0,0.0,0.0,0.0
2014-12-01,221.662,1038.0,82009.0,0.0,0.0,0.0
2015-01-01,288.925,1353.0,75161.0,0.0,0.0,0.0
2015-02-01,252.512,1183.0,65676.0,0.0,0.0,0.0
2015-03-01,268.442,1257.0,69826.0,0.0,0.0,0.0
2015-04-01,272.586,1277.0,70902.0,0.0,0.0,0.0
2015-05-01,254.815,1194.0,66269.0,0.0,0.0,0.0
2015-06-01,295.832,1386.0,76939.0,0.0,0.0,0.0
2015-07-01,332.704,1558.0,86533.0,0.0,0.0,0.0
2015-08-01,352.751,1652.0,91744.0,0.0,0.0,0.0
2015-09-01,309.073,1448.0,80387.0,0.0,0.0,0.0
2015-10-01,308.379,1445.0,80215.0,0.0,0.0,0.0
2015-11-01,340.493,1595.0,88561.0,0.0,0.0,0.0
2015-12-01,317.488,1487.0,82571.0,0.0,0.0,0.0
2016-01-01,447.077,2632.0,70715.0,0.0,0.0,0.0
2016-02-01,450.25,2651.0,71214.0,0.0,0.0,0.0
2016-03-01,477.455,2811.0,75504.0,0.0,0.0,0.0
2016-04-01,447.413,2634.0,70762.0,0.0,0.0,0.0
2016-05-01,397.078,2338.0,62806.0,0.0,0.0,0.0
2016-06-01,398.539,2347.0,63024.0,0.0,0.0,0.0
2016-07-01,451.681,2659.0,71432.0,0.0,0.0,0.0
2016-08-01,563.366,3317.0,89092.0,0.0,0.0,0.0
2016-09-01,527.067,3103.0,83351.0,0.0,0.0,0.0
2016-10-01,491.06,2891.0,77657.0,0.0,0.0,0.0
2016-11-01,482.041,2838.0,76237.0,0.0,0.0,0.0
2016-12-01,472.973,2785.0,74802.0,0.0,0.0,0.0
2017-01-01,170.694,1005.0,74864.0,0.0,0.0,0.0
2017-02-01,159.96,942.0,70122.0,0.0,0.0,0.0
2017-03-01,166.359,979.0,72930.0,0.0,0.0,0.0
2017-04-01,170.136,1002.0,74584.0,0.0,0.0,0.0
2017-05-01,163.915,965.0,71854.0,0.0,0.0,0.0
2017-06-01,189.038,1113.0,82867.0,0.0,0.0,0.0
2017-07-01,179.247,1055.0,78577.0,0.0,0.0,0.0
2017-08-01,186.321,1097.0,81682.0,0.0,0.0,0.0
2017-09-01,160.721,946.0,70465.0,0.0,0.0,0.0
2017-10-01,154.127,907.0,67564.0,0.0,0.0,0.0
2017-11-01,150.612,887.0,66035.0,0.0,0.0,0.0
2017-12-01,144.87,853.0,63508.0,0.0,0.0,0.0
2018-01-01,75.279,443.0,5585.0,0.0,0.0,0.0
