measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Jet Fuel-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Jet Fuel-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Jet Fuel-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2009-01-01,,,,204.691,2087.0,2087.0
2009-02-01,,,,150.229,1532.0,1532.0
2009-03-01,,,,156.038,1594.0,1594.0
2009-04-01,,,,160.32600000000002,1633.0,1633.0
2009-05-01,,,,96.119,982.0,982.0
2009-06-01,,,,94.38900000000001,965.0,965.0
2009-07-01,,,,106.415,1083.0,1083.0
2009-08-01,,,,105.863,1077.0,1077.0
2009-09-01,,,,70.519,718.0,718.0
2009-10-01,,,,69.872,713.0,713.0
2009-11-01,,,,132.816,1352.0,1352.0
2009-12-01,,,,134.723,1375.0,1375.0
2010-01-01,,,,199.251,2255.0,2255.0
2010-02-01,,,,158.309,1801.0,1801.0
2010-03-01,,,,140.122,1593.0,1593.0
2010-04-01,,,,124.055,1408.0,1408.0
2010-05-01,,,,103.158,1172.0,1172.0
2010-06-01,,,,80.977,920.0,920.0
2010-07-01,,,,92.906,1055.0,1055.0
2010-08-01,,,,94.721,1077.0,1077.0
2010-09-01,,,,86.73,987.0,987.0
2010-10-01,,,,103.964,1184.0,1184.0
2010-11-01,,,,118.414,1346.0,1346.0
2010-12-01,,,,215.393,2446.0,2446.0
2011-01-01,,,,183.149,1868.0,1868.0
2011-02-01,,,,163.56,1672.0,1672.0
2011-03-01,,,,143.195,1464.0,1464.0
2011-04-01,,,,92.777,948.0,948.0
2011-05-01,,,,97.239,993.0,993.0
2011-06-01,,,,90.343,920.0,920.0
2011-07-01,,,,95.469,976.0,976.0
2011-08-01,,,,86.168,881.0,881.0
2011-09-01,,,,95.494,976.0,976.0
2011-10-01,,,,168.823,1722.0,1722.0
2011-11-01,,,,156.305,1593.0,1593.0
2011-12-01,,,,154.478,1576.0,1576.0
2012-01-01,,,,174.23,1733.0,1733.0
2012-02-01,,,,102.761,1021.0,1021.0
2012-03-01,,,,155.856,1554.0,1554.0
2012-04-01,,,,98.686,982.0,982.0
2012-05-01,,,,123.491,1229.0,1229.0
2012-06-01,,,,100.773,1004.0,1004.0
2012-07-01,,,,157.566,1571.0,1571.0
2012-08-01,,,,146.822,1464.0,1464.0
2012-09-01,,,,136.686,1363.0,1363.0
2012-10-01,,,,101.528,1010.0,1010.0
2012-11-01,,,,108.888,1083.0,1083.0
2012-12-01,,,,167.713,1672.0,1672.0
2013-01-01,,,,200.949,1947.0,1947.0
2013-02-01,,,,138.646,1346.0,1346.0
2013-03-01,,,,140.24,1358.0,1358.0
2013-04-01,,,,161.761,1565.0,1565.0
2013-05-01,,,,163.026,1582.0,1582.0
2013-06-01,,,,117.076,1133.0,1133.0
2013-07-01,,,,110.853,1077.0,1077.0
2013-08-01,,,,109.373,1060.0,1060.0
2013-09-01,,,,128.361,1245.0,1245.0
2013-10-01,,,,123.518,1195.0,1195.0
2013-11-01,,,,160.997,1560.0,1560.0
2013-12-01,,,,182.2,1767.0,1767.0
2014-01-01,,,,164.104,1655.0,1655.0
2014-02-01,,,,155.703,1576.0,1576.0
2014-03-01,,,,151.994,1537.0,1537.0
2014-04-01,,,,142.809,1447.0,1447.0
2014-05-01,,,,120.58,1223.0,1223.0
2014-06-01,,,,71.871,729.0,729.0
2014-07-01,,,,127.061,1285.0,1285.0
2014-08-01,,,,102.229,1032.0,1032.0
2014-09-01,,,,120.276,1217.0,1217.0
