measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed"
2003-01-01,192448.0,1893370.0,1997677.0,,,,,,,1796.0,17665.0,18639.0,,,
2003-02-01,190424.0,1854591.0,1940034.0,,,,,,,4154.0,40456.0,42320.0,,,
2003-03-01,219145.0,1895908.0,2010435.0,,,,,,,1837.0,15890.0,16850.0,,,
2003-04-01,126689.0,1102849.0,1168875.0,,,,,,,1413.0,12300.0,13037.0,,,
2003-05-01,224794.0,2176803.0,2320825.0,,,,,,,892.0,8637.0,9208.0,,,
2003-06-01,247046.0,2219693.0,2264025.0,,,,,,,418.0,3755.0,3830.0,,,
2003-07-01,265546.0,2346871.0,2346871.0,,,,,,,66.0,579.0,579.0,,,
2003-08-01,256961.0,2301500.0,2301508.0,,,,,,,417.0,3734.0,3734.0,,,
2003-09-01,234347.0,2081152.0,2081152.0,,,,,,,2166.0,19239.0,19239.0,,,
2003-10-01,149625.0,1293741.0,1293741.0,,,,,,,577.0,4990.0,4990.0,,,
2003-11-01,229385.0,2030183.0,2073860.0,,,,,,,1086.0,9617.0,9823.0,,,
2003-12-01,238903.0,2097667.0,2208444.0,,,,,,,1081.0,9494.0,9995.0,,,
2004-01-01,215296.51197,1892658.18,2134921.32,,,,,,,1047.86203,9211.69,10390.8,0.0,0.0,0.0
2004-02-01,201063.44431,1767536.17,1965241.04,,,,,,,1982.96369,17432.11,19381.95,0.0,0.0,0.0
2004-03-01,220479.09434,1938217.94,2142705.43,,,,,,,1120.75166,9852.46,10891.92,0.0,0.0,0.0
2004-04-01,199955.14475,1757793.17,2144435.28,,,,,,,803.52225,7063.71,8617.44,0.0,0.0,0.0
2004-05-01,103768.78772,912224.93,1204602.0,,,,,,,6398.65228,56250.15,74278.88,0.0,0.0,0.0
2004-06-01,187655.74289,1649669.91,2042933.04,,,,,,,3176.95511,27928.41,34586.24,0.0,0.0,0.0
2004-07-01,157761.7789,1386873.94,1699846.74,,,,,,,1834.3001000000002,16125.22,19764.16,0.0,0.0,0.0
2004-08-01,188696.83069,1658822.04,1968064.4,,,,,,,1440.97531,12667.52,15029.04,0.0,0.0,0.0
2004-09-01,170677.45234,1500414.81,1827071.4,,,,,,,4389.64131,38589.06,46990.32,475.18034,4177.28,5086.72
2004-10-01,119338.35074,1049095.98,1243308.64,,,,,,,2582.64326,22703.86,26906.88,0.0,0.0,0.0
2004-11-01,191557.47952,1683969.83,2115508.34,,,,,,,2096.70448,18432.0,23155.43,0.0,0.0,0.0
2004-12-01,187380.58982,1647251.05,2193172.04,,,,,,,5058.93118,44472.75,59211.61,0.0,0.0,0.0
2005-01-01,188564.05899,1657654.86,2124272.81,0.0,0.0,0.0,,,,4229.42801,37180.64,47646.72,,,
2005-02-01,163705.02778,1439120.67,1894299.11,0.0,0.0,0.0,,,,3288.02122,28904.79,38047.06,,,
2005-03-01,185835.00007,1633663.87,2128799.16,0.0,0.0,0.0,,,,4887.78193,42968.19,55991.1,,,
2005-04-01,95028.86064,835392.77,1092684.0,0.0,0.0,0.0,,,,8083.46736,71061.26,92947.29,,,
2005-05-01,191263.47616,1681385.27,2111128.48,0.0,0.0,0.0,,,,3091.18884,27174.45,34119.93,,,
2005-06-01,160572.23712,1411580.5,1737201.9,0.0,0.0,0.0,,,,1484.84088,13053.14,16064.22,,,
2005-07-01,218525.12445,1921040.71,2303563.57,0.0,0.0,0.0,,,,554.10655,4871.12,5841.07,,,
2005-08-01,213381.00706,1875819.09,2227696.02,37.88509,333.05,395.52,,,,688.04085,6048.52,7183.14,,,
2005-09-01,194291.07047,1708000.65,2003891.01,590.80399,5193.72,6093.47,,,,303.68153,2669.65,3132.13,,,
2005-10-01,145733.86883,1281137.33,1459300.0,43.374629999999996,381.3,434.33,,,,1168.25654,10270.07,11698.29,,,
2005-11-01,161053.90816,1415814.84,1535348.63,0.0,0.0,0.0,,,,2735.74384,24049.75,26080.22,,,
2005-12-01,213347.50199,1875524.56,2096795.25,1.30748,11.49,12.85,,,,6483.99753,57000.42,63725.21,,,
2006-01-01,208980.73967,1837136.63,2088350.55,0.0,0.0,0.0,,,,4816.00533,42337.2,48126.48,,,
2006-02-01,191371.39172,1682333.94,1841512.8,1.0683099999999999,9.39,10.28,,,,6665.32197,58594.43,64138.51,,,
2006-03-01,110465.77431,971097.72,1123400.41,18.953419999999998,166.62,192.75,,,,6903.63127,60689.39,70207.65,,,
2006-04-01,220385.34756,1937393.82,2068783.2,0.0,0.0,0.0,,,,1241.51144,10914.05,11654.21,,,
2006-05-01,198889.53904,1748425.5,1996145.1,3.841,33.77,38.55,,,,2007.80496,17650.49,20151.24,,,
2006-06-01,217032.10148,1907915.64,2147601.5,0.0,0.0,0.0,,,,1505.93352,13238.57,14901.69,,,
2006-07-01,229659.16749,2018919.39,2228648.62,0.0,0.0,0.0,,,,1211.80851,10652.93,11759.58,,,
2006-08-01,237286.24236,2085968.53,2254233.41,0.0,0.0,0.0,,,,1747.38864,15361.18,16600.3,,,
2006-09-01,174449.37262,1533573.53,1648317.88,0.0,0.0,0.0,,,,1487.85338,13079.63,14058.26,,,
2006-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,5095.55,,,
2006-11-01,94787.08634,833267.35,940087.72,0.0,0.0,0.0,,,,4981.18866,43789.32,49402.87,,,
2006-12-01,207795.76426,1826719.58,2030299.04,0.0,0.0,0.0,,,,6177.96474,54310.1,60362.71,,,
2007-01-01,214696.62,1887387.0,2074085.0,9.045,80.0,87.0,,,,1981.497,17419.0,19142.0,,,
2007-02-01,205118.312,1803176.0,1934313.0,0.0,0.0,0.0,,,,1306.614,11486.0,12322.0,,,
2007-03-01,185763.949,1633036.0,1832219.0,0.0,0.0,0.0,,,,3800.99,33414.0,37490.0,,,
