measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Total Fuel Consumed,Kerosene - Combined Cycle Combustion Turbine Part - Waste Oil - Generation,Kerosene - Combined Cycle Combustion Turbine Part - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combined Cycle Combustion Turbine Part - Waste Oil - Total Fuel Consumed,Kerosene - Combined Cycle Steam Part - Waste Oil - Generation,Kerosene - Combined Cycle Steam Part - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combined Cycle Steam Part - Waste Oil - Total Fuel Consumed,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed
2003-01-01,,,,,,,477.24,5589.0,5589.0,,,,2352.25,27555.0,27555.0,801.22,0.0,0.0
2003-02-01,,,,,,,426.8,4938.0,4938.0,,,,643.11,7452.0,7452.0,260.93,0.0,0.0
2003-03-01,,,,,,,0.0,0.0,0.0,,,,714.0,8951.0,8951.0,184.0,0.0,0.0
2003-04-01,,,,,,,0.0,0.0,0.0,,,,5650.0,62472.0,62718.0,1842.0,0.0,0.0
2003-05-01,,,,,,,0.0,0.0,0.0,,,,6640.0,76805.0,76805.0,2406.0,0.0,0.0
2003-06-01,,,,,,,61.0,700.0,700.0,,,,6876.0,78639.0,78639.0,2772.0,-181.0,207.0
2003-07-01,,,,,,,0.0,0.0,0.0,,,,20811.0,227198.0,228157.0,7796.0,540.0,540.0
2003-08-01,,,,,,,0.0,0.0,0.0,,,,29840.0,353776.0,355001.0,11248.0,1777.0,1777.0
2003-09-01,,,,,,,0.0,0.0,0.0,,,,14070.0,156785.0,157642.0,5024.0,0.0,0.0
2003-10-01,,,,,,,0.0,0.0,0.0,,,,10229.0,114596.0,115202.0,3596.0,0.0,0.0
2003-11-01,,,,,,,0.0,0.0,0.0,,,,9206.0,120817.0,121423.0,3237.0,0.0,0.0
2003-12-01,,,,,,,3.0,26.0,28.0,,,,12893.0,129737.0,141507.0,4042.0,0.0,0.0
2004-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,8093.062000000001,89129.2,92245.5,2635.071,0.0,0.0
2004-02-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,10491.8,107707.33,119586.55,2472.51,0.0,0.0
2004-03-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,10312.799,104918.54,117546.28,2315.835,0.0,0.0
2004-04-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,12183.898000000001,128981.01,138873.24,3341.0420000000004,0.0,0.0
2004-05-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,17981.478,194841.02,204954.63,5470.774,0.0,0.0
2004-06-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,16796.697,184185.92,191450.38,5373.041,0.0,0.0
2004-07-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,19138.134,208813.91,218138.29,5995.98,0.0,0.0
2004-08-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,22795.183,223323.12,259821.69,4085.347,0.0,0.0
2004-09-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,15929.243,175672.97,181563.05,5215.825,0.0,0.0
2004-10-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,9618.448,109632.0,109632.0,4823.371,0.0,0.0
