measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,336373.0,3307720.0,3307720.0,677.0,5440.0,5440.0,,,
2003-02-01,223467.0,2363990.0,2363990.0,493.0,5654.0,5654.0,,,
2003-03-01,284492.0,2911576.0,2911576.0,541.0,6305.0,6305.0,,,
2003-04-01,352062.0,3564000.0,3564000.0,825.0,9379.0,9379.0,,,
2003-05-01,381629.0,3820369.0,3820369.0,845.0,9379.0,9379.0,,,
2003-06-01,321118.0,3364223.0,3364223.0,372.0,4321.0,4321.0,,,
2003-07-01,356305.0,3765734.0,3765734.0,1271.0,14889.0,14889.0,,,
2003-08-01,384016.0,3966930.0,3966930.0,562.0,6525.0,6525.0,,,
2003-09-01,359495.0,3698590.0,3698590.0,848.0,9982.0,9982.0,,,
2003-10-01,345919.0,3612000.0,3612000.0,952.0,10968.0,10968.0,,,
2003-11-01,266800.0,2745302.0,2745302.0,671.0,7691.0,7691.0,,,
2003-12-01,374007.0,3777132.0,3777132.0,518.0,5870.0,5870.0,,,
2004-01-01,395051.0,4119933.0,4119933.0,543.0,6299.0,6299.0,,,
2004-02-01,293629.0,3033027.0,3033027.0,422.0,5110.0,5110.0,,,
2004-03-01,250355.0,2551584.0,2551584.0,647.0,7544.0,7544.0,,,
2004-04-01,293096.0,3088251.0,3088251.0,586.0,7653.0,7653.0,,,
2004-05-01,274546.0,2764420.0,2764420.0,399.0,4767.0,4767.0,131434.0,1587760.0,1587760.0
2004-06-01,205653.0,1964600.0,1964600.0,674.0,7544.0,7544.0,105655.0,1189920.0,1189920.0
2004-07-01,259476.0,2535890.0,2535890.0,552.0,6204.0,6204.0,132020.0,1471680.0,1471680.0
2004-08-01,241329.0,2503280.0,2503280.0,767.0,9028.0,9028.0,133460.0,1580640.0,1580640.0
2004-09-01,243877.0,2524860.0,2524860.0,843.0,9907.0,9907.0,93151.0,1099880.0,1099880.0
2004-10-01,244355.0,2360668.0,2360668.0,616.0,6986.0,6986.0,146805.0,1672545.0,1672545.0
2004-11-01,261768.0,2636309.0,2636309.0,968.0,11149.0,11149.0,137575.0,1576749.0,1576749.0
2004-12-01,248494.0,2592460.0,2592460.0,350.0,4248.0,4248.0,154826.0,1800300.0,1800300.0
2005-01-01,80972.0,751545.73,751545.73,714.0,7664.75,7664.75,328250.0,3518703.72,3518703.72
2005-02-01,24147.0,215244.54,215244.54,708.0,7331.25,7331.25,315814.0,3266751.6,3266751.6
2005-03-01,0.0,0.0,0.0,740.0,7866.0,7866.0,376018.0,3990855.96,3990855.96
2005-04-01,0.0,0.0,0.0,523.0,5617.75,5617.75,287037.0,3058301.33,3058301.33
2005-05-01,0.0,0.0,0.0,444.0,4703.5,4703.5,417851.0,4362058.2,4362058.2
2005-06-01,0.0,0.0,0.0,703.0,5439.5,5439.5,333135.0,2550270.6,2550270.6
2005-07-01,0.0,0.0,0.0,534.0,6365.25,6365.25,329511.0,3883249.07,3883249.07
2005-08-01,0.0,0.0,0.0,812.0,9734.75,9734.75,362804.0,4307262.3,4307262.3
2005-09-01,0.0,0.0,0.0,758.0,8981.5,8981.5,353672.0,4129756.46,4129756.46
2005-10-01,0.0,0.0,0.0,641.0,7567.0,7567.0,379561.0,4402128.75,4402128.75
2005-11-01,0.0,0.0,0.0,443.0,5209.5,5209.5,358944.0,4174005.06,4174005.06
2005-12-01,0.0,0.0,0.0,279.0,3271.75,3271.75,438819.0,5180114.93,5180114.93
2006-01-01,36679.0,456487.0,456487.0,592.0,7573.0,7573.0,353540.0,4493064.0,4493064.0
2006-02-01,0.0,0.0,0.0,682.0,6917.0,6917.0,386007.0,3886969.0,3886969.0
2006-03-01,0.0,0.0,0.0,423.0,4928.0,4928.0,405804.0,4658422.0,4658422.0
2006-04-01,0.0,0.0,0.0,511.0,6089.0,6089.0,282000.0,3302784.0,3302784.0
2006-05-01,0.0,0.0,0.0,639.0,7441.0,7441.0,372824.0,4296380.0,4296380.0
2006-06-01,0.0,0.0,0.0,481.0,5095.0,5095.0,386277.0,4050203.0,4050203.0
2006-07-01,0.0,0.0,0.0,665.0,6354.0,6354.0,395994.0,4224766.0,4224766.0
2006-08-01,0.0,0.0,0.0,594.0,6314.0,6314.0,381648.0,4015829.0,4015829.0
2006-09-01,0.0,0.0,0.0,743.0,7837.0,7837.0,375746.0,3933433.0,3933433.0
2006-10-01,0.0,0.0,0.0,734.0,7751.0,7751.0,388515.0,4059590.0,4059590.0
2006-11-01,0.0,0.0,0.0,1048.0,10574.0,10574.0,388238.0,3889697.0,3889697.0
2006-12-01,0.0,0.0,0.0,970.0,10580.0,10580.0,281354.0,3048101.0,3048101.0
2007-01-01,0.0,0.0,0.0,855.2710000000001,8970.0,8970.0,346403.729,3633049.0,3633049.0
2007-02-01,0.0,0.0,0.0,699.178,7360.0,7360.0,343856.822,3619662.0,3619662.0
2007-03-01,0.0,0.0,0.0,716.407,7395.0,7395.0,425535.593,4392226.0,4392226.0
2007-04-01,0.0,0.0,0.0,850.063,8683.0,8683.0,328279.937,3353036.0,3353036.0
2007-05-01,0.0,0.0,0.0,505.88,5227.0,5227.0,412812.121,4265172.0,4265172.0
2007-06-01,0.0,0.0,0.0,477.422,5077.0,5077.0,375096.578,3989049.0,3989049.0
2007-07-01,0.0,0.0,0.0,480.052,5089.0,5089.0,393751.949,4173930.0,4173930.0
2007-08-01,0.0,0.0,0.0,326.867,3301.0,3301.0,447600.134,4519584.0,4519584.0
2007-09-01,0.0,0.0,0.0,451.127,4721.0,4721.0,409142.874,4281416.0,4281416.0
2007-10-01,0.0,0.0,0.0,210.11700000000002,2179.0,2179.0,458008.883,4750278.0,4750278.0
2007-11-01,0.0,0.0,0.0,391.78,4019.0,4019.0,427966.22,4390483.0,4390483.0
2007-12-01,0.0,0.0,0.0,432.00300000000004,4669.0,4669.0,410575.998,4437418.0,4437418.0
2008-01-01,0.0,0.0,0.0,373.885,3910.0,3910.0,434097.115,4539682.0,4539682.0
2008-02-01,0.0,0.0,0.0,394.87300000000005,4123.0,4123.0,427383.127,4462180.0,4462180.0
2008-03-01,0.0,0.0,0.0,100.07600000000001,1035.0,1035.0,247998.924,2564836.0,2564836.0
2008-04-01,0.0,0.0,0.0,909.98,9643.0,9643.0,263010.02,2787028.0,2787028.0
2008-05-01,0.0,0.0,0.0,817.1510000000001,8447.0,8447.0,402075.849,4156189.0,4156189.0
2008-06-01,0.0,0.0,0.0,753.494,7901.0,7901.0,383852.506,4024750.0,4024750.0
2008-07-01,0.0,0.0,0.0,275.819,2852.0,2852.0,441851.181,4569585.0,4569585.0
2008-08-01,0.0,0.0,0.0,518.956,5359.0,5359.0,382291.044,3947732.0,3947732.0
2008-09-01,0.0,0.0,0.0,617.1310000000001,6337.0,6337.0,423069.869,4343940.0,4343940.0
2008-10-01,0.0,0.0,0.0,141.03300000000002,1438.0,1438.0,314101.967,3201538.0,3201538.0
2008-11-01,0.0,0.0,0.0,1211.8700000000001,12667.0,12667.0,288024.13,3010615.0,3010615.0
2008-12-01,0.0,0.0,0.0,1158.65,11828.0,11828.0,400793.35000000003,4091384.0,4091384.0
2009-01-01,,,,286.585,2927.0,2927.0,484669.415,4949683.0,4949683.0
2009-02-01,,,,575.086,5877.0,5877.0,352855.914,3605651.0,3605651.0
2009-03-01,,,,414.119,4100.0,4100.0,459782.881,4551823.0,4551823.0
2009-04-01,,,,281.238,2912.0,2912.0,357257.762,3698522.0,3698522.0
2009-05-01,,,,588.099,6220.0,6220.0,333123.901,3523309.0,3523309.0
2009-06-01,,,,561.673,5869.0,5869.0,364804.327,3811942.0,3811942.0
2009-07-01,,,,363.36,3757.0,3757.0,429564.64,4441956.0,4441956.0
2009-08-01,,,,433.295,4540.0,4540.0,373918.705,3917785.0,3917785.0
2009-09-01,,,,203.25400000000002,2100.0,2100.0,428666.746,4429392.0,4429392.0
2009-10-01,,,,684.863,7060.0,7060.0,418777.137,4317115.0,4317115.0
2009-11-01,,,,341.509,3539.0,3539.0,445507.491,4616338.0,4616338.0
2009-12-01,,,,238.639,2491.0,2491.0,438812.361,4581361.0,4581361.0
2010-01-01,,,,81.607,869.0,869.0,491277.393,5230537.0,5230537.0
2010-02-01,,,,211.82,2227.0,2227.0,428863.18,4508502.0,4508502.0
2010-03-01,,,,509.382,5299.0,5299.0,411812.618,4284357.0,4284357.0
2010-04-01,,,,456.69800000000004,4672.0,4672.0,368677.302,3771756.0,3771756.0
2010-05-01,,,,453.877,4759.0,4759.0,416551.123,4367228.0,4367228.0
2010-06-01,,,,437.73900000000003,4511.0,4511.0,400456.261,4126916.0,4126916.0
2010-07-01,,,,161.095,1674.0,1674.0,447105.905,4647198.0,4647198.0
2010-08-01,,,,256.438,2739.0,2739.0,451058.562,4817571.0,4817571.0
2010-09-01,,,,432.45300000000003,4546.0,4546.0,355868.547,3740653.0,3740653.0
2010-10-01,,,,459.634,4782.0,4782.0,302276.366,3144580.0,3144580.0
2010-11-01,,,,221.711,2302.0,2302.0,400446.289,4157059.0,4157059.0
2010-12-01,,,,128.42000000000002,1369.0,1369.0,444633.58,4741521.0,4741521.0
2011-01-01,,,,685.461,7262.0,7262.0,427098.54,4524542.0,4524542.0
2011-02-01,,,,54.075,575.0,575.0,433021.93,4607699.0,4607699.0
2011-03-01,,,,65.728,690.0,690.0,476771.27,5008552.0,5008552.0
2011-04-01,,,,378.107,4057.0,4057.0,263929.89,2831603.0,2831603.0
2011-05-01,,,,438.322,4655.0,4655.0,413751.68,4394052.0,4394052.0
2011-06-01,,,,279.631,2986.0,2986.0,415056.37,4432600.0,4432600.0
2011-07-01,,,,201.218,2175.0,2175.0,445205.78,4812344.0,4812344.0
2011-08-01,,,,282.905,3038.0,3038.0,449457.1,4826717.0,4826717.0
2011-09-01,,,,369.957,3982.0,3982.0,333818.04,3592817.0,3592817.0
2011-10-01,,,,102.98,1093.0,1093.0,423095.02,4491692.0,4491692.0
2011-11-01,,,,250.114,2676.0,2676.0,380864.89,4074325.0,4074325.0
2011-12-01,,,,430.141,4534.0,4534.0,393819.86,4151288.0,4151288.0
2012-01-01,0.0,0.0,0.0,298.354,3176.0,3176.0,381073.65,4056829.0,4056829.0
2012-02-01,0.0,0.0,0.0,456.257,4839.0,4839.0,360679.74,3825408.0,3825408.0
2012-03-01,7330.666,78638.0,78638.0,54.176,581.0,581.0,380790.16,4084811.0,4084811.0
