measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2009-01-01,,,,,,,0.0,0.0,0.0
2009-02-01,,,,,,,0.0,0.0,0.0
2009-03-01,,,,,,,0.0,0.0,0.0
2009-04-01,,,,,,,0.0,0.0,0.0
2009-05-01,,,,,,,0.0,0.0,0.0
2009-06-01,,,,,,,0.0,0.0,0.0
2009-07-01,,,,,,,8771.07,167319.0,167319.0
2009-08-01,,,,,,,8800.546,167882.0,167882.0
2009-09-01,,,,,,,6585.3060000000005,125623.0,125623.0
2009-10-01,,,,,,,5300.512000000001,101114.0,101114.0
2009-11-01,,,,,,,4077.6290000000004,77786.0,77786.0
2009-12-01,,,,,,,5334.937,101771.0,101771.0
2010-01-01,,,,,,,13221.293,164536.0,164536.0
2010-02-01,,,,,,,12390.155,154193.0,154193.0
2010-03-01,,,,,,,9825.824,122280.0,122280.0
2010-04-01,,,,,,,11519.911,143363.0,143363.0
2010-05-01,,,,,,,14073.701000000001,175145.0,175145.0
2010-06-01,,,,,,,16934.611,210748.0,210748.0
2010-07-01,,,,,,,17688.734,220132.0,220132.0
2010-08-01,,,,,,,20962.742,260876.0,260876.0
2010-09-01,,,,,,,15247.06,189746.0,189746.0
2010-10-01,,,,,,,11333.427,141042.0,141042.0
2010-11-01,,,,,,,10238.157,127412.0,127412.0
2010-12-01,,,,,,,10684.385,132965.0,132965.0
2011-01-01,,,,,,,12180.489,154316.0,154316.0
2011-02-01,,,,,,,11059.825,140119.0,140119.0
2011-03-01,,,,,,,9949.686,126055.0,126055.0
2011-04-01,,,,,,,12833.627,162592.0,162592.0
2011-05-01,,,,,,,13667.718,173159.0,173159.0
2011-06-01,,,,,,,17741.703,224773.0,224773.0
2011-07-01,,,,,,,21516.589,272598.0,272598.0
2011-08-01,,,,,,,23158.223,293396.0,293396.0
2011-09-01,,,,,,,16294.955,206444.0,206444.0
2011-10-01,,,,,,,12435.975,157554.0,157554.0
2011-11-01,,,,,,,11474.126,145368.0,145368.0
2011-12-01,,,,,,,13783.084,174621.0,174621.0
2012-01-01,,,,,,,10895.596,142550.0,142550.0
2012-02-01,,,,,,,10155.702,132870.0,132870.0
2012-03-01,,,,,,,11144.046,145801.0,145801.0
2012-04-01,,,,,,,12539.612,164058.0,164058.0
2012-05-01,,,,,,,13471.999,176257.0,176257.0
2012-06-01,,,,,,,14967.684,195826.0,195826.0
2012-07-01,,,,,,,16148.022,211269.0,211269.0
2012-08-01,,,,,,,16748.291,219122.0,219122.0
2012-09-01,,,,,,,12938.275,169275.0,169275.0
2012-10-01,,,,,,,10161.944,132951.0,132951.0
2012-11-01,,,,,,,9204.587,120426.0,120426.0
2012-12-01,,,,0.0,0.0,0.0,9905.242,129593.0,129593.0
2013-01-01,,,,0.0,0.0,0.0,17063.998,220487.0,220487.0
2013-02-01,,,,0.0,0.0,0.0,13478.512,174159.0,174159.0
2013-03-01,,,,0.0,0.0,0.0,14509.541,187481.0,187481.0
2013-04-01,,,,0.0,0.0,0.0,15639.277,202078.0,202078.0
2013-05-01,,,,0.0,0.0,0.0,16834.726,217526.0,217526.0
2013-06-01,,,,0.0,0.0,0.0,20780.516,268509.0,268509.0
2013-07-01,,,,0.0,0.0,0.0,23044.766,297767.0,297767.0
2013-08-01,,,,0.0,0.0,0.0,25649.192,331419.0,331419.0
2013-09-01,,,,0.0,0.0,0.0,21700.679,280400.0,280400.0
2013-10-01,,,,0.0,0.0,0.0,16979.315,219394.0,219394.0
2013-11-01,,,,0.0,0.0,0.0,16598.753,214476.0,214476.0
2013-12-01,,,,0.0,0.0,0.0,18149.725,234517.0,234517.0
2014-01-01,,,,0.0,0.0,0.0,24753.187,309097.0,309097.0
2014-02-01,,,,0.0,0.0,0.0,21601.514,269742.0,269742.0
2014-03-01,,,,0.0,0.0,0.0,21922.707,273752.0,273752.0
2014-04-01,,,,0.0,0.0,0.0,22673.434,283126.0,283126.0
2014-05-01,,,,0.0,0.0,0.0,25091.283,313319.0,313319.0
2014-06-01,,,,0.0,0.0,0.0,29305.121,365937.0,365937.0
2014-07-01,,,,0.0,0.0,0.0,34046.841,425148.0,425148.0
2014-08-01,,,,0.0,0.0,0.0,37930.75,473647.0,473647.0
2014-09-01,,,,0.0,0.0,0.0,30836.518,385060.0,385060.0
2014-10-01,,,,0.0,0.0,0.0,27008.039,337254.0,337254.0
2014-11-01,,,,0.0,0.0,0.0,23427.915,292548.0,292548.0
2014-12-01,,,,0.0,0.0,0.0,25593.691,319593.0,319593.0
2015-01-01,0.0,0.0,0.0,,,,25183.637,320263.0,320263.0
2015-02-01,0.0,0.0,0.0,,,,22826.111,290281.0,290281.0
2015-03-01,0.0,0.0,0.0,,,,25876.86,329078.0,329078.0
2015-04-01,0.0,0.0,0.0,,,,23977.965,304930.0,304930.0
2015-05-01,0.0,0.0,0.0,,,,24933.8,317085.0,317085.0
2015-06-01,0.0,0.0,0.0,,,,29338.984,373106.0,373106.0
2015-07-01,0.0,0.0,0.0,,,,34790.289,442430.0,442430.0
2015-08-01,0.0,0.0,0.0,,,,35744.408,454564.0,454564.0
2015-09-01,0.0,0.0,0.0,,,,29970.956,381143.0,381143.0
2015-10-01,0.0,0.0,0.0,,,,26110.335,332047.0,332047.0
2015-11-01,0.0,0.0,0.0,,,,22678.239,288401.0,288401.0
2015-12-01,0.0,0.0,0.0,,,,25565.416,325117.0,325117.0
2016-01-01,0.0,0.0,0.0,,,,16650.435,212694.0,212694.0
2016-02-01,0.0,0.0,0.0,,,,14540.052,185736.0,185736.0
2016-03-01,0.0,0.0,0.0,,,,16365.765,209058.0,209058.0
2016-04-01,0.0,0.0,0.0,,,,15616.755,199490.0,199490.0
