measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,61.904,632.0,632.0,,,,,,
2001-02-01,54.025,551.0,551.0,,,,,,
2001-03-01,51.289,523.0,523.0,,,,,,
2001-04-01,44.303000000000004,452.0,452.0,,,,,,
2001-05-01,47.565,485.0,485.0,,,,,,
2001-06-01,58.94,601.0,601.0,,,,,,
2001-07-01,69.322,707.0,707.0,,,,,,
2001-08-01,70.675,721.0,721.0,,,,,,
2001-09-01,57.911,591.0,591.0,,,,,,
2001-10-01,57.053000000000004,582.0,582.0,,,,,,
2001-11-01,56.609,578.0,578.0,,,,,,
2001-12-01,60.403000000000006,616.0,616.0,,,,,,
2002-01-01,45.429,472.0,472.0,,,,0.0,0.0,0.0
2002-02-01,33.999,353.0,353.0,,,,0.0,0.0,0.0
2002-03-01,40.79,424.0,424.0,,,,0.0,0.0,0.0
2002-04-01,38.158,397.0,397.0,,,,0.0,0.0,0.0
2002-05-01,39.756,413.0,413.0,,,,0.0,0.0,0.0
2002-06-01,48.598,505.0,505.0,,,,0.0,0.0,0.0
2002-07-01,52.479,546.0,546.0,,,,0.0,0.0,0.0
2002-08-01,52.593,547.0,547.0,,,,0.0,0.0,0.0
2002-09-01,45.842,477.0,477.0,,,,0.0,0.0,0.0
2002-10-01,41.818000000000005,435.0,435.0,,,,0.0,0.0,0.0
2002-11-01,40.655,423.0,423.0,,,,0.0,0.0,0.0
2002-12-01,49.883,519.0,519.0,,,,0.0,0.0,0.0
2003-01-01,60.303000000000004,603.0,603.0,,,,0.0,0.0,0.0
2003-02-01,54.446000000000005,544.0,544.0,,,,0.0,0.0,0.0
2003-03-01,52.152,521.0,521.0,,,,0.0,0.0,0.0
2003-04-01,43.856,438.0,438.0,,,,0.0,0.0,0.0
2003-05-01,50.797000000000004,508.0,508.0,,,,0.0,0.0,0.0
2003-06-01,57.257000000000005,572.0,572.0,,,,0.0,0.0,0.0
