measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Jet Fuel Generation,Jet Fuel Quantity Consumed For Electricity,Jet Fuel Total Fuel Consumed
2001-01-01,176.77100000000002,1776.0,1776.0,,,
2001-02-01,151.44,1522.0,1522.0,,,
2001-03-01,164.479,1653.0,1653.0,,,
2001-04-01,144.2,1449.0,1449.0,,,
2001-05-01,141.416,1421.0,1421.0,,,
2001-06-01,142.93800000000002,1436.0,1436.0,,,
2001-07-01,150.276,1510.0,1510.0,,,
2001-08-01,149.385,1501.0,1501.0,,,
2001-09-01,176.454,1773.0,1773.0,,,
2001-10-01,169.42600000000002,1702.0,1702.0,,,
2001-11-01,175.47400000000002,1763.0,1763.0,,,
2001-12-01,198.741,1997.0,1997.0,,,
2009-01-01,,,,248.06,2525.0,2525.0
2009-02-01,,,,182.059,1857.0,1857.0
2009-03-01,,,,189.09900000000002,1930.0,1930.0
2009-04-01,,,,194.295,1981.0,1981.0
2009-05-01,,,,116.48400000000001,1190.0,1190.0
2009-06-01,,,,114.388,1167.0,1167.0
2009-07-01,,,,128.96200000000002,1313.0,1313.0
2009-08-01,,,,128.293,1307.0,1307.0
2009-09-01,,,,85.46,870.0,870.0
2009-10-01,,,,84.676,864.0,864.0
2009-11-01,,,,160.95600000000002,1644.0,1644.0
2009-12-01,,,,163.268,1666.0,1666.0
2010-01-01,,,,204.371,1722.0,1722.0
2010-02-01,,,,162.376,1374.0,1374.0
2010-03-01,,,,143.722,1217.0,1217.0
2010-04-01,,,,127.24300000000001,1077.0,1077.0
2010-05-01,,,,105.808,892.0,892.0
2010-06-01,,,,83.057,701.0,701.0
2010-07-01,,,,95.293,808.0,808.0
2010-08-01,,,,97.15400000000001,819.0,819.0
2010-09-01,,,,88.958,752.0,752.0
2010-10-01,,,,106.635,903.0,903.0
2010-11-01,,,,121.456,1027.0,1027.0
2010-12-01,,,,220.92700000000002,1868.0,1868.0
2011-01-01,,,,225.845,1930.0,1930.0
2011-02-01,,,,201.692,1717.0,1717.0
2011-03-01,,,,176.579,1503.0,1503.0
2011-04-01,,,,114.407,976.0,976.0
2011-05-01,,,,119.909,1021.0,1021.0
2011-06-01,,,,111.405,948.0,948.0
2011-07-01,,,,117.727,1004.0,1004.0
2011-08-01,,,,106.258,903.0,903.0
2011-09-01,,,,117.757,1004.0,1004.0
2011-10-01,,,,208.182,1773.0,1773.0
2011-11-01,,,,192.746,1644.0,1644.0
2011-12-01,,,,190.493,1621.0,1621.0
2012-01-01,,,,212.287,1683.0,1683.0
2012-02-01,,,,125.205,993.0,993.0
2012-03-01,,,,189.897,1503.0,1503.0
2012-04-01,,,,120.24,954.0,954.0
2012-05-01,,,,150.463,1189.0,1189.0
2012-06-01,,,,122.783,971.0,971.0
2012-07-01,,,,191.98,1520.0,1520.0
2012-08-01,,,,178.889,1419.0,1419.0
2012-09-01,,,,166.539,1318.0,1318.0
2012-10-01,,,,123.703,982.0,982.0
2012-11-01,,,,132.67,1049.0,1049.0
2012-12-01,,,,204.344,1616.0,1616.0
2013-01-01,,,,175.728,1784.0,1784.0
2013-02-01,,,,121.245,1234.0,1234.0
2013-03-01,,,,122.64,1251.0,1251.0
2013-04-01,,,,141.46,1442.0,1442.0
2013-05-01,,,,142.566,1453.0,1453.0
2013-06-01,,,,102.382,1043.0,1043.0
2013-07-01,,,,96.941,987.0,987.0
2013-08-01,,,,95.647,976.0,976.0
2013-09-01,,,,112.251,1144.0,1144.0
2013-10-01,,,,108.016,1100.0,1100.0
2013-11-01,,,,140.791,1436.0,1436.0
2013-12-01,,,,159.333,1621.0,1621.0
2014-01-01,,,,156.845,1571.0,1571.0
2014-02-01,,,,148.818,1487.0,1487.0
2014-03-01,,,,145.273,1453.0,1453.0
2014-04-01,,,,136.494,1363.0,1363.0
2014-05-01,,,,115.248,1150.0,1150.0
2014-06-01,,,,68.693,684.0,684.0
2014-07-01,,,,121.442,1212.0,1212.0
2014-08-01,,,,97.709,976.0,976.0
2014-09-01,,,,114.958,1150.0,1150.0
2014-10-01,,,,151.964,1520.0,1520.0
2014-11-01,,,,111.074,1111.0,1111.0
2014-12-01,,,,144.482,1442.0,1442.0
2015-01-01,,,,141.693,1453.0,1453.0
2015-02-01,,,,124.962,1273.0,1273.0
2015-03-01,,,,125.708,1279.0,1279.0
2015-04-01,,,,130.188,1330.0,1330.0
2015-05-01,,,,104.628,1066.0,1066.0
2015-06-01,,,,104.238,1060.0,1060.0
2015-07-01,,,,108.322,1105.0,1105.0
2015-08-01,,,,122.98,1251.0,1251.0
2015-09-01,,,,110.758,1128.0,1128.0
2015-10-01,,,,126.715,1290.0,1290.0
2015-11-01,,,,88.601,903.0,903.0
2015-12-01,0.0,0.0,0.0,85.207,870.0,870.0
2016-01-01,0.0,0.0,0.0,154.947,1133.0,1133.0
2016-02-01,0.0,0.0,0.0,171.953,1257.0,1257.0
2016-03-01,0.0,0.0,0.0,162.727,1189.0,1189.0
2016-04-01,0.0,0.0,0.0,133.264,971.0,971.0
2016-05-01,0.0,0.0,0.0,121.561,886.0,886.0
2016-06-01,0.0,0.0,0.0,122.277,892.0,892.0
2016-07-01,0.0,0.0,0.0,102.29,746.0,746.0
2016-08-01,0.0,0.0,0.0,134.059,976.0,976.0
2016-09-01,0.0,0.0,0.0,136.598,999.0,999.0
2016-10-01,0.0,0.0,0.0,156.861,1144.0,1144.0
2016-11-01,0.0,0.0,0.0,218.888,1599.0,1599.0
2016-12-01,0.0,0.0,0.0,295.575,2160.0,2160.0
2017-01-01,0.0,0.0,0.0,175.047,1403.0,1403.0
2017-02-01,0.0,0.0,0.0,141.34,1128.0,1128.0
2017-03-01,0.0,0.0,0.0,162.741,1302.0,1302.0
2017-04-01,0.0,0.0,0.0,150.045,1201.0,1201.0
2017-05-01,0.0,0.0,0.0,149.883,1201.0,1201.0
2017-06-01,0.0,0.0,0.0,158.088,1262.0,1262.0
2017-07-01,0.0,0.0,0.0,161.1,1290.0,1290.0
2017-08-01,0.0,0.0,0.0,166.407,1330.0,1330.0
2017-09-01,0.0,0.0,0.0,165.519,1324.0,1324.0
2017-10-01,0.0,0.0,0.0,168.935,1352.0,1352.0
2017-11-01,0.0,0.0,0.0,149.628,1195.0,1195.0
2017-12-01,0.0,0.0,0.0,152.267,1217.0,1217.0
2018-01-01,0.0,0.0,0.0,115.218,1176.0,1201.0
2018-02-01,0.0,0.0,0.0,107.456,1097.0,1105.0
2018-03-01,0.0,0.0,0.0,107.471,1097.0,1105.0
2018-04-01,0.0,0.0,0.0,108.559,1108.0,1116.0
2018-05-01,0.0,0.0,0.0,124.214,1268.0,1279.0
2018-06-01,0.0,0.0,0.0,115.967,1184.0,1195.0
2018-07-01,0.0,0.0,0.0,124.96,1276.0,1285.0
2018-08-01,0.0,0.0,0.0,127.606,1303.0,1313.0
2018-09-01,0.0,0.0,0.0,129.893,1326.0,1341.0
2018-10-01,0.0,0.0,0.0,136.386,1392.0,1403.0
2018-11-01,0.0,0.0,0.0,122.715,1253.0,1262.0
2018-12-01,0.0,0.0,0.0,117.555,1200.0,1212.0
2019-01-01,0.0,0.0,0.0,137.075,1201.0,1201.0
2019-02-01,0.0,0.0,0.0,152.359,1335.0,1335.0
2019-03-01,0.0,0.0,0.0,150.99,1324.0,1324.0
2019-04-01,0.0,0.0,0.0,138.758,1217.0,1217.0
2019-05-01,0.0,0.0,0.0,151.014,1324.0,1324.0
2019-06-01,0.0,0.0,0.0,129.759,1139.0,1139.0
2019-07-01,0.0,0.0,0.0,147.799,1296.0,1296.0
2019-08-01,0.0,0.0,0.0,163.643,1436.0,1436.0
2019-09-01,0.0,0.0,0.0,194.313,1705.0,1705.0
2019-10-01,0.0,0.0,0.0,204.221,1790.0,1790.0
2019-11-01,0.0,0.0,0.0,155.126,1363.0,1363.0
2019-12-01,0.0,0.0,0.0,206.943,1818.0,1818.0
2020-01-01,230.861,2059.0,2059.0,0.0,0.0,0.0
2020-02-01,149.667,1335.0,1335.0,0.0,0.0,0.0
2020-03-01,151.104,1346.0,1346.0,0.0,0.0,0.0
2020-04-01,145.0,1290.0,1290.0,0.0,0.0,0.0
2020-05-01,122.776,1094.0,1094.0,0.0,0.0,0.0
2020-06-01,154.581,1374.0,1374.0,0.0,0.0,0.0
2020-07-01,201.499,1795.0,1795.0,0.0,0.0,0.0
2020-08-01,206.458,1840.0,1840.0,0.0,0.0,0.0
2020-09-01,131.282,1167.0,1167.0,0.0,0.0,0.0
2020-10-01,157.13,1403.0,1403.0,0.0,0.0,0.0
2020-11-01,121.853,1083.0,1083.0,0.0,0.0,0.0
2020-12-01,120.789,1077.0,1077.0,0.0,0.0,0.0
2021-01-01,166.523,1677.0,1677.0,0.0,0.0,0.0
2021-02-01,184.39,1859.0,1868.0,0.0,0.0,0.0
2021-03-01,199.419,2010.0,2020.0,0.0,0.0,0.0
2021-04-01,191.693,1932.0,1941.0,0.0,0.0,0.0
2021-05-01,99.275,1001.0,1004.0,0.0,0.0,0.0
2021-06-01,133.263,1343.0,1346.0,0.0,0.0,0.0
2021-07-01,130.232,1313.0,1318.0,0.0,0.0,0.0
2021-08-01,187.81,1893.0,1902.0,0.0,0.0,0.0
2021-09-01,243.252,2452.0,2463.0,0.0,0.0,0.0
2021-10-01,241.676,2436.0,2446.0,0.0,0.0,0.0
2021-11-01,188.699,1902.0,1907.0,0.0,0.0,0.0
2021-12-01,209.768,2114.0,2121.0,0.0,0.0,0.0
2022-01-01,228.858,2064.0,2064.0,0.0,0.0,0.0
2022-02-01,188.738,1700.0,1700.0,0.0,0.0,0.0
2022-03-01,218.565,1969.0,1969.0,0.0,0.0,0.0
2022-04-01,194.308,1750.0,1750.0,0.0,0.0,0.0
2022-05-01,182.094,1644.0,1644.0,0.0,0.0,0.0
2022-06-01,221.766,1997.0,1997.0,0.0,0.0,0.0
2022-07-01,201.986,1823.0,1823.0,0.0,0.0,0.0
2022-08-01,135.845,1223.0,1223.0,0.0,0.0,0.0
2022-09-01,159.135,1436.0,1436.0,0.0,0.0,0.0
2022-10-01,178.551,1610.0,1610.0,0.0,0.0,0.0
2022-11-01,169.517,1526.0,1526.0,0.0,0.0,0.0
2022-12-01,230.637,2081.0,2081.0,0.0,0.0,0.0
2023-01-01,255.852,2513.0,2513.0,0.0,0.0,0.0
2023-02-01,198.626,1952.0,1952.0,0.0,0.0,0.0
2023-03-01,187.448,1840.0,1840.0,0.0,0.0,0.0
2023-04-01,221.583,2177.0,2177.0,0.0,0.0,0.0
2023-05-01,218.953,2154.0,2154.0,0.0,0.0,0.0
2023-06-01,188.524,1851.0,1851.0,0.0,0.0,0.0
2023-07-01,178.515,1756.0,1756.0,0.0,0.0,0.0
2023-08-01,185.811,1829.0,1829.0,0.0,0.0,0.0
2023-09-01,161.155,1582.0,1582.0,0.0,0.0,0.0
