measured_on,"Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,4217.981,84119.0,84119.0,,,
2003-02-01,3557.28,70943.0,70943.0,,,
2003-03-01,3663.078,73053.0,73053.0,,,
2003-04-01,3141.657,62654.0,62654.0,,,
2003-05-01,2983.7470000000003,59505.0,59505.0,,,
2003-06-01,3643.601,72664.0,72664.0,,,
2003-07-01,4306.243,85879.0,85879.0,,,
2003-08-01,4287.04,85496.0,85496.0,,,
2003-09-01,3193.176,63681.0,63681.0,,,
2003-10-01,3057.5350000000003,60976.0,60976.0,,,
2003-11-01,2904.7270000000003,57929.0,57929.0,,,
2003-12-01,3362.935,67067.0,67067.0,,,
2004-01-01,5798.417,100308.0,100308.0,,,
2004-02-01,5798.417,100308.0,100308.0,,,
2004-03-01,5798.417,100308.0,100308.0,,,
2004-04-01,5798.417,100308.0,100308.0,,,
2004-05-01,5798.417,100308.0,100308.0,,,
2004-06-01,5798.417,100308.0,100308.0,,,
2004-07-01,5798.417,100308.0,100308.0,,,
2004-08-01,5798.417,100308.0,100308.0,,,
2004-09-01,5798.417,100308.0,100308.0,,,
2004-10-01,5798.417,100308.0,100308.0,,,
2004-11-01,5798.417,100308.0,100308.0,,,
2004-12-01,5798.417,100308.0,100308.0,,,
2005-01-01,4818.482,93542.49,93542.49,,,
2005-02-01,4298.465,83447.25,83447.25,,,
2005-03-01,4909.442,95308.31,95308.31,,,
2005-04-01,4899.293000000001,95111.28,95111.28,,,
2005-05-01,5386.061000000001,104561.04,104561.04,,,
2005-06-01,5336.029,103589.77,103589.77,,,
2005-07-01,5525.173000000001,107261.66,107261.66,,,
2005-08-01,5500.201,106776.87,106776.87,,,
2005-09-01,5181.152,100583.1,100583.1,,,
2005-10-01,5229.9890000000005,101531.18,101531.18,,,
2005-11-01,5267.483,102259.05,102259.05,,,
2005-12-01,5279.23,102487.11,102487.11,,,
2006-01-01,4348.705,89954.0,89954.0,3.188,59.0,59.0
2006-02-01,4018.8650000000002,83131.0,83131.0,3.604,67.0,67.0
2006-03-01,4433.078,91700.0,91700.0,4.7490000000000006,88.0,88.0
2006-04-01,3261.672,67469.0,67469.0,3.93,73.0,73.0
2006-05-01,3987.672,82486.0,82486.0,5.1770000000000005,96.0,96.0
2006-06-01,4177.244000000001,86408.0,86408.0,6.6690000000000005,124.0,124.0
2006-07-01,4335.286,89677.0,89677.0,11.933,222.0,222.0
2006-08-01,4309.215,89137.0,89137.0,10.604000000000001,197.0,197.0
2006-09-01,4121.866,85262.0,85262.0,6.237,116.0,116.0
2006-10-01,4277.151,88474.0,88474.0,6.756,126.0,126.0
2006-11-01,4319.869000000001,89358.0,89358.0,4.542,84.0,84.0
2006-12-01,4162.377,86100.0,86100.0,4.611000000000001,86.0,86.0
2007-01-01,4078.061,80637.0,80637.0,0.0,0.0,0.0
2007-02-01,3814.056,75417.0,75417.0,0.0,0.0,0.0
2007-03-01,4411.417,87229.0,87229.0,0.0,0.0,0.0
2007-04-01,3623.1,71641.0,71641.0,0.0,0.0,0.0
2007-05-01,4214.054,83326.0,83326.0,0.0,0.0,0.0
2007-06-01,4869.526,96288.0,96288.0,0.0,0.0,0.0
2007-07-01,5037.786,99614.0,99614.0,0.0,0.0,0.0
2007-08-01,4765.4130000000005,94229.0,94229.0,0.0,0.0,0.0
2007-09-01,4914.3460000000005,97174.0,97174.0,0.0,0.0,0.0
2007-10-01,4759.831,94119.0,94119.0,0.0,0.0,0.0
2007-11-01,4271.987,84472.0,84472.0,0.0,0.0,0.0
2007-12-01,5035.423000000001,99568.0,99568.0,0.0,0.0,0.0
2008-01-01,2863.005,59575.0,59575.0,0.0,0.0,0.0
2008-02-01,2651.4900000000002,55174.0,55174.0,0.0,0.0,0.0
2008-03-01,2966.984,61739.0,61739.0,0.0,0.0,0.0
2008-04-01,2815.244,58582.0,58582.0,0.0,0.0,0.0
2008-05-01,3098.539,64477.0,64477.0,0.0,0.0,0.0
2008-06-01,2972.71,61858.0,61858.0,0.0,0.0,0.0
2008-07-01,3038.7110000000002,63231.0,63231.0,0.0,0.0,0.0
2008-08-01,3169.9900000000002,65963.0,65963.0,0.0,0.0,0.0
2008-09-01,2942.9900000000002,61240.0,61240.0,0.0,0.0,0.0
2008-10-01,2931.135,60993.0,60993.0,0.0,0.0,0.0
2008-11-01,2876.741,59861.0,59861.0,0.0,0.0,0.0
2008-12-01,3047.4610000000002,63414.0,63414.0,0.0,0.0,0.0
