measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Other Biomass Liquids - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Liquids - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Liquids - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed"
2003-01-01,2356.321,31301.0,31301.0,482.88100000000003,6414.0,6414.0
2003-02-01,2087.437,27729.0,27729.0,427.779,5683.0,5683.0
2003-03-01,2156.018,28640.0,28640.0,441.833,5869.0,5869.0
2003-04-01,1893.221,25149.0,25149.0,387.978,5154.0,5154.0
2003-05-01,1858.0110000000002,24681.0,24681.0,380.76300000000003,5058.0,5058.0
2003-06-01,1767.9940000000001,23486.0,23486.0,362.315,4813.0,4813.0
2003-07-01,1892.193,25136.0,25136.0,387.767,5151.0,5151.0
2003-08-01,1811.5910000000001,24065.0,24065.0,371.25,4932.0,4932.0
2003-09-01,1937.759,25741.0,25741.0,397.105,5275.0,5275.0
2003-10-01,2088.868,27748.0,27748.0,428.072,5686.0,5686.0
2003-11-01,2191.837,29116.0,29116.0,449.173,5967.0,5967.0
2003-12-01,2447.97,32518.0,32518.0,501.663,6664.0,6664.0
2004-01-01,1622.746,15589.0,15589.0,735.667,7067.0,7067.0
2004-02-01,2099.0660000000003,20165.0,20165.0,735.667,7067.0,7067.0
2004-03-01,1883.834,18098.0,18098.0,735.667,7067.0,7067.0
2004-04-01,1277.3390000000002,12271.0,12271.0,735.667,7067.0,7067.0
2004-05-01,1385.219,13308.0,13308.0,735.667,7067.0,7067.0
2004-06-01,1330.592,12783.0,12783.0,735.667,7067.0,7067.0
2004-07-01,2119.036,20357.0,20357.0,735.667,7067.0,7067.0
2004-08-01,2243.2940000000003,21551.0,21551.0,735.667,7067.0,7067.0
2004-09-01,1826.883,17551.0,17551.0,735.667,7067.0,7067.0
2004-10-01,1336.1770000000001,12836.0,12836.0,735.667,7067.0,7067.0
2004-11-01,776.61,7461.0,7461.0,735.667,7067.0,7067.0
