measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,20013.0,167863.0,393450.0
2003-02-01,0.0,0.0,0.0,11050.0,141490.0,473670.0
2003-03-01,0.0,0.0,0.0,18420.0,211886.0,363096.0
2003-05-01,0.0,0.0,0.0,14452.0,76307.0,374976.0
2003-06-01,0.0,0.0,0.0,,,
2003-07-01,38.0,762.0,967.0,8057.0,160408.0,203634.0
2003-08-01,45.0,1270.0,1416.0,8765.0,249712.0,278532.0
2003-09-01,337.0,6260.0,7390.0,10174.0,188867.0,222948.0
2003-10-01,0.0,0.0,0.0,,,
2003-11-01,0.0,0.0,0.0,,,
2004-01-01,77.5584,490.16,1895.0,14090.7076,89052.52,344281.1
2004-02-01,0.0,0.0,0.0,12345.617,78023.64,277136.42
2004-03-01,20.91894,132.21,246.0,14310.59806,90442.22,168288.0
2004-04-01,63.66654,402.37,1090.77,14093.07646,89067.49,241450.3
2004-05-01,257.82505,1629.44,5302.0,14027.59795,88653.67,288468.19
2004-06-01,55.98706,353.84,825.37,14113.23994,89194.92,208059.6
2004-07-01,129.02801,815.45,3301.88,13374.71099,84527.46,342264.36
2004-08-01,0.0,0.0,0.0,15552.059000000001,98288.18,343665.54
2004-09-01,761.6625,4813.67,13874.04,11495.6065,72651.62,209397.87
2004-10-01,231.2886,1461.73,3194.64,17810.8284,112563.48,246009.47
2004-11-01,206.17756,1303.03,4374.78,13175.60344,83269.11,279566.64
2004-12-01,123.70514,781.81,2457.18,12931.57286,81726.86,256862.43
2005-01-01,65.5317,414.16,1540.2,17869.031300000002,112931.33,419978.16
2005-02-01,0.0,0.0,0.0,17385.271,109873.99,361226.88
2005-03-01,62.56429,395.4,1178.1,15192.76171,96017.44,286083.2
2005-04-01,0.0,0.0,0.0,15604.875,98621.98,343377.22
2005-05-01,116.97226,739.26,1890.06,16888.01974,106731.39,272879.84
2005-06-01,127.76971,807.5,1103.64,18258.13429,115390.44,157708.8
2005-07-01,61.4148,388.14,1091.4,14587.0012,92189.07,259225.02
2005-08-01,0.0,0.0,0.0,18439.681,116537.8,352716.8
2005-09-01,0.0,0.0,0.0,15288.936000000002,96625.26,246242.43
2005-10-01,0.0,0.0,0.0,18045.958,114049.49,354485.25
2005-11-01,84.50506,534.07,1803.36,16078.30394,101614.03,343115.21
2005-12-01,0.0,0.0,0.0,17647.433,111530.84,418356.74
2006-01-01,116.23356,734.59,3453.72,13545.95544,85609.71,402499.38
2006-02-01,27.74554,175.35,894.54,15530.07546,98149.25,500703.01
2006-03-01,220.34242,1392.55,4993.92,18387.39058,116207.33,416738.45
2006-04-01,0.0,0.0,0.0,16399.043,103641.08,259931.4
2006-05-01,83.06156,524.94,1621.8,14113.05344,89193.75,275561.29
2006-06-01,26.14153,165.21,646.68,18336.71547,115887.06,453607.2
2006-07-01,260.09399,1643.78,4360.5,14691.77701,92851.25,246309.01
2006-08-01,41.41035,261.71,1463.7,19288.46765,121902.09,681774.74
2006-09-01,19.359209999999997,122.35,435.54,17101.82879,108082.65,384753.8
2006-10-01,46.71938,295.26,1063.86,17791.81262,112443.31,405142.33
2006-11-01,13.957139999999999,88.21,245.82,15713.83586,99310.61,276759.84
2006-12-01,26.62182,168.25,545.7,15559.04718,98332.35,318932.77
2007-01-01,71.427,452.0,1762.0,17119.862,108197.0,422213.0
2007-02-01,0.0,0.0,0.0,13809.113000000001,87280.0,544434.0
2007-03-01,22.002000000000002,139.0,492.0,13081.291000000001,82677.0,292300.0
2007-04-01,0.0,0.0,0.0,16550.77,104594.0,394622.0
2007-05-01,214.80800000000002,1358.0,5358.0,17417.259,110078.0,434447.0
2007-06-01,2.637,16.0,59.0,16659.529000000002,105286.0,373806.0
2007-07-01,166.002,1050.0,1968.0,15554.109,98305.0,184358.0
2007-08-01,9.079,57.0,204.0,15354.761,97047.0,345017.0
2007-09-01,9.013,57.0,198.0,15145.482,95725.0,332510.0
2007-10-01,186.982,1182.0,4019.0,17195.407,108679.0,369580.0
2007-11-01,71.255,450.0,1243.0,15356.925,97056.0,267973.0
2007-12-01,95.473,604.0,1501.0,14329.193,90557.0,225346.0
2008-01-01,6.261,46.0,121.0,12596.739,91615.0,243453.0
2008-02-01,12.361,100.0,378.0,6228.639,50388.0,190681.0
2008-03-01,2.467,16.0,40.0,12870.533,84004.0,207550.0
