measured_on,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,1628.554,28855.0,28855.0,1850.5230000000001,25443.0,25443.0
2003-02-01,1561.366,27665.0,27665.0,1774.178,24394.0,24394.0
2003-03-01,1577.634,27953.0,27953.0,1792.662,24648.0,24648.0
2003-04-01,1442.2720000000002,25555.0,25555.0,1638.851,22533.0,22533.0
2003-05-01,1468.036,26011.0,26011.0,1668.1270000000002,22936.0,22936.0
2003-06-01,1533.989,27180.0,27180.0,1743.0690000000002,23966.0,23966.0
2003-07-01,1775.9830000000002,31467.0,31467.0,2018.046,27747.0,27747.0
2003-08-01,1900.4270000000001,33672.0,33672.0,2159.452,29691.0,29691.0
2003-09-01,1620.5890000000002,28714.0,28714.0,1841.472,25319.0,25319.0
2003-10-01,1578.4560000000001,27968.0,27968.0,1793.596,24661.0,24661.0
2003-11-01,1587.141,28122.0,28122.0,1803.465,24796.0,24796.0
2003-12-01,1731.553,30680.0,30680.0,1967.5610000000001,27053.0,27053.0
2004-01-01,1762.4170000000001,33251.0,33251.0,1790.4170000000001,25531.0,25531.0
2004-02-01,1762.4170000000001,33251.0,33251.0,1790.4170000000001,25531.0,25531.0
2004-03-01,1762.4170000000001,33251.0,33251.0,1790.4170000000001,25531.0,25531.0
2004-04-01,1762.4170000000001,33251.0,33251.0,1790.4170000000001,25531.0,25531.0
2004-05-01,1762.4170000000001,33251.0,33251.0,1790.4170000000001,25531.0,25531.0
2004-06-01,1762.4170000000001,33251.0,33251.0,1790.4170000000001,25531.0,25531.0
2004-07-01,1762.4170000000001,33251.0,33251.0,1790.4170000000001,25531.0,25531.0
2004-08-01,1762.4170000000001,33251.0,33251.0,1790.4170000000001,25531.0,25531.0
2004-09-01,1762.4170000000001,33251.0,33251.0,1790.4170000000001,25531.0,25531.0
2004-10-01,1762.4170000000001,33251.0,33251.0,1790.4170000000001,25531.0,25531.0
2004-11-01,1762.4170000000001,33251.0,33251.0,1790.4170000000001,25531.0,25531.0
2004-12-01,1762.4170000000001,33251.0,33251.0,1790.4170000000001,25531.0,25531.0
2005-01-01,1695.393,35166.52,35166.52,1946.7510000000002,24985.86,24985.86
2005-02-01,1512.424,31371.3,31371.3,1736.655,22289.35,22289.35
2005-03-01,1727.3980000000001,35830.36,35830.36,1983.5,25457.52,25457.52
2005-04-01,1723.827,35756.29,35756.29,1979.4,25404.89,25404.89
2005-05-01,1895.097,39308.85,39308.85,2176.063,27928.99,27928.99
2005-06-01,1877.4930000000002,38943.71,38943.71,2155.849,27669.56,27669.56
2005-07-01,1944.044,40324.12,40324.12,2232.266,28650.34,28650.34
2005-08-01,1935.258,40141.87,40141.87,2222.177,28520.85,28520.85
2005-09-01,1823.0,37813.38,37813.38,2093.2760000000003,26866.45,26866.45
2005-10-01,1840.183,38169.8,38169.8,2113.007,27119.69,27119.69
2005-11-01,1853.375,38443.44,38443.44,2128.155,27314.11,27314.11
2005-12-01,1857.508,38529.17,38529.17,2132.9010000000003,27375.03,27375.03
2006-01-01,2880.3740000000003,56008.0,56008.0,2290.559,28345.0,28345.0
2006-02-01,2661.9030000000002,51760.0,51760.0,2116.825,26195.0,26195.0
2006-03-01,2936.2580000000003,57094.0,57094.0,2335.0,28895.0,28895.0
2006-04-01,2160.375,42008.0,42008.0,1717.9940000000001,21260.0,21260.0
2006-05-01,2641.243,51358.0,51358.0,2100.395,25992.0,25992.0
2006-06-01,2766.806,53799.0,53799.0,2200.246,27228.0,27228.0
2006-07-01,2871.485,55835.0,55835.0,2283.49,28258.0,28258.0
2006-08-01,2854.217,55499.0,55499.0,2269.7580000000003,28088.0,28088.0
2006-09-01,2730.126,53086.0,53086.0,2171.078,26867.0,26867.0
2006-10-01,2832.9790000000003,55086.0,55086.0,2252.869,27879.0,27879.0
2006-11-01,2861.2740000000003,55636.0,55636.0,2275.37,28157.0,28157.0
2006-12-01,2756.9590000000003,53608.0,53608.0,2192.415,27131.0,27131.0
2007-01-01,2520.495,49935.0,49935.0,2036.056,26305.0,26305.0
2007-02-01,2056.243,40737.0,40737.0,1661.0330000000001,21460.0,21460.0
2007-03-01,2799.603,55465.0,55465.0,2261.5190000000002,29218.0,29218.0
2007-04-01,2817.156,55812.0,55812.0,2275.699,29401.0,29401.0
2007-05-01,2950.049,58445.0,58445.0,2383.05,30788.0,30788.0
2007-06-01,2599.9410000000003,51509.0,51509.0,2100.232,27134.0,27134.0
2007-07-01,2247.325,44523.0,44523.0,1815.3890000000001,23454.0,23454.0
2007-08-01,3167.1710000000003,62747.0,62747.0,2558.4410000000003,33054.0,33054.0
2007-09-01,2196.3520000000003,43513.0,43513.0,1774.2130000000002,22922.0,22922.0
2007-10-01,2191.9030000000002,43425.0,43425.0,1770.6190000000001,22875.0,22875.0
2007-11-01,2619.652,51900.0,51900.0,2116.155,27340.0,27340.0
2007-12-01,2552.109,50561.0,50561.0,2061.594,26634.0,26634.0
2008-01-01,2802.7670000000003,58213.0,58213.0,2114.0550000000003,28380.0,28380.0
2008-02-01,3069.702,63757.0,63757.0,2315.397,31083.0,31083.0
2008-03-01,2685.933,55786.0,55786.0,2025.93,27197.0,27197.0
2008-04-01,3126.909,64945.0,64945.0,2358.547,31662.0,31662.0
2008-05-01,2160.38,44871.0,44871.0,1629.519,21875.0,21875.0
2008-06-01,2311.844,48016.0,48016.0,1743.765,23409.0,23409.0
2008-07-01,2729.866,56699.0,56699.0,2059.067,27642.0,27642.0
2008-08-01,1907.554,39619.0,39619.0,1438.819,19315.0,19315.0
2008-09-01,2556.3520000000003,53095.0,53095.0,1928.19,25885.0,25885.0
2008-10-01,2569.1820000000002,53361.0,53361.0,1937.8680000000002,26015.0,26015.0
