measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Generation,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Quantity Consumed For Electricity,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Total Fuel Consumed,"Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,3460.0,46846.0,46846.0,75.0,944.0,944.0,,,,474.0,6269.0,6269.0,0.0,0.0,0.0,,,,45727.0,543879.0,543879.0
2003-02-01,390.0,5894.0,5894.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-03-01,2381.0,32356.0,32356.0,0.0,0.0,0.0,,,,2706.0,36250.0,36250.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-04-01,2086.0,28693.0,28693.0,41.0,481.0,481.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,761.0,6871.0,6871.0
2003-05-01,5453.0,76499.0,76499.0,68.0,897.0,897.0,,,,1466.0,19769.0,19769.0,0.0,0.0,0.0,,,,37634.0,470881.0,470881.0
2003-06-01,3091.0,41553.0,41553.0,44.0,519.0,519.0,,,,5162.0,69360.0,69360.0,0.0,0.0,0.0,,,,86130.0,798554.0,798554.0
2003-07-01,4128.0,55586.0,55586.0,43.0,502.0,502.0,,,,11923.0,160211.0,160211.0,10717.0,116506.0,116506.0,,,,62003.0,754618.0,754618.0
2003-08-01,1920.0,25996.0,25996.0,81.0,889.0,889.0,,,,6896.0,106061.0,106061.0,0.0,0.0,0.0,,,,66787.0,819095.0,819095.0
2003-09-01,1909.0,25919.0,25919.0,20.0,217.0,217.0,,,,10278.0,146304.0,146304.0,0.0,0.0,0.0,,,,74771.0,895046.0,895046.0
2003-10-01,1605.0,23087.0,23087.0,26.0,302.0,302.0,,,,5517.0,77934.0,77934.0,0.0,0.0,0.0,,,,72741.0,882993.0,882993.0
2003-11-01,2273.0,26444.0,26444.0,0.0,0.0,0.0,,,,2464.0,25293.0,25293.0,0.0,0.0,0.0,,,,17611.0,214526.0,214526.0
2003-12-01,514.0,9111.0,9111.0,53.0,695.0,695.0,,,,58.0,980.0,980.0,0.0,0.0,0.0,,,,9804.0,128271.0,128271.0
2004-01-01,634.0,8770.0,8770.0,30.0,366.0,366.0,,,,58.0,977.0,977.0,0.0,0.0,0.0,,,,2038.0,24440.0,24440.0
2004-02-01,1707.0,24397.0,24397.0,43.0,419.0,419.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,2474.0,24031.0,24031.0
2004-03-01,317.0,2696.0,2696.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-04-01,692.0,8966.0,8966.0,42.0,507.0,507.0,,,,374.0,6256.0,6256.0,0.0,0.0,0.0,,,,12755.0,158669.0,158669.0
2004-05-01,3839.0,51353.0,51353.0,29.0,307.0,307.0,,,,7895.0,108422.0,108422.0,0.0,0.0,0.0,,,,61238.0,727875.0,727875.0
2004-06-01,10008.0,136133.0,136133.0,23.0,260.0,260.0,,,,22479.0,316292.0,316292.0,4670.0,48864.0,48864.0,,,,73596.0,876293.0,876293.0
2004-07-01,4324.0,60003.0,60003.0,60.0,713.0,713.0,,,,17420.0,224575.0,224575.0,11399.0,123630.0,123630.0,,,,65953.0,790010.0,790010.0
2004-08-01,1559.0,22434.0,22434.0,0.0,0.0,0.0,,,,11032.0,172342.0,172342.0,0.0,0.0,0.0,,,,85941.0,996632.0,996632.0
2004-09-01,2036.0,29862.0,29862.0,17.0,209.0,209.0,,,,12649.0,177344.0,177344.0,17573.0,198658.0,198658.0,,,,38179.0,468436.0,468436.0
2004-10-01,993.0,14633.0,14633.0,0.0,0.0,0.0,,,,6270.0,91756.0,91756.0,0.0,0.0,0.0,,,,17570.0,223405.0,223405.0
2004-11-01,196.0,2946.0,2946.0,0.0,0.0,0.0,,,,1195.0,18783.0,18783.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-12-01,3389.0,34434.0,34434.0,64.0,756.0,756.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,7954.0,82368.0,82368.0
2005-01-01,1184.0,14923.4,14923.4,41.0,481.4,481.4,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,6967.0,81556.2,81556.2
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-03-01,644.0,9378.6,9378.6,0.0,0.0,0.0,,,,308.0,4100.0,4100.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-04-01,65.0,1078.8,1078.8,50.0,672.8,672.8,,,,331.0,4795.0,4795.0,0.0,0.0,0.0,,,,1904.0,24195.6,24195.6
2005-05-01,364.0,4796.6,4796.6,0.0,0.0,0.0,,,,2024.0,28517.0,28517.0,0.0,0.0,0.0,,,,484.0,8183.5,8183.5
2005-06-01,1569.0,21141.0,21141.0,65.0,777.2,777.2,,,,4702.0,59357.0,59357.0,1504.0,18789.0,18789.0,,,,60461.0,728494.8,728494.8
2005-07-01,5035.0,70731.0,70731.0,10.0,121.8,121.8,,,,16982.0,238423.0,238423.0,0.0,0.0,0.0,,,,79191.0,926627.0,926627.0
2005-08-01,5779.0,83077.9,83077.9,77.0,902.7,902.7,,,,16719.0,236687.0,236687.0,0.0,0.0,0.0,,,,71595.0,854851.8,854851.8
2005-09-01,2951.0,41836.9,41836.9,16.0,206.5,206.5,,,,19552.0,269750.0,269750.0,1460.0,18733.0,18733.0,,,,67542.0,822571.2,822571.2
2005-10-01,3795.0,54439.3,54439.3,0.0,0.0,0.0,,,,11643.0,171454.0,171454.0,1815.0,22685.0,22685.0,,,,71596.0,865438.2,865438.2
2005-11-01,997.0,14343.4,14343.4,0.0,0.0,0.0,,,,1468.0,21511.0,21511.0,3.0,37.0,37.0,,,,5102.0,60224.0,60224.0
2005-12-01,7431.0,108182.4,108182.4,0.0,0.0,0.0,,,,100.0,1435.0,1435.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2006-01-01,115.0,2561.0,2561.0,20.0,271.0,271.0,,,,528.0,9371.0,9371.0,0.0,0.0,0.0,,,,781.0,10579.0,10579.0
2006-02-01,220.0,3033.0,3033.0,46.0,578.0,578.0,,,,444.0,6538.0,6538.0,0.0,0.0,0.0,,,,3195.0,40840.0,40840.0
2006-03-01,172.0,2384.0,2384.0,0.0,0.0,0.0,,,,564.0,8658.0,8658.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2006-04-01,531.0,7076.0,7076.0,0.0,0.0,0.0,,,,3006.0,42436.0,42436.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2006-05-01,610.0,9634.0,9634.0,0.0,0.0,0.0,,,,8899.0,122926.0,122926.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2006-06-01,2104.0,28530.0,28530.0,80.0,980.0,980.0,,,,11575.0,165084.0,165084.0,19942.0,228239.0,228239.0,,,,22968.0,288509.0,288509.0
2006-07-01,2143.0,29563.0,29563.0,8.0,99.0,99.0,,,,14975.0,215487.0,215487.0,18176.0,200155.0,200155.0,,,,46164.0,568269.0,568269.0
2006-08-01,3553.0,51869.0,51869.0,15.0,168.0,168.0,,,,15957.0,228290.0,228290.0,11467.0,132816.0,132816.0,,,,52461.0,649461.0,649461.0
2006-09-01,1721.0,24238.0,24238.0,0.0,0.0,0.0,,,,4781.0,63836.0,63836.0,27097.0,286600.0,286600.0,,,,24682.0,298981.0,298981.0
2006-10-01,2104.0,29110.0,29110.0,37.0,586.0,586.0,,,,10044.0,141598.0,141598.0,7135.0,106485.0,106485.0,,,,591.0,10520.0,10520.0
2006-11-01,76.0,1479.0,1479.0,0.0,0.0,0.0,,,,2920.0,41011.0,41011.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2006-12-01,381.0,4559.0,4559.0,0.0,0.0,0.0,,,,2103.0,30724.0,30724.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-01-01,309.461,4366.0,4366.0,0.0,0.0,0.0,,,,2079.539,29339.0,29339.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-02-01,1265.333,17623.0,17623.0,23.507,301.0,301.0,,,,932.667,12990.0,12990.0,0.0,0.0,0.0,,,,1931.4940000000001,24724.0,24724.0
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,6604.0,170312.0,170312.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-04-01,66.98100000000001,383.0,383.0,0.0,0.0,0.0,,,,10466.019,59814.0,59814.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,9761.0,137052.0,137052.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-06-01,138.52700000000002,1989.0,1989.0,125.647,1554.0,1554.0,,,,7856.473,112828.0,112828.0,8500.093,105156.0,105156.0,,,,19355.26,239447.0,239447.0
2007-07-01,2109.111,29087.0,29087.0,59.981,737.0,737.0,,,,19041.889000000003,262609.0,262609.0,29533.478000000003,362686.0,362686.0,,,,32270.54,396299.0,396299.0
2007-08-01,5692.545,79479.0,79479.0,29.417,354.0,354.0,,,,28271.455,394724.0,394724.0,26252.296000000002,315740.0,315740.0,,,,40940.287,492395.0,492395.0
2007-09-01,918.648,12998.0,12998.0,0.0,0.0,0.0,,,,3335.3520000000003,47191.0,47191.0,49644.091,605148.0,605148.0,,,,19820.909,241612.0,241612.0
2007-10-01,3155.426,43687.0,43687.0,0.0,0.0,0.0,,,,12519.574,173332.0,173332.0,54032.059,649506.0,649506.0,,,,16128.94,193882.0,193882.0
2007-11-01,799.465,10713.0,10713.0,0.0,0.0,0.0,,,,585.535,7846.0,7846.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-12-01,586.879,8938.0,8938.0,0.0,0.0,0.0,,,,986.1210000000001,15018.0,15018.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-01-01,0.0,0.0,0.0,42.371,528.0,528.0,,,,1567.0,21310.0,21310.0,0.0,0.0,0.0,,,,3711.6290000000004,46234.0,46234.0
2008-02-01,178.58700000000002,2709.0,2709.0,0.0,0.0,0.0,,,,1089.413,16523.0,16523.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
