measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Petroleum Coke Generation,Petroleum Coke Quantity Consumed For Electricity,Petroleum Coke Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed
2012-01-01,,,,137971.0,1581876.0,1581876.0,,,
2012-02-01,2683.767,33074.0,33074.0,66823.233,823500.0,823500.0,,,
2012-03-01,3479.802,41820.0,41820.0,77999.198,937393.0,937393.0,,,
2012-04-01,2782.202,33403.0,33403.0,82043.798,985010.0,985010.0,,,
2012-05-01,1822.16,22850.0,22850.0,74280.84,931487.0,931487.0,,,
2012-06-01,4934.831,60306.0,60306.0,79017.169,965621.0,965621.0,,,
2012-07-01,1589.338,19428.0,19428.0,80304.662,981647.0,981647.0,,,
2012-08-01,1796.135,20732.0,20732.0,136418.87,1574585.0,1574585.0,,,
2012-09-01,637.68,7434.0,7434.0,126940.32,1479778.0,1479778.0,,,
2012-10-01,3083.68,36464.0,36464.0,87494.32,1034605.0,1034605.0,,,
2012-11-01,825.612,9875.0,9875.0,138907.39,1661489.0,1661489.0,,,
2012-12-01,2856.882,33593.0,33593.0,137489.12,1616699.0,1616699.0,,,
2013-01-01,4338.552,55549.0,55549.0,79622.448,1019446.0,1019446.0,,,
2013-02-01,4424.854,66568.0,66568.0,19490.146,293210.0,293210.0,,,
2013-03-01,722.089,8727.0,8727.0,69376.911,838444.0,838444.0,,,
2013-04-01,390.34,4599.0,4599.0,69628.66,820384.0,820384.0,,,
2013-05-01,2331.577,28410.0,28410.0,71937.423,876553.0,876553.0,,,
2013-06-01,56013.734,714094.0,714094.0,62298.266,794212.0,794212.0,,,
2013-07-01,56197.393,679061.0,679061.0,65068.607,786256.0,786256.0,,,
2013-08-01,48315.052,599550.0,599550.0,63416.948,786951.0,786951.0,,,
2013-09-01,17976.926,227637.0,227637.0,59019.074,747343.0,747343.0,,,
2013-10-01,46907.15,594940.0,594940.0,30257.85,383771.0,383771.0,,,
2013-11-01,48633.0,628749.0,628749.0,0.0,0.0,0.0,,,
2013-12-01,43658.0,576209.0,576209.0,0.0,0.0,0.0,,,
2014-01-01,58078.0,714504.0,714504.0,0.0,0.0,0.0,,,
2014-02-01,49561.0,619108.0,619108.0,0.0,0.0,0.0,,,
2014-03-01,44907.0,593862.0,593862.0,0.0,0.0,0.0,,,
2014-04-01,45901.0,591348.0,591348.0,0.0,0.0,0.0,,,
2014-05-01,61481.0,826574.0,826574.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-01,98598.0,1225415.0,1225415.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-01,95739.0,1209256.0,1209256.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-01,89969.0,1163322.0,1163322.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-01,65953.0,874023.0,874023.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-01,42313.0,550578.0,550578.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-01,70985.0,928348.0,928348.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-01,43929.0,597460.0,597460.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,38615.0,518201.0,518201.0,0.0,0.0,0.0,,,
2015-02-01,40253.0,534748.0,534748.0,0.0,0.0,0.0,,,
2015-03-01,41527.0,535211.0,535211.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,35934.0,492779.0,492779.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,65986.0,860201.0,860201.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-01,76114.0,1014391.0,1014391.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,81936.0,1083650.0,1083650.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-01,87201.0,1134779.0,1134779.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,80015.0,1056084.0,1056084.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,17063.0,244317.0,244317.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01,35429.0,499291.0,499291.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,16441.0,226312.0,226312.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,0.0,2605.0,2605.0,,,,,,
2016-02-01,19175.0,295533.0,295533.0,,,,,,
2016-03-01,41764.0,589353.0,589353.0,,,,,,
2016-04-01,66323.0,901490.0,901490.0,,,,,,
2016-05-01,77918.0,1042031.0,1042031.0,,,,,,
2016-06-01,81556.0,1060913.0,1060913.0,,,,,,
2016-07-01,81248.0,1068152.0,1068152.0,,,,,,
2016-08-01,80011.0,1057982.0,1057982.0,,,,,,
2016-09-01,74863.0,991407.0,991407.0,,,,,,
2016-10-01,38572.0,527355.0,527355.0,,,,,,
2016-11-01,36718.0,500732.0,500732.0,,,,,,
2016-12-01,16913.0,238567.0,238567.0,,,,,,
2017-01-01,20410.0,290117.0,290117.0,,,,,,
2017-02-01,33318.0,444284.0,444284.0,,,,,,
2017-03-01,42765.0,573285.0,573285.0,,,,,,
2017-04-01,43003.0,553541.0,553541.0,,,,,,
2017-05-01,42046.0,571403.0,571403.0,,,,,,
2017-06-01,43517.0,559583.0,559583.0,,,,,,
2017-07-01,63136.0,766559.0,766559.0,,,,,,
2017-08-01,49053.0,573944.0,573944.0,,,,,,
2017-09-01,25622.0,370393.0,370393.0,,,,,,
2017-10-01,44667.0,599221.0,599221.0,,,,,,
2017-11-01,53310.0,650115.0,650115.0,,,,,,
2017-12-01,39637.0,550518.0,550518.0,,,,,,
2018-01-01,63838.0,855549.0,855549.0,,,,,,
2018-02-01,67977.0,915460.0,915460.0,,,,,,
2018-03-01,76097.0,976415.0,976415.0,,,,,,
2018-04-01,44627.0,650175.0,650175.0,,,,,,
2018-05-01,72694.0,971136.0,971136.0,,,,,,
2018-06-01,75534.0,964328.0,964328.0,,,,,,
2018-07-01,83745.0,1091709.0,1091709.0,,,,,,
2018-08-01,89322.0,1121782.0,1121782.0,,,,,,
2018-09-01,90796.0,1141173.0,1141173.0,,,,,,
2018-10-01,108213.0,1301232.0,1301232.0,,,,,,
2018-11-01,80439.0,1020837.0,1020837.0,,,,,,
2018-12-01,40388.0,508646.0,508646.0,,,,,,
2019-01-01,53612.0,669990.0,669990.0,,,,,,
2019-02-01,51062.0,684791.0,684791.0,,,,,,
2019-03-01,50629.0,650760.0,650760.0,,,,,,
2019-04-01,17426.0,275461.0,275461.0,,,,,,
2019-05-01,65411.0,821541.0,821541.0,,,,,,
2019-06-01,114028.0,1355951.0,1355951.0,,,,,,
2019-07-01,117570.0,1423388.0,1423388.0,,,,,,
2019-08-01,117203.0,1421502.0,1421502.0,,,,,,
2019-09-01,111823.0,1373430.0,1373430.0,,,,,,
2019-10-01,115627.0,1405224.0,1405224.0,,,,,,
2019-11-01,60132.0,817908.0,817908.0,,,,,,
2019-12-01,73832.0,923179.0,923179.0,,,,,,
2020-01-01,60423.0,735809.0,735809.0,,,,,,
2020-02-01,52801.0,650429.0,650429.0,,,,,,
2020-03-01,57192.0,740922.0,740922.0,,,,,,
2020-04-01,55601.0,653301.0,653301.0,,,,,,
2020-05-01,55976.0,681145.0,681145.0,,,,,,
2020-06-01,50204.0,695669.0,695669.0,,,,,,
2020-07-01,72075.0,1065809.0,1065809.0,,,,,,
2020-08-01,58561.0,712855.0,712855.0,,,,,,
2020-09-01,54078.0,683197.0,683197.0,,,,,,
2020-10-01,58534.0,722631.0,722631.0,,,,,,
2020-11-01,60402.0,870240.0,870240.0,,,,,,
2020-12-01,93127.0,1399803.0,1399803.0,,,,,,
2021-01-01,47413.0,776060.0,776060.0,,,,,,
2021-02-01,39215.0,755874.0,755874.0,,,,,,
2021-03-01,45807.0,898123.0,898123.0,,,,,,
2021-04-01,49104.0,814709.0,814709.0,,,,,,
2021-05-01,51788.0,1132018.0,1132018.0,,,,,,
2021-06-01,58762.0,929875.0,929875.0,,,,,,
2021-07-01,91350.0,1483543.0,1483543.0,,,,,,
2021-08-01,115226.0,1641311.0,1641311.0,,,,,,
2021-09-01,111347.0,1652865.0,1652865.0,,,,,,
2021-10-01,115257.0,1665900.0,1665900.0,,,,,,
2021-11-01,117839.0,1686811.0,1686811.0,,,,,,
2021-12-01,120574.0,1759285.0,1759285.0,,,,,,
2022-01-01,76867.0,1088633.0,1088633.0,,,,,,
2022-02-01,2374.0,23862.0,23862.0,,,,,,
2022-03-01,57604.0,902532.0,902532.0,,,,,,
2022-04-01,121473.0,1744663.0,1744663.0,,,,,,
2022-05-01,106490.0,1470508.0,1470508.0,,,,,,
2022-06-01,97498.0,1406912.0,1406912.0,,,,,,
2022-07-01,94472.0,1382352.0,1382352.0,,,,,,
2022-08-01,76085.0,985056.0,985056.0,,,,,,
2022-09-01,58405.0,711584.0,711584.0,,,,,,
2022-10-01,57593.0,695947.0,695947.0,,,,,,
2022-11-01,55723.0,685493.0,685493.0,,,,,,
2022-12-01,4964.0,78846.0,78846.0,,,,,,
2023-01-01,48100.0,604990.0,604990.0,,,,,,
2023-02-01,49893.0,631588.0,631588.0,,,,,,
2023-03-01,72646.0,991756.0,991756.0,,,,,,
2023-04-01,83347.0,1511359.0,1511359.0,,,,,,
2023-05-01,86398.0,1479033.0,1479033.0,,,,,,
2023-06-01,82099.0,1362951.0,1362951.0,,,,,,
2023-07-01,106241.0,1668711.0,1668711.0,,,,,,
2023-08-01,102396.0,1590987.0,1590987.0,,,,,,
2023-09-01,100302.0,1534288.0,1534288.0,,,,,,
2023-10-01,79593.0,1516366.0,1516366.0,,,,,,
2023-11-01,93640.0,1436250.0,1436250.0,,,,,,
2023-12-01,25273.0,392532.0,392532.0,,,,,,
2024-01-01,46367.0,598998.0,598998.0,,,,,,
2024-02-01,82858.0,1047224.0,1047224.0,,,,,,
2024-03-01,117832.0,1434567.0,1434567.0,,,,,,
2024-04-01,77979.0,1014857.0,1014857.0,,,,,,
2024-05-01,87704.0,1133606.0,1133606.0,,,,,,
2024-06-01,94039.0,1288707.0,1288707.0,,,,,,
2024-07-01,79382.0,1312231.0,1312231.0,,,,,,
2024-08-01,74317.0,1195882.0,1195882.0,,,,,,
2024-09-01,75150.0,1342443.0,1342443.0,,,,,,
2024-10-01,38661.0,848046.0,848046.0,,,,,,
2024-11-01,38494.0,855609.0,855609.0,,,,,,
2024-12-01,40818.0,907930.0,907930.0,,,,,,
