measured_on,"Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2003-01-01,8201.532000000001,155946.0,155946.0
2003-02-01,7150.853,135968.0,135968.0
2003-03-01,8064.93,153349.0,153349.0
2003-04-01,6323.5960000000005,120238.0,120238.0
2003-05-01,6233.2210000000005,118520.0,118520.0
2003-06-01,6795.303,129208.0,129208.0
2003-07-01,8076.419000000001,153567.0,153567.0
2003-08-01,8233.268,156549.0,156549.0
2003-09-01,6677.301,126964.0,126964.0
2003-10-01,7008.274,133257.0,133257.0
2003-11-01,7566.045,143863.0,143863.0
2003-12-01,8169.259,155332.0,155332.0
2004-01-01,8549.151,162555.67,165796.68
2004-02-01,5501.7080000000005,104610.85,106696.48
2004-03-01,0.0,0.0,0.0
2004-04-01,5998.852,114063.67,116337.79
2004-05-01,18819.934,357846.91,364981.48
2004-06-01,20112.619,382426.34,390050.93
2004-07-01,17393.08,330716.36,337310.07
2004-08-01,1300.201,24722.36,25215.28
2004-09-01,1138.198,21641.98,22073.55
2004-10-01,3523.1530000000002,66990.12,68325.8
2004-11-01,4129.691,78522.96,80088.62
2004-12-01,2998.452,57013.3,58150.11
2005-01-01,7614.028,144775.01,219464.32
2005-02-01,6913.19,131449.13,199263.65
2005-03-01,7410.496,140905.0,213597.76
2005-04-01,6096.491,115920.19,175723.34
2005-05-01,5791.826,110127.21,166941.82
2005-06-01,7423.895,141159.79,213984.1
2005-07-01,8282.899000000001,157493.12,238743.65
2005-08-01,8204.084,155994.5,236471.97
2005-09-01,7390.615000000001,140527.0,213024.79
2005-10-01,6920.99,131597.42,199488.42
2005-11-01,6796.671,129233.59,195905.13
2005-12-01,7839.836,149068.59,225973.04
2006-01-01,6691.209000000001,127228.32,228789.3
2006-02-01,6291.233,119623.06,215113.09
2006-03-01,6143.497,116813.98,210061.7
2006-04-01,6149.349,116925.25,210261.65
2006-05-01,6467.254,122969.97,221131.68
2006-06-01,6615.838000000001,125795.2,226212.27
2006-07-01,6947.5070000000005,132101.64,237552.69
2006-08-01,6944.466,132043.8,237448.72
2006-09-01,6271.584000000001,119249.45,214441.26
2006-10-01,6140.244000000001,116752.14,209950.48
2006-11-01,6225.131,118366.19,212852.82
2006-12-01,6635.087,126161.2,226870.34
2007-01-01,8227.54,156438.0,281484.0
2007-02-01,7739.63,147168.0,283680.0
2007-03-01,6427.22,122202.0,219708.0
2007-04-01,8140.24,154782.0,304722.0
2007-05-01,7240.08,137664.0,295200.0
2007-06-01,6808.43,80622.0,80622.0
2007-07-01,3708.31,43866.0,43866.0
2007-08-01,0.0,0.0,144162.0
2007-09-01,7940.42,150984.0,267138.0
2007-10-01,8600.0,158616.0,269082.0
2007-11-01,7967.58,151506.0,282834.0
2007-12-01,8575.77,163062.0,308682.0
2008-01-01,8562.19,162804.0,327456.0
2008-02-01,7780.37,147938.0,282294.0
2008-03-01,5668.68,107786.0,294840.0
2008-04-01,8423.48,160166.0,296784.0
2008-05-01,7904.53,150299.0,290160.0
2008-06-01,7470.9400000000005,53154.0,53154.0
2008-07-01,4249.57,42156.0,42156.0
2008-08-01,0.0,0.0,87660.0
2008-09-01,6019.82,114462.0,183420.0
2008-10-01,8155.76,155076.0,228942.0
2008-11-01,8358.49,158930.0,280080.0
2008-12-01,8410.87,159926.0,314694.0
2009-01-01,9225.67,175419.0,305172.0
2009-02-01,8834.76,167986.0,256194.0
2009-03-01,7688.22,146186.0,304110.0
2009-04-01,8871.62,168687.0,286380.0
2009-05-01,8840.58,168097.0,291114.0
2009-06-01,7965.64,151461.0,180288.0
2009-07-01,0.0,0.0,0.0
2009-08-01,114.46,2176.0,115776.0
2009-09-01,7061.6,134271.0,239634.0
2009-10-01,7783.28,147993.0,264798.0
2009-11-01,8312.9,158064.0,264366.0
2009-12-01,8141.21,154799.0,311112.0
2010-01-01,8972.5,170605.0,326718.0
2010-02-01,9329.460000000001,177393.0,262152.0
2010-03-01,8613.6,163781.0,313560.0
2010-04-01,9026.82,171638.0,291096.0
2010-05-01,4131.2300000000005,58014.0,58014.0
2010-06-01,0.0,0.0,34812.0
2010-07-01,0.0,0.0,56232.0
2010-08-01,2092.29,39783.0,193392.0
2010-09-01,8676.65,164980.0,267012.0
2010-10-01,8164.49,155242.0,258768.0
2010-11-01,8642.7,164334.0,268272.0
2010-12-01,8480.710000000001,161254.0,282780.0
2011-01-01,8172.25,155389.0,236705.0
2011-02-01,8033.54,152752.0,228103.0
2011-03-01,8278.95,157418.0,247925.0
2011-04-01,9204.33,175013.0,203101.0
2011-05-01,7383.64,140394.0,224886.0
2011-06-01,3004.09,57121.0,61635.0
2011-07-01,0.0,0.0,0.0
2011-08-01,0.0,0.0,0.0
2011-09-01,1606.32,30543.0,150647.0
2011-10-01,5369.92,102105.0,240295.0
2011-11-01,6222.55,118317.0,252562.0
2011-12-01,6206.06,118004.0,273880.0
2012-01-01,6221.58,118299.0,257910.0
