measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Other Gases - Combined Cycle Combustion Turbine Part - Other Gases - Generation,Other Gases - Combined Cycle Combustion Turbine Part - Other Gases - Quantity Consumed For Electricity,Other Gases - Combined Cycle Combustion Turbine Part - Other Gases - Total Fuel Consumed,Other Gases - Combined Cycle Steam Part - Other Gases - Generation,Other Gases - Combined Cycle Steam Part - Other Gases - Quantity Consumed For Electricity,Other Gases - Combined Cycle Steam Part - Other Gases - Total Fuel Consumed,"Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed"
2004-05-01,47525.286,620676.59,620676.59,17520.24968,30894.6,30894.6,,,,,,,0.0,0.0,0.0,811.22032,8932.22,30168.96,,,
2004-06-01,50835.704,663910.4,663910.4,21420.85951,35303.87,35303.87,,,,,,,0.0,0.0,0.0,1229.89149,13542.15,40145.81,,,
2004-07-01,56420.081,736841.95,736841.95,24855.36549,41503.76,41503.76,,,,,,,0.0,0.0,0.0,1475.47851,16246.27,46204.61,,,
2004-08-01,56877.818,742819.95,742819.95,22955.41402,42991.96,42991.96,,,,,,,0.0,0.0,0.0,1083.32498,11928.33,37084.48,,,
2004-09-01,51844.279,677082.32,677082.32,22371.88769,36044.64,36044.64,,,,,,,0.0,0.0,0.0,1347.89031,14841.42,42965.39,,,
2004-10-01,48391.797,631993.16,631993.16,19578.06751,32448.13,32448.13,,,,,,,0.0,0.0,0.0,1070.55749,11787.75,36332.63,,,
2004-11-01,42117.874,550056.21,550056.21,16618.36057,27205.2,27205.2,,,,,,,0.0,0.0,0.0,896.36043,9869.69,31136.3,,,
2004-12-01,42623.985,556665.98,556665.98,16142.69611,26994.65,26994.65,,,,,,,0.0,0.0,0.0,815.74289,8982.02,29494.27,,,
2005-01-01,37535.331,503286.92,503286.92,14212.60755,34525.15,34525.15,,,,,,,0.0,0.0,0.0,641.97045,7068.64,24292.48,,,
2005-02-01,33879.551,454268.94,454268.94,12322.44791,31162.55,31162.55,,,,,,,0.0,0.0,0.0,497.50809,5477.99,19598.87,,,
2005-03-01,36562.899,490248.22,490248.22,13770.60659,33630.71,33630.71,,,,,,,0.0,0.0,0.0,613.04541,6750.15,23322.25,,,
2005-04-01,36738.501000000004,492602.74,492602.74,14089.56795,33792.22,33792.22,,,,,,,0.0,0.0,0.0,658.55105,7251.21,24603.87,,,
2005-05-01,40350.113,541028.51,541028.51,15409.90006,37114.2,37114.2,,,,,,,0.0,0.0,0.0,712.26594,7842.65,26722.52,,,
2005-06-01,51827.371,694919.62,694919.62,17804.80883,47671.03,47671.03,,,,,,,0.0,0.0,0.0,604.75717,6658.89,25222.79,,,
2005-07-01,66365.914,889857.52,889857.52,21332.0713,61043.63,61043.63,,,,,,,0.0,0.0,0.0,576.6617,6349.53,25705.35,,,
2005-08-01,68776.21,922175.62,922175.62,21618.22948,63260.63,63260.63,,,,,,,0.0,0.0,0.0,536.66352,5909.12,24463.04,,,
2005-09-01,51871.944,695517.27,695517.27,17001.09626,47712.02,47712.02,,,,,,,0.0,0.0,0.0,493.11774,5429.64,21557.41,,,
2005-10-01,40262.652,539855.8,539855.8,12882.83348,37033.74,37033.74,,,,,,,0.0,0.0,0.0,342.39552,3770.07,15332.37,,,
2005-11-01,35923.897,481680.25,481680.25,11961.95063,33042.95,33042.95,,,,,,,0.0,0.0,0.0,366.54637,4035.99,15772.5,,,
2005-12-01,40988.108,549582.97,549582.97,14281.74871,37701.03,37701.03,,,,,,,0.0,0.0,0.0,507.20029,5584.71,20856.73,,,
2006-01-01,39035.578,536670.5,536670.5,17829.95853,47199.86,47199.86,,,,,,,0.0,0.0,0.0,794.23447,8745.2,26008.47,,,
2006-02-01,34416.68,473168.79,473168.79,15851.75564,41614.93,41614.93,,,,,,,0.0,0.0,0.0,770.01636,8478.53,25006.18,,,
2006-03-01,38121.129,524098.44,524098.44,17542.21257,46094.16,46094.16,,,,,,,0.0,0.0,0.0,844.46043,9298.23,27448.37,,,
2006-04-01,36321.883,499361.97,499361.97,16713.34236,43918.6,43918.6,,,,,,,0.0,0.0,0.0,804.11664,8854.01,26138.46,,,
2006-05-01,42336.15,582047.56,582047.56,19375.66756,51190.75,51190.75,,,,,,,0.0,0.0,0.0,881.44244,9705.43,28807.43,,,
2006-06-01,44874.277,616942.34,616942.34,20264.4111,54259.72,54259.72,,,,,,,0.0,0.0,0.0,792.9559,8731.12,26264.45,,,
2006-07-01,50526.457,694649.87,694649.87,22614.93893,61094.06,61094.06,,,,,,,0.0,0.0,0.0,791.33907,8713.31,26444.9,,,
2006-08-01,52196.905,717615.6,717615.6,23459.84431,63113.88,63113.88,,,,,,,0.0,0.0,0.0,866.07169,9536.18,28822.34,,,
2006-09-01,42500.628,584308.84,584308.84,19186.22338,51389.63,51389.63,,,,,,,0.0,0.0,0.0,747.81362,8234.06,24777.36,,,
2006-10-01,44552.868,612523.53,612523.53,20175.37228,53871.09,53871.09,,,,,,,0.0,0.0,0.0,815.92372,8984.01,26950.04,,,
2006-11-01,37634.533,517408.6,517408.6,17247.87557,45505.79,45505.79,,,,,,,0.0,0.0,0.0,796.21143,8766.96,25985.74,,,
2006-12-01,42203.011,580217.14,580217.14,19073.61412,51029.76,51029.76,,,,,,,0.0,0.0,0.0,753.64588,8298.28,24942.13,,,
2007-01-01,37261.67,467769.0,519790.0,11157.255000000001,65364.0,65364.0,,,,,,,0.0,0.0,0.0,442.975,4877.0,23232.0,,,
2007-02-01,35199.043,464721.0,491016.0,10510.555,38581.0,38581.0,,,,,,,0.0,0.0,0.0,447.535,4928.0,22550.0,,,
2007-03-01,39988.015,493458.0,557821.0,11797.063,76740.0,76740.0,,,,,,,0.0,0.0,0.0,651.917,7178.0,35066.0,,,
2007-04-01,40446.024,520687.0,564210.0,11890.034,55578.0,55578.0,,,,,,,0.0,0.0,0.0,701.5360000000001,7724.0,36569.0,,,
2007-05-01,39461.412,501938.0,550475.0,11590.144,60183.0,60183.0,,,,,,,0.0,0.0,0.0,694.9060000000001,7652.0,36613.0,,,
2007-06-01,31026.976,396509.0,432817.0,9348.191,48056.0,48056.0,,,,,,,0.0,0.0,0.0,311.069,3424.0,16001.0,,,
2007-07-01,34843.815,427349.0,486061.0,10386.166,70671.0,70671.0,,,,,,,0.0,0.0,0.0,461.344,5079.0,24730.0,,,
2007-08-01,43346.844,533989.0,604676.0,12954.055,85932.0,85932.0,,,,,,,0.0,0.0,0.0,540.585,5952.0,28820.0,,,
2007-09-01,44132.023,573665.0,615629.0,13193.336,57536.0,57536.0,,,,,,,0.0,0.0,0.0,545.744,6009.0,27846.0,,,
2007-10-01,52828.136,662865.0,736937.0,15822.009,93032.0,93032.0,,,,,,,0.0,0.0,0.0,624.341,6875.0,32751.0,,,
2007-11-01,44222.326,575129.0,616889.0,13136.441,56439.0,56439.0,,,,,,,0.0,0.0,0.0,630.769,6945.0,32331.0,,,
2007-12-01,44826.826,597895.0,625321.0,13308.755000000001,42227.0,42227.0,,,,,,,0.0,0.0,0.0,646.635,7119.0,32434.0,,,
2008-01-01,43866.002,580121.0,609323.0,12738.507,43143.0,43143.0,,,,,,,,,,755.163,8315.0,38679.0,,,
2008-02-01,35251.098,471586.0,489657.0,10057.665,27301.0,27301.0,,,,,,,,,,785.965,8654.0,40398.0,,,
2008-03-01,34942.072,455728.0,485364.0,10071.317,39908.0,39908.0,,,,,,,,,,677.253,7457.0,35322.0,,,
2008-04-01,32268.046000000002,436278.0,448220.0,9311.031,21543.0,21543.0,,,,,,,,,,614.979,6771.0,31027.0,,,
2008-05-01,35497.058,465778.0,493073.0,10478.78,40455.0,40455.0,,,,,,,,,,440.51,4850.0,22429.0,,,
2008-06-01,53174.637,675247.0,738624.0,15796.24,84181.0,84181.0,,,,,,,,,,560.87,6176.0,29215.0,,,
2008-07-01,60780.474,794675.0,844273.0,17879.902000000002,71443.0,71443.0,,,,,,,,,,816.8480000000001,8994.0,41835.0,,,
2008-08-01,46117.48,607217.0,640596.0,13354.423,47620.0,47620.0,,,,,,,,,,831.827,9159.0,42868.0,,,
2008-09-01,37527.804000000004,501232.0,521281.0,11076.948,33948.0,33948.0,,,,,,,,,,467.02200000000005,5142.0,23409.0,,,
2008-10-01,34815.938,461872.0,483612.0,10168.479,33445.0,33445.0,,,,,,,,,,541.291,5960.0,27524.0,,,
2008-11-01,35661.031,476518.0,495351.0,10247.249,28971.0,28971.0,,,,,,,,,,722.481,7955.0,36967.0,,,
2008-12-01,29877.82,390864.0,415019.0,8993.338,37140.0,37140.0,,,,,,,,,,197.412,2174.0,9925.0,,,
2009-01-01,25816.229,284664.0,370264.0,6558.201,71806.0,71806.0,,,,,,,,,,316.189,3482.0,21313.0,,,
2009-02-01,33841.227,429121.0,485361.0,8567.693000000001,37838.0,37838.0,,,,,,,,,,443.607,4884.0,27090.0,,,
2009-03-01,30526.317,373004.0,437817.0,7844.304,49489.0,49489.0,,,,,,,,,,284.296,3130.0,17661.0,,,
2009-04-01,31491.648,386000.0,451662.0,8031.027,49178.0,49178.0,,,,,,,,,,354.623,3905.0,22115.0,,,
2009-05-01,36464.013,460932.0,522977.0,9330.292000000001,43302.0,43302.0,,,,,,,,,,379.408,4178.0,23027.0,,,
2009-06-01,30300.466,370006.0,434578.0,7658.325000000001,47953.0,47953.0,,,,,,,,,,410.135,4516.0,25841.0,,,
2009-07-01,36114.308,459048.0,517961.0,9276.083,40739.0,40739.0,,,,,,,,,,340.497,3749.0,20508.0,,,
2009-08-01,45658.336,598896.0,654844.0,11695.797,32622.0,32622.0,,,,,,,,,,462.18300000000005,5089.0,27167.0,,,
2009-09-01,43913.454,565444.0,629819.0,11463.961,44308.0,44308.0,,,,,,,,,,229.389,2526.0,13489.0,,,
2009-10-01,54018.466,710372.0,774747.0,14377.467,42725.0,42725.0,,,,,,,,,,6.663,73.0,379.0,,,
2009-11-01,44062.807,578942.0,631961.0,11233.118,29913.0,29913.0,,,,,,,,,,500.002,5505.0,29461.0,,,
2009-12-01,46230.249,582001.0,663047.0,12183.361,61182.0,61182.0,,,,,,,,,,126.909,1397.0,7544.0,,,
2010-01-01,41825.145,546065.0,570944.0,11789.74,44280.0,44280.0,,,,,,,,,,368.24,4055.0,19216.0,,,
2010-02-01,43690.491,562083.0,596408.0,12154.371,52816.0,52816.0,,,,,,,,,,545.839,6010.0,29156.0,,,
2010-03-01,46086.41,604643.0,629114.0,12771.831,43436.0,43436.0,,,,,,,,,,624.839,6880.0,32903.0,,,
2010-04-01,43476.927,570512.0,593492.0,12077.54,41190.0,41190.0,,,,,,,,,,560.59,6173.0,29459.0,,,
2010-05-01,25310.652000000002,308715.0,345509.0,6844.628000000001,45342.0,45342.0,,,,,,,,,,512.822,5647.0,29284.0,,,
2010-06-01,28350.600000000002,331829.0,387007.0,7589.015,63896.0,63896.0,,,,,,,,,,652.105,7180.0,38745.0,,,
2010-07-01,44150.988,570190.0,602694.0,12385.478,52325.0,52325.0,,,,,,,,,,448.59200000000004,4939.0,23724.0,,,
2010-08-01,50811.51,665499.0,693614.0,14019.204,48342.0,48342.0,,,,,,,,,,750.986,8269.0,39745.0,,,
2010-09-01,45258.85,595602.0,617817.0,12856.111,44293.0,44293.0,,,,,,,,,,299.999,3303.0,15450.0,,,
2010-10-01,36372.592000000004,460346.0,496513.0,9850.745,48612.0,48612.0,,,,,,,,,,722.255,7953.0,39968.0,,,
2010-11-01,22904.722,258083.0,312667.0,6658.08,67428.0,67428.0,,,,,,,,,,0.0,0.0,0.0,,,
2010-12-01,31907.773,406392.0,435564.0,8674.071,40449.0,40449.0,,,,,,,,,,601.0690000000001,6618.0,32985.0,,,
2011-01-01,37026.696,471819.0,514409.0,9360.681,38945.0,38945.0,,,,,,,,,,581.819,6406.0,34394.0,,,
2011-02-01,43196.608,548888.0,600126.0,10964.269,47469.0,47469.0,,,,,,,,,,634.991,6992.0,37505.0,,,
