measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Other Gases - Combined Cycle Combustion Turbine Part - Other Gases - Generation,Other Gases - Combined Cycle Combustion Turbine Part - Other Gases - Quantity Consumed For Electricity,Other Gases - Combined Cycle Combustion Turbine Part - Other Gases - Total Fuel Consumed,Other Gases - Combined Cycle Steam Part - Other Gases - Generation,Other Gases - Combined Cycle Steam Part - Other Gases - Quantity Consumed For Electricity,Other Gases - Combined Cycle Steam Part - Other Gases - Total Fuel Consumed,"Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed"
2015-04-01,32032.31,428465.0,526535.0,10417.632,38945.0,38945.0,,,,,,,0.0,0.0,0.0,630.668,6944.0,34233.0,,,
2015-05-01,44197.08,512874.0,512874.0,14756.743,48864.0,48864.0,,,,,,,0.0,0.0,0.0,945.617,10412.0,35996.0,,,
2015-06-01,40014.44,481138.0,481138.0,15863.23,34460.0,34460.0,,,,,,,0.0,0.0,0.0,965.3,10629.0,31375.0,,,
2015-07-01,35294.42,517089.0,517089.0,16717.95,40426.0,40426.0,,,,,,,0.0,0.0,0.0,1161.09,12785.0,38720.0,,,
2015-08-01,38947.44,470808.0,608888.0,13924.304,111354.0,111354.0,,,,,,,0.0,0.0,0.0,564.586,6217.0,29203.0,,,
2015-09-01,36802.77,544430.0,571003.0,17572.946,54293.0,54293.0,,,,,,,0.0,0.0,0.0,1185.884,13058.0,42197.0,,,
2015-10-01,52428.5,567618.0,567618.0,18316.57,59364.0,59364.0,,,,,,,0.0,0.0,0.0,1144.54,12602.0,39178.0,,,
2015-11-01,38927.07,505233.0,531849.0,13661.384,73810.0,73810.0,,,,,,,0.0,0.0,0.0,500.616,5512.0,22194.0,,,
2015-12-01,43496.74,570766.0,609002.0,14368.416,66378.0,66378.0,,,,,,,0.0,0.0,0.0,823.724,9070.0,38719.0,,,
2016-01-01,47746.31,381702.0,643056.0,13329.468,106561.0,107764.0,,,,,,,0.0,0.0,0.0,647.262,5174.0,36459.0,,,
2016-02-01,42519.95,380024.0,535057.0,12008.644,55899.0,55899.0,,,,,,,0.0,0.0,0.0,513.086,4102.0,25249.0,,,
2016-03-01,41816.7,339290.0,575671.0,8180.055,60402.0,60402.0,,,,,,,0.0,0.0,0.0,449.065,3590.0,34919.0,,,
2016-04-01,44380.41,362577.0,603398.0,11091.419,80886.0,80886.0,,,,,,,0.0,0.0,0.0,645.581,5161.0,39829.0,,,
2016-05-01,43327.96,401366.0,592497.0,12115.803,41872.0,41872.0,,,,,,,0.0,0.0,0.0,793.927,6347.0,41569.0,,,
2016-06-01,40487.8,390888.0,563543.0,12909.189,35988.0,35988.0,,,,,,,0.0,0.0,0.0,804.671,6433.0,37371.0,,,
2016-07-01,42097.03,349680.0,589798.0,11862.005,81689.0,81689.0,,,,,,,0.0,0.0,0.0,651.965,5212.0,36907.0,,,
2016-08-01,44560.83,380083.0,611325.0,13052.292,80498.0,80498.0,,,,,,,0.0,0.0,0.0,748.868,5987.0,39693.0,,,
2016-09-01,54118.24,497985.0,718162.0,15452.075,58187.0,58187.0,,,,,,,0.0,0.0,0.0,711.035,5684.0,35724.0,,,
2016-10-01,44140.82,392540.0,580512.0,13937.302,71758.0,71758.0,,,,,,,0.0,0.0,0.0,443.918,3549.0,20776.0,,,
2016-11-01,39761.27,338500.0,524898.0,12139.85,76418.0,76418.0,,,,,,,0.0,0.0,0.0,729.14,5829.0,36116.0,,,
2016-12-01,29261.02,233924.0,400457.0,6495.12,51924.0,84518.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-01-01,51830.01,420963.0,690679.0,13079.927,97952.0,97952.0,,,,,,,0.0,0.0,0.0,98.493,787.0,5938.0,,,
2017-02-01,38750.53,322886.0,537834.0,12629.968,87869.0,87869.0,,,,,,,0.0,0.0,0.0,620.232,4958.0,30727.0,,,
2017-03-01,41930.19,350953.0,559298.0,14917.521,103509.0,103509.0,,,,,,,0.0,0.0,0.0,985.629,7879.0,43793.0,,,
2017-04-01,45087.54,400753.0,587215.0,14105.926,72462.0,72462.0,,,,,,,0.0,0.0,0.0,1027.044,8211.0,48031.0,,,
2017-05-01,44454.13,116205.0,116205.0,7384.968,59038.0,322093.0,,,,,,,0.0,0.0,0.0,7112.652,56861.0,422136.0,,,
2017-06-01,45482.33,401645.0,596837.0,14117.93,74822.0,74822.0,,,,,,,0.0,0.0,0.0,691.06,5525.0,32877.0,,,
2017-07-01,58270.81,574820.0,753497.0,22067.693,67436.0,67436.0,,,,,,,0.0,0.0,0.0,1501.367,12002.0,55852.0,,,
2017-08-01,57157.25,598583.0,724745.0,21268.896,28386.0,28386.0,,,,,,,0.0,0.0,0.0,1040.134,8315.0,36831.0,,,
2017-09-01,28018.45,238343.0,383934.0,7876.405,48614.0,48614.0,,,,,,,0.0,0.0,0.0,355.015,2838.0,19496.0,,,
2017-10-01,51827.1,495957.0,685373.0,18382.49,65325.0,65325.0,,,,,,,0.0,0.0,0.0,828.36,6622.0,33828.0,,,
2017-11-01,49211.01,455205.0,652527.0,17244.199,76063.0,76063.0,,,,,,,0.0,0.0,0.0,674.611,5393.0,28503.0,,,
2017-12-01,55030.04,521239.0,731850.0,15705.102,44245.0,44245.0,,,,,,,0.0,0.0,0.0,748.038,5980.0,36966.0,,,
2018-01-01,48858.9,442160.0,613426.0,14023.058,60542.0,60542.0,,,,,,,0.0,0.0,0.0,948.892,7586.0,45605.0,,,
2018-02-01,41341.4,353833.0,503755.0,12062.941,73102.0,73102.0,,,,,,,0.0,0.0,0.0,507.289,4055.0,24259.0,,,
2018-03-01,45936.29,367232.0,560033.0,13333.303,106591.0,108628.0,,,,,,,0.0,0.0,0.0,395.107,3159.0,19814.0,,,
2018-04-01,45231.1,371383.0,565946.0,10418.965,73504.0,73504.0,,,,,,,0.0,0.0,0.0,420.785,3364.0,25825.0,,,
2018-05-01,50821.21,456395.0,665459.0,14976.539,69617.0,69617.0,,,,,,,0.0,0.0,0.0,522.121,4174.0,25627.0,,,
2018-06-01,68770.09,698310.0,869905.0,23344.56,38089.0,38089.0,,,,,,,0.0,0.0,0.0,902.53,7215.0,35104.0,,,
2018-07-01,63651.4,684553.0,812844.0,28028.452,48370.0,48370.0,,,,,,,0.0,0.0,0.0,1171.458,9365.0,35995.0,,,
2018-08-01,47385.47,565095.0,625715.0,26873.07,28555.0,28555.0,,,,,,,0.0,0.0,0.0,1376.24,11002.0,33507.0,,,
2018-09-01,34841.43,424787.0,459589.0,19565.958,10167.0,10167.0,,,,,,,0.0,0.0,0.0,1303.592,10421.0,31298.0,,,
2018-10-01,53253.0,494179.0,683003.0,15490.3,55381.0,55381.0,,,,,,,0.0,0.0,0.0,764.96,6115.0,36464.0,,,
2018-11-01,44457.04,383405.0,578279.0,11054.258,60373.0,60373.0,,,,,,,0.0,0.0,0.0,1232.732,9855.0,71220.0,,,
2018-12-01,53762.25,429796.0,692406.0,16233.518,129777.0,175436.0,,,,,,,0.0,0.0,0.0,1066.432,8525.0,57011.0,,,
2019-01-01,44872.2,359771.0,604776.0,12406.884,98139.0,98139.0,,,,,,,0.0,0.0,0.0,732.736,5858.0,41513.0,,,
2019-02-01,42759.54,401060.0,566218.0,11745.772,34676.0,34676.0,,,,,,,0.0,0.0,0.0,680.898,5443.0,34834.0,,,
2019-03-01,44597.69,406406.0,580259.0,9906.482,29321.0,29321.0,,,,,,,0.0,0.0,0.0,1003.108,8019.0,61725.0,,,
2019-04-01,44645.22,358768.0,554674.0,5020.171,38276.0,38276.0,,,,,,,0.0,0.0,0.0,599.039,4789.0,70755.0,,,
2019-05-01,57541.37,562757.0,766678.0,18091.072,41877.0,41877.0,,,,,,,0.0,0.0,0.0,688.128,5501.0,30755.0,,,
2019-06-01,63506.87,592132.0,826825.0,17343.087,54213.0,54213.0,,,,,,,0.0,0.0,0.0,1146.083,9162.0,58222.0,,,
2019-07-01,56260.97,484750.0,741955.0,14931.668,84390.0,84390.0,,,,,,,0.0,0.0,0.0,1594.222,12745.0,88227.0,,,
2019-08-01,32257.35,307084.0,462809.0,13524.338,58912.0,58912.0,,,,,,,0.0,0.0,0.0,2114.002,16900.0,81551.0,,,
2019-09-01,40261.79,432342.0,561616.0,16196.846,19010.0,19010.0,,,,,,,0.0,0.0,0.0,2110.934,16876.0,75673.0,,,
2019-10-01,43910.93,351041.0,580029.0,9814.071,78457.0,130211.0,,,,,,,0.0,0.0,0.0,1049.929,8394.0,75983.0,,,
2019-11-01,48256.53,385781.0,620206.0,11818.764,94484.0,110248.0,,,,,,,0.0,0.0,0.0,1040.526,8318.0,64309.0,,,
2019-12-01,46844.21,427270.0,589955.0,16324.979,77728.0,77728.0,,,,,,,0.0,0.0,0.0,1929.451,15425.0,78914.0,,,
2020-01-01,,,,,,,49573.823,392268.0,626111.0,10358.694,82811.0,109046.0,,,,,,,7394.246,59112.0,77839.0
2020-02-01,,,,,,,47165.324,373210.0,595690.0,9453.197,67411.0,67411.0,,,,,,,9453.073,67411.0,67411.0
2020-03-01,,,,,,,45960.775,363678.0,580477.0,14133.208,97241.0,97241.0,,,,,,,3815.672,26253.0,26253.0
2020-04-01,,,,,,,40923.602,323820.0,516858.0,10146.931,81118.0,129964.0,,,,,,,3247.799,25964.0,41599.0
2020-05-01,,,,,,,48993.036,387672.0,618775.0,9974.915,76243.0,76243.0,,,,,,,8009.855,61223.0,61223.0
2020-06-01,,,,,,,57947.64,458528.0,731870.0,9240.706,73874.0,119676.0,,,,,,,6570.294,52525.0,85091.0
2020-07-01,,,,,,,70502.38,557871.0,890434.0,10053.589,80372.0,96637.0,,,,,,,5848.591,46756.0,56218.0
2020-08-01,,,,,,,68237.045,539946.0,861823.0,2610.684,9868.0,9868.0,,,,,,,18132.766,68542.0,68542.0
2020-09-01,,,,,,,56307.896,445553.0,711159.0,3626.312,15653.0,15653.0,,,,,,,14157.668,61111.0,61111.0
2020-10-01,,,,,,,48693.136,385299.0,614986.0,8393.003,67097.0,85923.0,,,,,,,4677.747,37396.0,47888.0
2020-11-01,,,,,,,38140.18,301796.0,481704.0,14817.032,110315.0,110315.0,,,,,,,1942.628,14463.0,14463.0
2020-12-01,,,,,,,41917.163,331682.0,529407.0,12468.684,99679.0,122468.0,,,,,,,6493.846,51914.0,63783.0
2021-01-01,,,,,,,54824.553,433816.0,639932.0,12456.954,99586.0,104914.0,,,,,,,5512.296,44067.0,46425.0
2021-02-01,,,,,,,53314.432,421867.0,622306.0,9024.217,57801.0,57801.0,,,,,,,5278.433,33809.0,33809.0
2021-03-01,,,,,,,41550.911,328784.0,484998.0,12843.583,97387.0,97387.0,,,,,,,2921.827,22155.0,22155.0
2021-04-01,,,,,,,47332.727,374534.0,552486.0,11798.932,84368.0,84368.0,,,,,,,5514.598,39432.0,39432.0
2021-05-01,,,,,,,54177.331,428694.0,632379.0,13134.284,84715.0,84715.0,,,,,,,3233.496,20856.0,20856.0
2021-06-01,,,,,,,73745.884,583537.0,860790.0,15407.55,115362.0,115362.0,,,,,,,3787.78,28361.0,28361.0
2021-07-01,,,,,,,81241.933,642851.0,948287.0,11013.501,64832.0,64832.0,,,,,,,6079.839,35790.0,35790.0
2021-08-01,,,,,,,82849.426,655571.0,967051.0,12710.308,85619.0,85619.0,,,,,,,7571.422,51002.0,51002.0
2021-09-01,,,,,,,70009.183,553969.0,817174.0,6437.325,51462.0,71118.0,,,,,,,6466.585,51696.0,71442.0
2021-10-01,,,,,,,59239.988,468754.0,691472.0,10189.05,81455.0,119039.0,,,,,,,5823.71,46557.0,68039.0
2021-11-01,,,,,,,48726.106,385560.0,568750.0,7264.802,58078.0,59988.0,,,,,,,7936.068,63444.0,65531.0
2021-12-01,,,,,,,51131.526,404594.0,596826.0,9111.395,72840.0,101990.0,,,,,,,3568.445,28527.0,39944.0
2022-01-01,,,,,,,41568.98,328927.0,526475.0,8773.858,70142.0,73261.0,,,,,,,8158.462,65222.0,68122.0
2022-02-01,,,,,,,37008.806,292843.0,468720.0,8939.726,71468.0,91564.0,,,,,,,6311.584,50457.0,64646.0
2022-03-01,,,,,,,29470.523,233194.0,373246.0,9617.166,76883.0,118735.0,,,,,,,5782.554,46228.0,71392.0
2022-04-01,,,,,,,30721.119,243090.0,389086.0,8437.002,67449.0,73519.0,,,,,,,8308.108,66418.0,72396.0
2022-05-01,,,,,,,45383.334,359109.0,574784.0,9095.106,72710.0,78697.0,,,,,,,8591.874,68687.0,74343.0
2022-06-01,,,,,,,55244.316,437137.0,699674.0,11970.351,92808.0,92808.0,,,,,,,2824.089,21896.0,21896.0
2022-07-01,,,,,,,65099.447,515119.0,824490.0,13768.693,102158.0,102158.0,,,,,,,4417.837,32779.0,32779.0
2022-08-01,,,,,,,65438.302,517800.0,828781.0,11224.121,89730.0,109165.0,,,,,,,2122.109,16965.0,20639.0
2022-09-01,,,,,,,55160.56,436475.0,698613.0,6719.698,29833.0,29833.0,,,,,,,4302.412,19101.0,19101.0
2022-10-01,,,,,,,42631.791,337337.0,539935.0,5969.126,39320.0,39320.0,,,,,,,2661.934,17535.0,17535.0
2022-11-01,,,,,,,39957.735,316178.0,506068.0,8832.535,70611.0,99288.0,,,,,,,1529.975,12231.0,17199.0
2022-12-01,,,,,,,44343.207,350879.0,561611.0,11878.979,68165.0,68165.0,,,,,,,1479.861,8492.0,8492.0
2023-01-01,,,,,,,33703.789,266691.0,430785.0,9586.859,76641.0,102332.0,,,,,,,1492.481,11931.0,15931.0
2023-02-01,,,,,,,31788.25,251534.0,406302.0,4507.463,32534.0,32534.0,,,,,,,2165.167,15628.0,15628.0
2023-03-01,,,,,,,31372.558,248245.0,400989.0,4609.492,29817.0,29817.0,,,,,,,2775.118,17951.0,17951.0
2023-04-01,,,,,,,30298.859,239749.0,387266.0,6189.796,49484.0,52362.0,,,,,,,609.904,4876.0,5159.0
2023-05-01,,,,,,,43257.508,342288.0,552897.0,4134.865,33056.0,46834.0,,,,,,,1902.415,15209.0,21548.0
2023-06-01,,,,,,,49970.154,395404.0,638695.0,2832.11,22641.0,41390.0,,,,,,,1216.67,9727.0,17781.0
2023-07-01,,,,,,,54802.102,433638.0,700454.0,5580.607,38577.0,38577.0,,,,,,,2922.413,20202.0,20202.0
2023-08-01,,,,,,,60318.864,477291.0,770966.0,3446.997,23779.0,23779.0,,,,,,,6446.033,44467.0,44467.0
2023-09-01,,,,,,,50814.784,402087.0,649490.0,2833.546,15740.0,15740.0,,,,,,,3496.674,19424.0,19424.0
2023-10-01,,,,,,,37508.669,296799.0,479418.0,4539.294,36289.0,68331.0,,,,,,,1174.006,9385.0,17673.0
2023-11-01,,,,,,,34776.181,275177.0,444492.0,0.0,0.0,43195.0,,,,,,,0.0,0.0,17961.0
2023-12-01,,,,,,,36952.722,292400.0,472312.0,5758.81,46038.0,103348.0,,,,,,,840.1,6716.0,15077.0
2024-01-01,,,,,,,46272.54,358823.0,545239.0,4041.571,31341.0,45187.0,,,,,,,1714.429,13295.0,19168.0
2024-02-01,,,,,,,31947.431,247738.0,376442.0,2985.062,23148.0,30270.0,,,,,,,4986.938,38671.0,50569.0
2024-03-01,,,,,,,36254.385,281136.0,427193.0,3472.676,26929.0,40184.0,,,,,,,4829.324,37449.0,55883.0
2024-04-01,,,,,,,34061.86,264134.0,401357.0,5570.873,43200.0,64928.0,,,,,,,1651.127,12804.0,19244.0
2024-05-01,,,,,,,45510.403,352912.0,536258.0,5283.956,39446.0,39446.0,,,,,,,2902.044,21664.0,21664.0
2024-06-01,,,,,,,51343.849,398148.0,604994.0,5010.754,38856.0,60025.0,,,,,,,2024.246,15697.0,24249.0
2024-07-01,,,,,,,55498.624,430367.0,653951.0,6409.607,44290.0,44290.0,,,,,,,564.393,3900.0,3900.0
2024-08-01,,,,,,,62709.715,486285.0,738920.0,2012.792,15608.0,17318.0,,,,,,,6431.208,49871.0,55335.0
2024-09-01,,,,,,,52032.052,403485.0,613103.0,2927.998,18812.0,18812.0,,,,,,,9052.002,58158.0,58158.0
2024-10-01,,,,,,,45071.209,349507.0,531082.0,5542.035,42976.0,45546.0,,,,,,,7042.965,54615.0,57881.0
2024-11-01,,,,,,,36107.987,280001.0,425467.0,4953.714,38414.0,47032.0,,,,,,,5738.286,44498.0,54481.0
2024-12-01,,,,,,,38734.945,300372.0,456421.0,4835.112,37494.0,81247.0,,,,,,,3372.888,26155.0,56677.0
