measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2019-10-01,0.0,0.0,0.0,424.715,3782.0,3782.0
2019-11-01,0.0,0.0,0.0,342.989,3054.0,3054.0
2019-12-01,0.0,0.0,0.0,216.296,1926.0,1926.0
2020-01-01,0.0,0.0,0.0,379.304,3325.0,3325.0
2020-02-01,0.0,0.0,0.0,496.829,4356.0,4356.0
2020-03-01,0.0,0.0,0.0,755.968,6628.0,6628.0
2020-04-01,0.0,0.0,0.0,724.824,6355.0,6355.0
2020-05-01,0.0,0.0,0.0,1021.864,8959.0,8959.0
2020-06-01,0.0,0.0,0.0,965.453,8464.0,8464.0
2020-07-01,0.0,0.0,0.0,950.762,8335.0,8335.0
2020-08-01,0.0,0.0,0.0,898.758,7879.0,7879.0
2020-09-01,0.0,0.0,0.0,780.354,6841.0,6841.0
2020-10-01,0.0,0.0,0.0,567.343,4974.0,4974.0
2020-11-01,0.0,0.0,0.0,405.749,3557.0,3557.0
2020-12-01,0.0,0.0,0.0,308.792,2707.0,2707.0
2021-01-01,0.0,0.0,0.0,373.864,3306.0,3306.0
2021-02-01,0.0,0.0,0.0,295.294,2612.0,2612.0
2021-03-01,0.0,0.0,0.0,934.659,8266.0,8266.0
2021-04-01,0.0,0.0,0.0,756.49,6690.0,6690.0
2021-05-01,0.0,0.0,0.0,940.209,8315.0,8315.0
2021-06-01,0.0,0.0,0.0,974.674,8620.0,8620.0
2021-07-01,0.0,0.0,0.0,767.005,6783.0,6783.0
2021-08-01,0.0,0.0,0.0,773.139,6838.0,6838.0
2021-09-01,0.0,0.0,0.0,718.519,6355.0,6355.0
2021-10-01,0.0,0.0,0.0,531.003,4696.0,4696.0
2021-11-01,0.0,0.0,0.0,525.162,4645.0,4645.0
2021-12-01,0.0,0.0,0.0,280.982,2485.0,2485.0
2022-01-01,0.0,0.0,0.0,689.519,2353.0,2353.0
2022-02-01,0.0,0.0,0.0,453.766,1548.0,1548.0
2022-03-01,0.0,0.0,0.0,677.216,2311.0,2311.0
2022-04-01,0.0,0.0,0.0,827.422,2823.0,2823.0
2022-05-01,0.0,0.0,0.0,931.279,3178.0,3178.0
2022-06-01,0.0,0.0,0.0,936.715,3196.0,3196.0
2022-07-01,0.0,0.0,0.0,1033.992,3528.0,3528.0
2022-08-01,0.0,0.0,0.0,912.11,3112.0,3112.0
2022-09-01,0.0,0.0,0.0,756.181,2580.0,2580.0
2022-10-01,0.0,0.0,0.0,599.395,2045.0,2045.0
2022-11-01,0.0,0.0,0.0,494.393,1687.0,1687.0
2022-12-01,0.0,0.0,0.0,321.012,1095.0,1095.0
2023-01-01,0.0,0.0,0.0,240.0,819.0,819.0
2023-02-01,0.0,0.0,0.0,178.0,607.0,607.0
2023-03-01,0.0,0.0,0.0,664.0,2266.0,2266.0
2023-04-01,0.0,0.0,0.0,837.0,2856.0,2856.0
2023-05-01,0.0,0.0,0.0,1111.0,3791.0,3791.0
2023-06-01,0.0,0.0,0.0,817.0,2788.0,2788.0
2023-07-01,0.0,0.0,0.0,907.0,3095.0,3095.0
2023-08-01,0.0,0.0,0.0,883.0,3013.0,3013.0
2023-09-01,0.0,0.0,0.0,747.0,2549.0,2549.0
2023-10-01,0.0,0.0,0.0,630.0,2150.0,2150.0
2023-11-01,0.0,0.0,0.0,580.0,1979.0,1979.0
2023-12-01,0.0,0.0,0.0,374.0,1276.0,1276.0
2024-01-01,-16.0,0.0,0.0,206.0,703.0,703.0
2024-02-01,-20.0,0.0,0.0,704.0,2402.0,2402.0
2024-03-01,-22.0,0.0,0.0,732.0,2498.0,2498.0
2024-04-01,-20.0,0.0,0.0,790.0,2695.0,2695.0
2024-05-01,-23.0,0.0,0.0,902.0,3078.0,3078.0
2024-06-01,-20.0,0.0,0.0,970.0,3310.0,3310.0
2024-07-01,-22.0,0.0,0.0,990.0,3378.0,3378.0
2024-08-01,-21.0,0.0,0.0,886.0,3023.0,3023.0
2024-09-01,-24.0,0.0,0.0,828.0,2825.0,2825.0
2024-10-01,-20.0,0.0,0.0,808.0,2757.0,2757.0
2024-11-01,-16.0,0.0,0.0,595.0,2030.0,2030.0
2024-12-01,-19.0,0.0,0.0,423.0,1443.0,1443.0
