measured_on,"Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2011-04-01,0.0,74736.0,74736.0
2011-05-01,0.0,25695.0,25695.0
2011-06-01,0.0,15057.0,15057.0
2011-07-01,0.0,67545.0,67545.0
2011-08-01,0.0,105993.0,105993.0
2011-09-01,0.0,93969.0,93969.0
2011-10-01,0.0,90531.0,90531.0
2011-11-01,0.0,89883.0,89883.0
2011-12-01,0.0,82026.0,82026.0
2012-01-01,9813.0,96660.0,96660.0
2012-02-01,9465.0,83853.0,83853.0
2012-03-01,10084.0,84645.0,84645.0
2012-04-01,8315.0,79605.0,79605.0
2012-05-01,6705.0,86553.0,86553.0
2012-06-01,9662.0,88587.0,88587.0
2012-07-01,7336.0,95985.0,95985.0
2012-08-01,9767.0,98865.0,98865.0
2012-09-01,9463.0,87768.0,87768.0
2012-10-01,10203.0,104004.0,104004.0
2012-11-01,9414.0,85365.0,85365.0
2012-12-01,9848.0,95598.0,95598.0
2013-01-01,10122.0,100062.0,100062.0
2013-02-01,9039.0,89901.0,89901.0
2013-03-01,10103.0,97263.0,97263.0
2013-04-01,9935.0,88614.0,88614.0
2013-05-01,6678.0,60291.0,60291.0
2013-06-01,9608.0,94716.0,94716.0
2013-07-01,9559.0,93933.0,93933.0
2013-08-01,10164.0,97191.0,97191.0
2013-09-01,9133.0,91764.0,91764.0
2013-10-01,10278.0,109872.0,109872.0
2013-11-01,9811.0,104877.0,104877.0
2013-12-01,9945.0,99171.0,99171.0
2014-01-01,10152.0,98100.0,98100.0
2014-02-01,9362.0,85770.0,85770.0
2014-03-01,10105.0,97686.0,97686.0
2014-04-01,9956.0,97110.0,97110.0
2014-05-01,6479.0,72900.0,72900.0
2014-06-01,9855.0,86454.0,86454.0
2014-07-01,10198.0,98505.0,98505.0
2014-08-01,10264.0,103086.0,103086.0
2014-09-01,9935.0,84330.0,84330.0
2014-10-01,10467.0,117207.0,117207.0
