measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Generation,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Quantity Consumed For Electricity,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Total Fuel Consumed
2003-01-01,7735.0,69559.0,69559.0,3140.0,28232.0,28232.0,,,
2003-02-01,3752.0,30737.0,30737.0,979.0,8017.0,8017.0,0.0,0.0,0.0
2003-03-01,1298.0,10732.0,10732.0,714.0,5906.0,5906.0,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,1476.0,14070.0,14070.0,0.0,0.0,0.0
2003-05-01,1238.0,11768.0,11768.0,5988.0,56901.0,56901.0,0.0,0.0,0.0
2003-06-01,1099.56,10757.0,10757.0,1628.76,15925.0,15925.0,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,277.34,2850.0,2850.0,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,4316.9,42920.0,42920.0,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,581.0,5568.0,5568.0,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,135.0,1387.0,1387.0,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,40.0,423.0,423.0,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,733.0,7093.0,7093.0,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-07-01,0.0,0.0,0.0,13390.0,131847.24,131847.24,0.0,0.0,0.0
2005-08-01,0.0,0.0,0.0,902.0,8692.44,8692.44,0.0,0.0,0.0
2005-09-01,1386.0,12697.03,12697.03,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-05-01,0.0,0.0,0.0,1095.0,10747.0,10747.0,0.0,0.0,0.0
2006-06-01,0.0,0.0,0.0,3218.0,31205.0,31205.0,0.0,0.0,0.0
2006-07-01,0.0,0.0,0.0,8228.0,79788.0,79788.0,0.0,0.0,0.0
2006-08-01,0.0,0.0,0.0,12391.0,120231.0,120231.0,0.0,0.0,0.0
2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-01,0.0,0.0,0.0,466.0,4486.0,4486.0,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0,5516.0,54568.0,54568.0,0.0,0.0,0.0
2007-07-01,0.0,0.0,0.0,2170.0,20957.0,20957.0,0.0,0.0,0.0
2007-08-01,0.0,0.0,0.0,18819.0,181242.0,181242.0,0.0,0.0,0.0
2007-09-01,0.0,0.0,0.0,4564.0,44419.0,44419.0,0.0,0.0,0.0
2007-10-01,0.0,0.0,0.0,1181.0,11442.0,11442.0,0.0,0.0,0.0
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-01,0.0,0.0,0.0,588.0,5789.0,5789.0,0.0,0.0,0.0
2008-07-01,0.0,0.0,0.0,4212.0,41321.0,41321.0,0.0,0.0,0.0
2008-08-01,0.0,0.0,0.0,2671.0,26144.0,26144.0,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-01,0.0,0.0,0.0,292.0,2962.0,2962.0,,,
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-05-01,0.0,0.0,0.0,752.0,8013.0,8013.0,,,
2009-06-01,0.0,0.0,0.0,30155.0,282890.0,282890.0,,,
2009-07-01,0.0,0.0,0.0,22632.0,218864.0,218864.0,,,
2009-08-01,0.0,0.0,0.0,26574.0,256657.0,256657.0,,,
2009-09-01,0.0,0.0,0.0,8751.0,72236.0,72236.0,,,
2009-10-01,0.0,0.0,0.0,10060.0,97407.0,97407.0,,,
2009-11-01,0.0,0.0,0.0,499.0,4893.0,4893.0,,,
2009-12-01,0.0,0.0,0.0,6932.0,68491.0,68491.0,,,
2010-01-01,6.63,64.0,64.0,12281.37,118972.0,118972.0,,,
2010-02-01,0.0,0.0,0.0,17369.0,169338.0,169338.0,,,
2010-03-01,0.0,0.0,0.0,10758.0,103656.0,103656.0,,,
2010-04-01,0.0,0.0,0.0,95.0,1405.0,1405.0,,,
2010-05-01,0.0,0.0,0.0,7741.0,75107.0,75107.0,,,
2010-06-01,0.0,0.0,0.0,39846.0,382014.0,382014.0,,,
2010-07-01,0.0,0.0,0.0,45568.0,443682.0,443682.0,,,
2010-08-01,0.0,0.0,0.0,39207.0,377328.0,377328.0,,,
2010-09-01,0.0,0.0,0.0,33612.0,327353.0,327353.0,,,
2010-10-01,0.0,0.0,0.0,4637.0,44690.0,44690.0,,,
2010-11-01,0.0,0.0,0.0,1058.0,10378.0,10378.0,,,
2010-12-01,1648.681,15619.0,15619.0,4545.319,43060.0,43060.0,,,
2011-01-01,1578.282,15117.0,15117.0,1047.718,10035.0,10035.0,,,
2011-02-01,0.0,0.0,0.0,617.0,6006.0,6006.0,,,
2011-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-04-01,0.0,0.0,0.0,4228.0,42292.0,42292.0,,,
2011-05-01,0.0,0.0,0.0,17676.0,169853.0,169853.0,,,
2011-06-01,0.0,0.0,0.0,33186.0,331380.0,331380.0,,,
2011-07-01,0.0,0.0,0.0,26567.0,258919.0,258919.0,,,
2011-08-01,0.0,0.0,0.0,48738.0,474224.0,474224.0,,,
2011-09-01,0.0,0.0,0.0,25257.0,244276.0,244276.0,,,
