measured_on,"Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Generation","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Quantity Consumed For Electricity","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Total Fuel Consumed"
2003-01-01,,,,,,,,,,29129.0,360287.0,373549.0
2003-02-01,,,,,,,,,,18906.0,210109.0,216069.0
2003-03-01,,,,,,,,,,24604.0,300920.0,306669.0
2003-04-01,,,,,,,,,,24062.0,273171.0,278035.0
2003-05-01,,,,,,,,,,20398.0,228770.0,231908.0
2003-06-01,,,,,,,,,,30430.0,336219.0,337624.0
2003-07-01,,,,,,,,,,31698.639,394483.0,395511.0
2003-08-01,,,,,,,,,,28195.301,360667.0,361143.0
2003-09-01,,,,,,,,,,23194.126,266624.0,268708.0
2003-10-01,,,,,,,,,,27977.332000000002,285086.0,289363.0
2003-11-01,,,,,,,,,,28531.569,320152.0,326720.0
2003-12-01,,,,,,,,,,27158.552,317417.0,326914.0
2004-01-01,67.66812999999999,768.15,797.55,,,,59.710519999999995,677.81,703.76,26452.75835,300282.9,311777.46
2004-02-01,62.30983,707.32,734.4,,,,42.70504,484.77,503.33,23968.61513,272083.73,282498.84
2004-03-01,68.66964,779.51,809.35,,,,79.20196,899.07,933.49,24388.3164,276848.04,287445.53
2004-04-01,78.19942,887.69,921.67,,,,23.40873,265.73,275.9,23451.19985,266210.21,276400.52
2004-05-01,65.65408,745.28,773.81,,,,96.98971999999999,1101.0,1143.14,21059.39819,239059.28,248210.22
2004-06-01,79.92672,907.3,942.03,,,,57.63183,654.22,679.26,16603.93145,188482.3,195697.19
2004-07-01,75.94713,862.13,895.13,,,,95.52359,1084.35,1125.86,23965.76928,272051.44,282465.32
2004-08-01,76.85379,872.42,905.81,,,,82.28863,934.11,969.87,20857.98758,236772.92,245836.36
2004-09-01,75.47726,856.79,889.59,,,,61.33954,696.31,722.96,22101.85221,250892.86,260496.84
2004-10-01,83.25771,945.11,981.29,,,,27.53644,312.58,324.55,23458.61485,266294.41,276487.92
2004-11-01,70.30426,798.07,828.62,,,,64.35069,730.49,758.45,44085.03505,500438.64,519594.98
2004-12-01,67.75416,769.12,798.56,,,,43.30658,491.6,510.42,55427.97826,629199.96,653285.21
2005-01-01,14.768369999999999,167.65,193.93,,,,142.16240000000002,1613.78,1866.84,29390.69223,333633.36,385950.07
2005-02-01,15.364339999999999,174.41,201.76,,,,126.03041999999999,1430.66,1655.0,26685.41024,302923.89,350425.08
2005-03-01,17.31458,196.55,227.37,,,,150.39514,1707.24,1974.95,28605.04628,324714.96,375633.19
2005-04-01,14.03976,159.37,184.37,,,,154.19248,1750.34,2024.81,23532.89076,267137.56,309027.11
2005-05-01,13.47349,152.95,176.93,,,,125.08704,1419.95,1642.61,22356.86147,253787.66,293583.88
2005-06-01,15.61183,177.22,205.01,,,,212.80918,2415.74,2794.55,28656.76499,325302.05,376312.34
2005-07-01,15.9009,180.5,208.81,,,,274.23494,3113.02,3601.17,31972.58316,362942.13,419854.78
2005-08-01,18.33622,208.15,240.79,,,,293.19775,3328.28,3850.19,31668.35302,359488.6,415859.7
2005-09-01,17.31062,196.5,227.32,,,,193.95344,2201.69,2546.94,28528.30295,323843.79,374625.43
2005-10-01,16.498839999999998,187.29,216.66,,,,134.12861,1522.58,1761.34,26715.51655,303265.66,350820.42
2005-11-01,13.97838,158.68,183.56,,,,120.39555,1366.69,1581.0,26235.63607,297818.21,344518.77
2005-12-01,14.50504,164.66,190.48,,,,130.07951,1476.62,1708.17,30262.33045,343527.9,397396.17
2006-01-01,473.53188,5375.38,6974.31,,,,740.09128,8401.27,10900.27,25176.64885,285796.95,370808.73
2006-02-01,442.34847,5021.39,6514.1,,,,738.04049,8377.99,10868.5,23675.08304,268751.67,348643.1
2006-03-01,516.11994,5858.82,7625.81,,,,802.48647,9109.56,11856.95,23042.29459,261568.45,340456.0
2006-04-01,492.0333,5585.4,7263.51,,,,675.29735,7665.75,9968.89,23084.61635,262048.88,340780.3
2006-05-01,498.72006,5661.3,7357.22,,,,655.53034,7441.36,9670.52,24294.5286,275783.42,358397.78
2006-06-01,466.26248,5292.86,6866.24,,,,840.03462,9535.79,12370.45,24896.6979,282619.03,366631.85
2006-07-01,503.07777,5710.77,7410.11,,,,1257.71209,14277.13,18525.54,26138.74414,296718.33,385012.11
2006-08-01,526.7148099999999,5979.09,7765.17,,,,1183.0506599999999,13429.6,17441.3,26104.10453,296325.11,384843.57
