measured_on,"Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,16249.0,224820.0,224820.0,43.0,593.0,593.0
2003-02-01,16327.981,213264.0,213264.0,24.008000000000003,313.0,313.0
2003-03-01,19254.0,241152.0,241152.0,6.0,80.0,80.0
2003-04-01,13667.0,165756.0,165756.0,13.0,158.0,158.0
2003-05-01,16200.0,203856.0,203856.0,36.0,458.0,458.0
2003-06-01,15700.0,217356.0,217356.0,50.0,689.0,689.0
2003-07-01,14412.0,181824.0,181824.0,24.0,300.0,300.0
2003-08-01,14003.0,170400.0,170400.0,37.0,449.0,449.0
2003-09-01,10158.0,137520.0,137520.0,102.0,1386.0,1386.0
2003-10-01,8985.0,112728.0,112728.0,51.0,634.0,634.0
2003-11-01,14522.0,165372.0,165372.0,94.0,1066.0,1066.0
2003-12-01,15609.0,178500.0,178500.0,51.0,579.0,579.0
2004-01-01,8909.75,128713.0,128713.0,37.666000000000004,544.0,544.0
2004-02-01,8909.75,128713.0,128713.0,46.971000000000004,679.0,679.0
2004-03-01,8909.75,128713.0,128713.0,59.617000000000004,861.0,861.0
2004-04-01,8909.75,128713.0,128713.0,57.103,825.0,825.0
2004-05-01,8909.75,128713.0,128713.0,65.016,939.0,939.0
2004-06-01,8909.75,128713.0,128713.0,56.164,811.0,811.0
2004-07-01,8909.75,128713.0,128713.0,107.97,1560.0,1560.0
2004-08-01,8909.75,128713.0,128713.0,101.028,1460.0,1460.0
2004-09-01,8909.75,128713.0,128713.0,90.281,1304.0,1304.0
2004-10-01,8909.75,128713.0,128713.0,64.67,934.0,934.0
2004-11-01,8909.75,128713.0,128713.0,63.854000000000006,923.0,923.0
2004-12-01,8909.75,128713.0,128713.0,54.659000000000006,790.0,790.0
2005-01-01,9523.452000000001,141648.89,141648.89,43.565,648.07,648.07
2005-02-01,8122.209000000001,120807.23,120807.23,39.322,584.96,584.96
2005-03-01,9073.763,134960.35,134960.35,42.436,631.29,631.29
2005-04-01,8377.81,124608.96,124608.96,42.64,634.32,634.32
2005-05-01,9179.234,136529.09,136529.09,46.832,696.67,696.67
2005-06-01,8900.487000000001,132383.1,132383.1,60.153000000000006,894.84,894.84
2005-07-01,9562.305,142226.77,142226.77,77.027,1145.86,1145.86
2005-08-01,9211.122000000001,137003.39,137003.39,79.824,1187.47,1187.47
2005-09-01,8769.614,130436.53,130436.53,60.204,895.61,895.61
2005-10-01,7568.098,112565.56,112565.56,46.73,695.16,695.16
2005-11-01,8427.048,125341.32,125341.32,41.695,620.25,620.25
2005-12-01,9429.859,140256.82,140256.82,47.572,707.69,707.69
2006-01-01,9847.672,137795.0,137795.0,29.043000000000003,407.0,407.0
2006-02-01,9100.746000000001,127344.0,127344.0,34.457,482.0,482.0
2006-03-01,10038.735,140469.0,140469.0,39.302,550.0,550.0
2006-04-01,7386.078,103351.0,103351.0,43.96,615.0,615.0
2006-05-01,9030.111,126356.0,126356.0,50.917,713.0,713.0
2006-06-01,9459.396,132362.0,132362.0,64.882,908.0,908.0
2006-07-01,9817.284,137370.0,137370.0,81.57,1142.0,1142.0
2006-08-01,9758.246000000001,136544.0,136544.0,82.599,1156.0,1156.0
2006-09-01,9333.994,130608.0,130608.0,56.201,787.0,787.0
2006-10-01,9685.636,135528.0,135528.0,50.885,712.0,712.0
2006-11-01,9782.371000000001,136882.0,136882.0,37.79,529.0,529.0
2006-12-01,9425.73,131891.0,131891.0,39.395,551.0,551.0
2007-01-01,6444.926,89016.0,89016.0,0.07400000000000001,1.0,1.0
2007-02-01,16179.758000000002,204636.0,204636.0,0.24200000000000002,3.0,3.0
2007-03-01,17750.0,198732.0,198732.0,0.0,0.0,0.0
2007-04-01,10161.914,120732.0,120732.0,0.08600000000000001,1.0,1.0
2007-05-01,7168.835,88692.0,88692.0,0.165,2.0,2.0
2007-06-01,7179.932000000001,107880.0,107880.0,0.068,1.0,1.0
2007-07-01,9198.93,135000.0,135000.0,0.07,1.0,1.0
2007-08-01,9228.934000000001,142200.0,142200.0,0.066,1.0,1.0
2007-09-01,7196.9310000000005,106320.0,106320.0,0.069,1.0,1.0
2007-10-01,6972.927000000001,97812.0,97812.0,0.07300000000000001,1.0,1.0
2007-11-01,16173.0,214656.0,214656.0,0.0,0.0,0.0
2007-12-01,15625.925,213024.0,213024.0,0.075,1.0,1.0
2008-01-01,4310.111,60108.0,60108.0,64.88900000000001,905.0,905.0
2008-02-01,13621.237000000001,174684.0,174684.0,59.763000000000005,766.0,766.0
2008-03-01,12153.905,168252.0,168252.0,38.095,527.0,527.0
2008-04-01,11229.245,155688.0,155688.0,23.755000000000003,329.0,329.0
2008-05-01,4177.023,70704.0,70704.0,58.977000000000004,998.0,998.0
2008-06-01,9730.347,163512.0,163512.0,51.653000000000006,868.0,868.0
2008-07-01,11664.92,172932.0,172932.0,13.08,194.0,194.0
2008-08-01,12946.664,192024.0,192024.0,31.336000000000002,465.0,465.0
2008-09-01,10447.749,161892.0,161892.0,2.251,35.0,35.0
2008-10-01,10146.271,121644.0,121644.0,62.729000000000006,752.0,752.0
2008-11-01,15238.785,209640.0,209640.0,86.215,1186.0,1186.0
2008-12-01,14905.818,221028.0,221028.0,45.182,670.0,670.0
2009-01-01,16300.782,238476.0,238476.0,15.218,223.0,223.0
2009-02-01,15880.333,215820.0,215820.0,21.667,294.0,294.0
2009-03-01,15362.466,210324.0,210324.0,52.534000000000006,719.0,719.0
2009-04-01,9703.805,122712.0,122712.0,8.195,104.0,104.0
2009-05-01,10960.175,167784.0,167784.0,92.825,1421.0,1421.0
2009-06-01,17580.0,243864.0,243864.0,0.0,0.0,0.0
2009-07-01,17647.82,246648.0,246648.0,25.18,352.0,352.0
2009-08-01,9096.946,137352.0,137352.0,38.054,575.0,575.0
2009-09-01,17339.0,255708.0,255708.0,0.0,0.0,0.0
2009-10-01,13247.462,181836.0,181836.0,55.538000000000004,762.0,762.0
2009-11-01,14848.634,229776.0,229776.0,18.366,284.0,284.0
2009-12-01,15324.465,218376.0,218376.0,58.535,834.0,834.0
2010-01-01,17022.345,244320.0,244320.0,15.655000000000001,225.0,225.0
2010-02-01,13266.412,201408.0,201408.0,33.588,510.0,510.0
2010-03-01,2682.0,32316.0,32316.0,0.0,0.0,0.0
2010-04-01,11219.578,164052.0,164052.0,163.422,2390.0,2390.0
2010-05-01,17740.584000000003,238920.0,238920.0,36.416000000000004,490.0,490.0
2010-06-01,16306.255000000001,229044.0,229044.0,62.745000000000005,881.0,881.0
2010-07-01,16907.177,250200.0,250200.0,57.823,856.0,856.0
2010-08-01,17522.957000000002,250284.0,250284.0,33.043,472.0,472.0
2010-09-01,17373.443,242952.0,242952.0,34.557,483.0,483.0
2010-10-01,13488.604,189672.0,189672.0,32.396,456.0,456.0
2010-11-01,17974.0,254304.0,254304.0,0.0,0.0,0.0
2010-12-01,13607.248,181728.0,181728.0,72.75200000000001,972.0,972.0
2011-01-01,18565.197,258756.0,258756.0,7.803,109.0,109.0
2011-02-01,17125.0,223176.0,223176.0,0.0,0.0,0.0
2011-03-01,14744.229,190716.0,190716.0,12.771,165.0,165.0
2011-04-01,15101.017,206400.0,206400.0,65.983,902.0,902.0
2011-05-01,18041.282,240216.0,240216.0,58.718,782.0,782.0
2011-06-01,17659.388,231324.0,231324.0,25.612,336.0,336.0
2011-07-01,18612.455,256740.0,256740.0,24.545,339.0,339.0
2011-08-01,17284.01,235728.0,235728.0,37.99,518.0,518.0
2011-09-01,16986.338,232572.0,232572.0,44.662,611.0,611.0
2011-10-01,13085.852,176256.0,176256.0,63.148,851.0,851.0
2011-11-01,17575.517,232416.0,232416.0,47.483,628.0,628.0
2011-12-01,18958.403,260640.0,260640.0,10.597,146.0,146.0
2012-01-01,18548.146,237648.0,237648.0,13.854,177.0,177.0
2012-02-01,17187.989,241788.0,241788.0,4.011,56.0,56.0
2012-03-01,13071.709,175056.0,175056.0,118.291,1584.0,1584.0
2012-04-01,15985.398,217440.0,217440.0,35.602,484.0,484.0
2012-05-01,19019.0,252876.0,252876.0,0.0,0.0,0.0
2012-06-01,2977.0,42084.0,42084.0,0.0,0.0,0.0
2012-07-01,7647.805,105984.0,105984.0,52.195,723.0,723.0
2012-08-01,18938.848,255216.0,255216.0,0.152,2.0,2.0
2012-09-01,18334.0,258732.0,258732.0,0.0,0.0,0.0
2012-10-01,18121.655,246444.0,246444.0,37.345,508.0,508.0
2012-11-01,16698.005,206076.0,206076.0,71.995,889.0,889.0
2012-12-01,16956.129,230784.0,230784.0,92.871,1264.0,1264.0
2013-01-01,17985.708,242544.0,242544.0,29.292,395.0,395.0
2013-02-01,17071.0,220008.0,220008.0,0.0,0.0,0.0
2013-03-01,13090.658,178020.0,178020.0,49.342,671.0,671.0
2013-04-01,18464.0,236412.0,236412.0,0.0,0.0,0.0
2013-05-01,15645.119,195444.0,195444.0,30.881,386.0,386.0
2013-06-01,15113.439,203760.0,203760.0,33.561,452.0,452.0
2013-07-01,17293.0,226188.0,226188.0,0.0,0.0,0.0
2013-08-01,16512.067,229476.0,229476.0,30.933,430.0,430.0
2013-09-01,15228.245,225828.0,225828.0,9.755,145.0,145.0
2013-10-01,14663.616,188556.0,188556.0,21.384,275.0,275.0
2013-11-01,18460.312,246408.0,246408.0,5.688,76.0,76.0
2013-12-01,16677.084,217464.0,217464.0,71.916,938.0,938.0
2014-01-01,19074.254,256692.0,256692.0,19.746,266.0,266.0
2014-02-01,14868.972,204264.0,204264.0,17.028,234.0,234.0
2014-03-01,15249.026,214704.0,214704.0,23.974,338.0,338.0
2014-04-01,9063.885,122364.0,122364.0,98.115,1325.0,1325.0
2014-05-01,17007.334,236220.0,236220.0,13.666,190.0,190.0
2014-06-01,16764.405,234372.0,234372.0,11.595,162.0,162.0
