measured_on,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Other Biomass Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Other Biomass Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Other Biomass Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2022-12-01,4224.931,80302.0,80302.0,,,,,,
2023-01-01,6029.387,105656.0,105656.0,,,,,,
2023-02-01,5033.188,88199.0,88199.0,,,,,,
2023-03-01,5794.773,101545.0,101545.0,,,,,,
2023-04-01,5425.446,95073.0,95073.0,,,,,,
2023-05-01,5714.694,100142.0,100142.0,,,,,,
2023-06-01,5694.21,99783.0,99783.0,,,,,,
2023-07-01,5582.856,97831.0,97831.0,,,,,,
2023-08-01,5255.842,92101.0,92101.0,,,,,,
2023-09-01,4545.906,79660.0,79660.0,,,,,,
2023-10-01,5045.735,88419.0,88419.0,,,,,,
2023-11-01,4975.807,87194.0,87194.0,,,,,,
2023-12-01,4934.156,86464.0,86464.0,,,,,,
2024-01-01,5539.79,100840.0,100840.0,,,,,,
2024-02-01,5492.679,99982.0,99982.0,,,,,,
2024-03-01,5798.777,105554.0,105554.0,,,,,,
2024-04-01,5261.796,95780.0,95780.0,,,,,,
2024-05-01,5532.615,100709.0,100709.0,,,,,,
2024-06-01,5319.436,96829.0,96829.0,,,,,,
2024-07-01,5403.017,98351.0,98351.0,,,,,,
2024-08-01,5531.103,100682.0,100682.0,,,,,,
2024-09-01,4848.449,88255.0,88255.0,,,,,,
2024-10-01,5407.881,98439.0,98439.0,,,,,,
2024-11-01,5026.498,91497.0,91497.0,,,,,,
2024-12-01,4349.959,79182.0,79182.0,,,,,,
