measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Other - Natural Gas - Generation,Natural Gas - Other - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Other - Natural Gas - Total Fuel Consumed
2003-01-01,34595.0,335093.0,335093.0,10512.0,0.0,0.0,,,
2003-02-01,31691.0,299009.0,311155.0,9679.0,0.0,0.0,,,
2003-03-01,35851.0,333763.0,333763.0,10796.0,0.0,0.0,,,
2003-04-01,31597.0,286933.0,304590.0,9118.0,0.0,0.0,,,
2003-05-01,33540.0,320468.0,320468.0,10117.0,0.0,0.0,,,
2003-06-01,32263.0,315714.0,315714.0,9482.0,0.0,0.0,,,
2003-07-01,30631.0,297139.0,297139.0,8867.0,0.0,0.0,,,
2003-08-01,33674.0,314475.0,325489.0,10169.0,0.0,0.0,,,
2003-09-01,23139.0,215912.0,223930.0,7028.0,0.0,0.0,,,
2003-10-01,27076.0,214015.0,218480.0,6467.0,0.0,0.0,,,
2003-11-01,42554.0,332988.0,332988.0,9743.0,0.0,0.0,,,
2003-12-01,31950.0,310506.0,310506.0,7956.0,0.0,0.0,,,
2004-01-01,28578.734,238510.86,295266.22,4977.94,0.0,0.0,,,
2004-02-01,28725.624,237272.48,296783.84,4656.819,0.0,0.0,,,
2004-03-01,28331.49,261928.14,292711.79,8519.818000000001,0.0,0.0,,,
2004-04-01,31689.497,283552.13,327405.62,8204.141,0.0,0.0,,,
2004-05-01,35568.376000000004,328113.54,367480.95,10594.716,0.0,0.0,,,
2004-06-01,40269.516,383554.37,416051.6,13693.682,0.0,0.0,,,
2004-07-01,42109.747,406728.13,435064.27,15113.823,0.0,0.0,,,
2004-08-01,41034.775,390948.23,423958.01,13968.683,0.0,0.0,,,
2004-09-01,40246.658,382441.78,415815.44,13560.006000000001,0.0,0.0,,,
2004-10-01,39531.257,382087.0,408424.14,14225.493,0.0,0.0,,,
2004-11-01,31149.208,287260.35,321823.53,9266.149000000001,0.0,0.0,,,
2004-12-01,29425.708,257768.57,304016.89,6840.38,0.0,0.0,,,
2005-01-01,22931.921000000002,211206.28,246553.36,6783.204000000001,0.0,0.0,,,
2005-02-01,20698.451,190635.69,222540.12,6122.549,0.0,0.0,,,
2005-03-01,22337.822,205734.54,240165.88,6607.4710000000005,0.0,0.0,,,
2005-04-01,22445.104,206722.62,241319.33,6639.205,0.0,0.0,,,
2005-05-01,24651.591,227044.68,265042.44,7291.878000000001,0.0,0.0,,,
2005-06-01,31663.533,291625.67,340431.58,9365.993,0.0,0.0,,,
2005-07-01,40545.744,373432.11,435928.99,11993.328,0.0,0.0,,,
2005-08-01,42018.296,386994.52,451761.18,12428.905,0.0,0.0,,,
2005-09-01,31690.765,291876.49,340724.37,9374.048,0.0,0.0,,,
2005-10-01,24598.157,226552.55,264467.95,7276.072,0.0,0.0,,,
2005-11-01,21947.428,202138.96,235968.54,6491.994000000001,0.0,0.0,,,
2005-12-01,25041.369,230634.59,269233.16,7407.173000000001,0.0,0.0,,,
2006-01-01,25072.705,229793.58,268345.2,7257.513,0.0,0.0,,,
2006-02-01,22105.968,202603.17,236593.17,6398.765,0.0,0.0,,,
