measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2003-01-01,6951.0,82250.0,82250.0,1304.0,0.0,0.0,,,,29.0,313.0,313.0,,,,,,,,,,,,
2003-02-01,8461.0,100763.0,100763.0,1649.0,0.0,0.0,,,,116.0,1404.0,1404.0,105.0,2193.0,2193.0,,,,,,,,,
2003-03-01,5104.0,61352.0,61352.0,1180.0,0.0,0.0,,,,0.0,0.0,0.0,714.0,9632.0,9632.0,,,,,,,,,
2003-04-01,0.0,0.0,0.0,,,,,,,4.0,64.0,64.0,764.0,9834.0,9834.0,154.0,0.0,0.0,,,,,,
2003-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,9.0,111.0,111.0,0.0,0.0,0.0,,,,,,,,,
2003-06-01,0.0,0.0,0.0,,,,,,,2.0,41.0,41.0,1898.0,25188.0,25188.0,446.0,0.0,0.0,,,,,,
2003-07-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,7679.0,102563.0,102563.0,1783.0,0.0,0.0,,,,,,
2003-08-01,0.0,0.0,0.0,,,,,,,5.0,65.0,65.0,845.0,11425.0,11425.0,189.0,0.0,0.0,,,,,,
2003-09-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,1456.0,19559.0,19559.0,328.0,0.0,0.0,,,,,,
2003-10-01,0.0,0.0,0.0,,,,,,,5.0,65.0,65.0,842.0,10978.0,10978.0,184.0,0.0,0.0,,,,,,
2003-11-01,0.0,0.0,0.0,,,,,,,1.0,6.0,6.0,826.0,10670.0,10670.0,176.0,0.0,0.0,,,,,,
2003-12-01,585.0,7250.0,7250.0,113.0,0.0,0.0,,,,5.0,64.0,64.0,10.0,244.0,244.0,,,,,,,,,
2004-01-01,21060.703,254634.0,254634.0,,,,,,,21.488,258.0,258.0,408.108,5553.0,5553.0,479.372,0.0,0.0,,,,,,
2004-02-01,3181.181,38462.0,38462.0,,,,,,,12.956000000000001,156.0,156.0,316.769,4310.0,4310.0,522.509,0.0,0.0,,,,,,
2004-03-01,3708.3650000000002,44836.0,44836.0,,,,,,,9.384,113.0,113.0,461.60900000000004,6281.0,6281.0,604.289,0.0,0.0,,,,,,
2004-04-01,3526.119,42633.0,42633.0,,,,,,,9.443,113.0,113.0,569.782,7753.0,7753.0,831.0970000000001,0.0,0.0,,,,,,
