measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Subbituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Subbituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Subbituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,"Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2003-01-01,1620.0,21408.0,21408.0,17.0,203.0,203.0,4604.0,55579.0,55579.0,21026.0,242659.0,242659.0,,,,,,,0.0,0.0,0.0
2003-02-01,636.0,8857.0,8857.0,9.0,99.0,99.0,2908.0,36975.0,36975.0,23050.0,248925.0,248925.0,,,,,,,0.0,0.0,0.0
2003-03-01,480.0,6200.0,6200.0,50.0,545.0,545.0,6381.0,83362.0,83362.0,41629.0,462500.0,462500.0,,,,,,,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,27.0,354.0,354.0,1047.0,14533.0,14533.0,22588.0,290917.0,290917.0,,,,,,,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,49.0,1108.0,1108.0,692.0,10812.0,10812.0,431.0,9952.0,9952.0,,,,,,,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,30.0,423.0,423.0,128.0,2527.0,2527.0,7771.0,104614.0,104614.0,,,,,,,0.0,0.0,0.0
2003-07-01,7.0,104.0,104.0,43.0,557.0,557.0,1424.0,21522.0,21522.0,42463.0,546427.0,546427.0,,,,,,,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,20.0,238.0,238.0,4296.0,60824.0,60824.0,50596.0,651794.0,651794.0,,,,,,,0.0,0.0,0.0
2003-09-01,35.0,499.0,499.0,41.0,568.0,568.0,1510.0,19712.0,19712.0,12438.0,160745.0,160745.0,,,,,,,0.0,0.0,0.0
2003-10-01,9.0,122.0,122.0,74.0,998.0,998.0,3650.0,44228.0,44228.0,13206.0,164530.0,164530.0,,,,,,,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,30.0,406.0,406.0,286.0,4044.0,4044.0,17836.0,212606.0,212606.0,,,,,,,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,22.0,302.0,302.0,1051.0,15442.0,15442.0,31967.0,413637.0,413637.0,,,,,,,0.0,0.0,0.0
2004-01-01,2695.0,37839.0,37839.0,46.0,574.0,574.0,2821.0,40128.0,40128.0,51539.0,643193.0,643193.0,,,,,,,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,11.0,133.0,133.0,268.0,4756.0,4756.0,28100.0,378045.0,378045.0,,,,,,,0.0,0.0,0.0
2004-03-01,1.0,6.0,6.0,13.0,168.0,168.0,22.0,1801.0,1801.0,26138.0,372801.0,372801.0,,,,,,,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,13.0,174.0,174.0,504.0,7997.0,7997.0,26404.0,372612.0,372612.0,,,,,,,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,12.0,151.0,151.0,1994.0,25796.0,25796.0,10743.0,132348.0,132348.0,,,,,,,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,24.0,354.0,354.0,887.0,12096.0,12096.0,2876.0,39706.0,39706.0,,,,,,,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,27.0,377.0,377.0,386.0,5628.0,5628.0,8548.0,111425.0,111425.0,,,,,,,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,45.0,650.0,650.0,426.0,6186.0,6186.0,10669.0,143399.0,143399.0,,,,,,,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0,19.0,423.0,423.0,699.0,9502.0,9502.0,4614.0,59214.0,59214.0,,,,,,,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,3.0,104.0,104.0,335.0,4762.0,4762.0,344.0,9838.0,9838.0,,,,,,,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,2.0,383.0,383.0,688.0,9275.0,9275.0,175.0,15249.0,15249.0,,,,,,,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0,2.0,29.0,29.0,621.0,10318.0,10318.0,4112.0,50833.0,50833.0,,,,,,,0.0,0.0,0.0
2005-01-01,90.0,1339.8,1339.8,26.0,446.6,446.6,814.0,12298.29,12298.29,4147.0,72098.03,72098.03,,,,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0,9.0,133.4,133.4,33.0,562.24,562.24,3951.0,60131.57,60131.57,,,,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0,33.0,406.0,406.0,254.0,4343.3,4343.3,27438.0,349018.51,349018.51,,,,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0,40.0,545.2,545.2,1415.0,22999.79,22999.79,18971.0,271616.41,271616.41,,,,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0,17.0,261.0,261.0,711.0,10843.83,10843.83,8275.0,127570.44,127570.44,,,,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-01,0.0,0.0,0.0,36.0,510.4,510.4,4749.0,72579.69,72579.69,24117.0,358439.94,358439.94,,,,0.0,0.0,0.0,0.0,0.0,0.0
2005-07-01,0.0,0.0,0.0,25.0,353.8,353.8,2238.0,29974.81,29974.81,23124.0,326796.66,326796.66,,,,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-01,0.0,0.0,0.0,32.0,429.2,429.2,2729.0,40874.4,40874.4,22964.0,318382.85,318382.85,,,,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-01,0.0,0.0,0.0,14.0,214.6,214.6,2804.0,39127.89,39127.89,3073.0,49794.38,49794.38,,,,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-01,0.0,0.0,0.0,34.0,574.2,574.2,130.0,3215.62,3215.62,3498.0,59601.27,59601.27,,,,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-01,30.0,707.6,707.6,19.0,475.6,475.6,233.0,5493.77,5493.77,1070.0,27858.15,27858.15,,,,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-01,22.0,411.8,411.8,8.0,127.6,127.6,544.0,11672.64,11672.64,1884.0,29616.05,29616.05,,,,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,843.0,14565.0,14565.0,0.0,2084.0,2084.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,0.0,0.0,0.0,0.0,197.0,197.0,831.0,14094.0,14094.0,-2.0,9632.0,9632.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-01,1.0,12.0,12.0,0.0,0.0,0.0,2426.0,37966.0,37966.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-01,0.0,6.0,6.0,0.0,0.0,0.0,2440.0,35911.0,35911.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
