measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed
2003-01-01,2.076,23.0,23.0,0.0,0.0,0.0
2003-02-01,1.804,20.0,20.0,0.0,0.0,0.0
2003-03-01,1.617,18.0,18.0,0.0,0.0,0.0
2003-04-01,1.4080000000000001,16.0,16.0,0.0,0.0,0.0
2003-05-01,1.5590000000000002,17.0,17.0,0.0,0.0,0.0
2003-06-01,1.625,18.0,18.0,0.0,0.0,0.0
2003-07-01,2.218,25.0,25.0,0.0,0.0,0.0
2003-08-01,2.173,24.0,24.0,0.0,0.0,0.0
2003-09-01,1.816,20.0,20.0,0.0,0.0,0.0
2003-10-01,1.739,19.0,19.0,0.0,0.0,0.0
2003-11-01,1.9140000000000001,21.0,21.0,0.0,0.0,0.0
2003-12-01,2.051,23.0,23.0,0.0,0.0,0.0
2004-01-01,3.8920000000000003,40.0,40.0,12.846,128.74,128.74
2004-02-01,2.226,23.0,23.0,10.29,103.13,103.13
2004-03-01,1.37,14.0,14.0,10.507,105.3,105.3
2004-04-01,0.931,10.0,10.0,16.367,164.03,164.03
2004-05-01,0.9460000000000001,10.0,10.0,20.727,207.73,207.73
2004-06-01,0.894,9.0,9.0,21.046,210.92,210.92
2004-07-01,1.0190000000000001,10.0,10.0,20.266000000000002,203.11,203.11
2004-08-01,1.3090000000000002,13.0,13.0,19.612000000000002,196.55,196.55
2004-09-01,1.335,14.0,14.0,18.675,187.16,187.16
2004-10-01,1.312,14.0,14.0,11.456000000000001,114.81,114.81
2004-11-01,1.198,12.0,12.0,7.615,76.32,76.32
2004-12-01,2.567,26.0,26.0,10.593,106.16,106.16
2005-01-01,5.054,59.88,59.88,,,
2005-02-01,1.736,20.57,20.57,,,
2005-03-01,1.925,22.81,22.81,,,
2005-04-01,2.331,27.62,27.62,,,
2005-05-01,2.165,25.65,25.65,,,
2005-06-01,2.81,33.29,33.29,,,
2005-07-01,2.86,33.89,33.89,,,
2005-08-01,3.36,39.81,39.81,,,
2005-09-01,2.2,26.07,26.07,,,
2005-10-01,2.443,28.94,28.94,,,
2005-11-01,1.9640000000000002,23.27,23.27,,,
2005-12-01,4.152,49.2,49.2,,,
2006-01-01,8.227,93.0,93.0,,,
2006-02-01,4.305,49.0,49.0,,,
2006-03-01,3.616,41.0,41.0,,,
2006-04-01,6.9270000000000005,78.0,78.0,,,
2006-05-01,6.475,73.0,73.0,,,
2006-06-01,5.885,66.0,66.0,,,
2006-07-01,8.525,96.0,96.0,,,
2006-08-01,8.269,93.0,93.0,,,
2006-09-01,3.7990000000000004,43.0,43.0,,,
2006-10-01,4.013,45.0,45.0,,,
2006-11-01,4.725,53.0,53.0,,,
2006-12-01,5.236000000000001,59.0,59.0,,,
2007-01-01,19.414,220.0,220.0,,,
2007-02-01,8.973,104.0,104.0,,,
2007-03-01,1.762,17.0,17.0,,,
2007-04-01,1.413,17.0,17.0,,,
2007-05-01,24.253,278.0,278.0,,,
2007-06-01,18.695,215.0,215.0,,,
2007-07-01,1.9560000000000002,23.0,23.0,,,
2007-08-01,12.51,145.0,145.0,,,
2007-09-01,1.677,17.0,17.0,,,
2007-10-01,0.663,6.0,6.0,,,
2007-11-01,9.032,104.0,104.0,,,
2007-12-01,2.552,29.0,29.0,,,
2008-01-01,2.9370000000000003,29.0,29.0,0.0,0.0,0.0
2008-02-01,0.48600000000000004,6.0,6.0,0.0,0.0,0.0
2008-03-01,1.895,23.0,23.0,0.0,0.0,0.0
2008-04-01,1.151,12.0,12.0,0.0,0.0,0.0
2008-05-01,0.399,6.0,6.0,0.0,0.0,0.0
2008-06-01,0.17,0.0,0.0,0.0,0.0,0.0
2008-07-01,0.517,6.0,6.0,0.0,0.0,0.0
2008-08-01,1.8450000000000002,23.0,23.0,0.0,0.0,0.0
2008-09-01,3.519,41.0,41.0,0.0,0.0,0.0
2008-10-01,8.894,99.0,99.0,0.0,0.0,0.0
2008-11-01,1.3820000000000001,17.0,17.0,0.0,0.0,0.0
2008-12-01,1.3050000000000002,17.0,17.0,0.0,0.0,0.0
2009-01-01,0.277,6.0,6.0,0.0,0.0,0.0
2009-02-01,0.9560000000000001,12.0,12.0,0.0,0.0,0.0
2009-03-01,0.129,0.0,0.0,0.0,0.0,0.0
2009-04-01,0.65,6.0,6.0,0.0,0.0,0.0
2009-05-01,5.0,58.0,58.0,0.0,0.0,0.0
2009-06-01,2.0580000000000003,23.0,23.0,0.0,0.0,0.0
2009-07-01,3.5380000000000003,41.0,41.0,0.0,0.0,0.0
2009-08-01,2.628,29.0,29.0,0.0,0.0,0.0
2009-09-01,2.7920000000000003,29.0,29.0,0.0,0.0,0.0
2009-10-01,0.9610000000000001,12.0,12.0,0.0,0.0,0.0
2009-11-01,1.746,17.0,17.0,0.0,0.0,0.0
2009-12-01,1.805,23.0,23.0,0.0,0.0,0.0
2010-01-01,3.887,41.0,41.0,42.302,413.0,413.0
2010-02-01,4.567,52.0,52.0,36.924,360.0,360.0
2010-03-01,0.616,6.0,6.0,29.18,285.0,285.0
2010-04-01,0.8390000000000001,12.0,12.0,30.91,302.0,302.0
2010-05-01,4.962000000000001,58.0,58.0,50.234,490.0,490.0
2010-06-01,3.2990000000000004,35.0,35.0,42.842,418.0,418.0
2010-07-01,0.34,6.0,6.0,55.239000000000004,539.0,539.0
2010-08-01,1.185,12.0,12.0,59.382000000000005,579.0,579.0
2010-09-01,0.461,6.0,6.0,69.933,682.0,682.0
2010-10-01,2.5220000000000002,29.0,29.0,65.226,636.0,636.0
2010-11-01,8.022,93.0,93.0,59.937000000000005,585.0,585.0
2010-12-01,2.3000000000000003,23.0,23.0,43.891000000000005,428.0,428.0
2011-01-01,4.028,46.0,46.0,33.018,321.0,321.0
2011-02-01,1.262,17.0,17.0,28.641,278.0,278.0
2011-03-01,6.44,75.0,75.0,33.68,327.0,327.0
2011-04-01,4.412,52.0,52.0,36.965,359.0,359.0
2011-05-01,2.375,29.0,29.0,57.54,559.0,559.0
2011-06-01,4.429,52.0,52.0,57.02,554.0,554.0
2011-07-01,2.43,29.0,29.0,53.735,522.0,522.0
2011-08-01,1.252,17.0,17.0,52.073,506.0,506.0
2011-09-01,0.587,6.0,6.0,45.742,444.0,444.0
2011-10-01,1.757,23.0,23.0,36.573,355.0,355.0
2011-11-01,2.535,29.0,29.0,42.026,408.0,408.0
2011-12-01,2.493,29.0,29.0,34.987,340.0,340.0
2012-01-01,21.077,238.0,238.0,52.745,502.0,502.0
2012-02-01,38.894,429.0,429.0,47.131,448.0,448.0
2012-03-01,27.834,307.0,307.0,55.497,528.0,528.0
2012-04-01,84.577,940.0,940.0,61.339,584.0,584.0
2012-05-01,60.296,667.0,667.0,60.118,572.0,572.0
2012-06-01,16.106,180.0,180.0,58.219,554.0,554.0
2012-07-01,17.721,197.0,197.0,65.307,621.0,621.0
2012-08-01,14.893,162.0,162.0,68.628,653.0,653.0
2012-09-01,18.019,197.0,197.0,61.55,586.0,586.0
2012-10-01,14.395,162.0,162.0,52.897,503.0,503.0
2012-11-01,18.312,203.0,203.0,49.375,470.0,470.0
2012-12-01,9.876,110.0,110.0,31.194,297.0,297.0
