measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,38408.159,529254.0,625138.0,,,,,,,,,
2003-02-01,33753.0,455429.0,536544.0,,,,,,,,,
2003-03-01,23999.818,492273.0,576069.0,,,,,,,,,
2003-04-01,27186.093,432947.0,499206.0,,,,,,,,,
2003-05-01,28306.763,445258.0,511371.0,,,,,,,,,
2003-06-01,27434.811,429249.0,494421.0,,,,,,,,,
2003-07-01,29413.029000000002,459244.0,527677.0,,,,,,,,,
2003-08-01,28023.475,447431.0,507567.0,,,,,,,,,
2003-09-01,8698.397,255167.0,278174.0,,,,,,,,,
2003-12-01,17776.113,343622.0,384498.0,,,,,,,,,
2004-01-01,26641.8092,321241.08,542166.29,,,,614.7358,7412.35,12510.0,,,
2004-02-01,25652.13563,309307.81,521973.95,,,,614.79737,7413.09,12510.0,,,
2004-03-01,24896.06734,300191.3,506547.92,,,,614.84766,7413.7,12510.0,,,
2004-04-01,20663.22298,249152.61,420186.95,,,,615.19502,7417.89,12510.0,,,
2004-05-01,24205.27683,291861.91,492453.89,,,,614.89617,7414.28,12510.0,,,
2004-06-01,23086.58216,278372.93,469629.5,,,,614.98084,7415.3,12510.0,,,
2004-07-01,26655.76509,321409.36,542451.09,,,,614.73491,7412.34,12510.0,,,
2004-08-01,24592.65428,296532.82,500357.38,,,,614.86872,7413.95,12510.0,,,
2004-09-01,18935.10302,228315.3,384929.88,,,,615.37998,7420.12,12510.0,,,
