measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2003-01-01,56157.384,648848.0,873342.0
2003-02-01,53259.0,594924.0,812378.0
2003-03-01,44008.628,548224.0,767353.0
2003-04-01,50598.207,583458.0,881647.0
2003-05-01,36589.351,531938.0,696187.0
2003-06-01,38380.31,547429.0,766305.0
2003-07-01,51054.35,637077.0,825094.0
2003-08-01,50196.802,656236.0,789021.0
2003-09-01,34170.355,503487.0,611374.0
2003-10-01,35656.899,509042.0,630309.0
2003-11-01,42121.639,542244.0,720077.0
2003-12-01,55873.135,698188.0,897782.0
2004-01-01,58875.531,515357.13,989840.65
2004-02-01,52970.228,463666.05,890558.1
2004-03-01,48278.842000000004,422600.79,811684.55
2004-04-01,43184.079,378004.62,726029.36
2004-05-01,49339.004,431880.74,829508.56
2004-06-01,55212.876000000004,483296.69,928262.58
2004-07-01,62001.797,542722.39,1042400.65
2004-08-01,59065.259,517017.89,993030.43
2004-09-01,56336.045,493128.17,947145.6
2004-10-01,50224.155,439628.76,844390.15
2004-11-01,54274.938,475086.61,912493.64
2004-12-01,59393.324,519889.56,998545.93
2005-01-01,57740.077,505418.12,952096.21
2005-02-01,50446.493,441574.96,831829.77
2005-03-01,54702.05,478825.27,902001.09
2005-04-01,46063.415,403208.42,759555.68
2005-05-01,54769.171,479412.8,903107.74
2005-06-01,56451.046,494134.81,930840.92
2005-07-01,60147.189,526488.38,991787.7
2005-08-01,59229.945999999996,518459.45,976663.15
2005-09-01,55576.137,486476.43,916414.16
2005-10-01,54738.006,479140.0,902593.99
2005-11-01,54330.917,475576.62,895881.35
2005-12-01,58769.787,514431.52,969075.38
2006-01-01,55544.843,486202.51,947045.3
2006-02-01,51849.822,453858.76,884044.84
2006-03-01,50687.999,443688.94,864235.58
2006-04-01,45699.181,400020.15,779175.53
2006-05-01,51428.347,450169.45,876858.42
2006-06-01,56737.532,496642.52,967380.66
2006-07-01,59746.109,522977.6,1018677.13
2006-08-01,60631.931,530731.48,1033780.49
2006-09-01,51718.734,452711.31,881809.53
2006-10-01,43671.059,382267.33,744595.85
2006-11-01,43140.966,377627.25,735557.76
2006-12-01,52441.558,459038.43,894133.78
2007-01-01,47662.0,430906.0,815277.0
2007-02-01,53479.0,480798.0,901571.0
2007-03-01,57438.0,520661.0,975414.0
2007-04-01,49893.0,455422.0,859709.0
2007-05-01,37809.0,348992.0,696973.0
2007-06-01,52023.0,473476.0,898363.0
2007-07-01,59019.0,534405.0,972132.0
2007-08-01,55097.0,501412.0,968134.0
2007-09-01,51828.0,472105.0,857290.0
2007-10-01,32787.0,303232.0,625070.0
2007-11-01,46443.0,422240.0,829710.0
2007-12-01,36755.0,341339.0,739815.0
2008-01-01,53367.0,483764.0,962676.0
2008-02-01,50247.0,457420.0,907169.0
2008-03-01,44880.0,414121.0,854701.0
2008-04-01,28681.0,269381.0,592956.0
2008-05-01,44590.0,416374.0,847593.0
2008-06-01,58223.0,529071.0,920475.0
2008-07-01,63725.0,579750.0,1027185.0
2008-08-01,58863.0,539200.0,974900.0
2008-09-01,53422.0,490514.0,896861.0
2008-10-01,37052.0,346211.0,761824.0
2008-11-01,42452.0,392367.0,818945.0
2008-12-01,32402.0,303055.0,747791.0
2009-01-01,52530.0,478779.0,956964.0
2009-02-01,27481.0,257613.0,650494.0
2009-03-01,24481.0,228193.0,610551.0
2009-04-01,4136.0,39625.0,327153.0
2009-05-01,6897.0,66944.0,391317.0
2009-06-01,7292.0,70239.0,372464.0
2009-07-01,9747.0,90144.0,387145.0
2009-08-01,12505.0,116000.0,400918.0
2009-09-01,5.0,177.0,238261.0
2009-10-01,0.0,8.0,300529.0
2009-11-01,0.0,0.0,265470.0
2009-12-01,20773.0,191829.0,558997.0
2010-01-01,37723.0,344950.0,789003.0
2010-02-01,29638.0,274181.0,673576.0
2010-03-01,4092.0,38204.0,366813.0
2010-04-01,3932.0,36389.0,337945.0
2010-05-01,13294.0,125062.0,419210.0
2010-06-01,34633.0,319926.0,669437.0
2010-07-01,39863.0,368864.0,749544.0
2010-08-01,32349.0,300231.0,674697.0
2010-09-01,18410.0,169857.0,504302.0
2010-10-01,6688.0,62363.0,360897.0
2010-11-01,8257.0,76434.0,458290.0
2010-12-01,32492.0,294759.0,795953.0
2011-01-01,19234.0,177430.0,678497.0
