measured_on,Geothermal Generation,Geothermal Quantity Consumed For Electricity,Geothermal Total Fuel Consumed
2013-12-01,7811.0,74525.0,74525.0
2014-01-01,16047.0,152607.0,152607.0
2014-02-01,12659.0,120387.0,120387.0
2014-03-01,12493.0,118808.0,118808.0
2014-04-01,14061.0,133720.0,133720.0
2014-05-01,13591.0,129250.0,129250.0
2014-06-01,11599.0,110306.0,110306.0
2014-07-01,11099.0,105551.0,105551.0
2014-08-01,12557.0,119417.0,119417.0
2014-09-01,12947.0,123126.0,123126.0
2014-10-01,15023.0,142869.0,142869.0
2014-11-01,16080.0,152921.0,152921.0
2014-12-01,16951.0,161204.0,161204.0
2015-01-01,11955.0,111409.0,111409.0
2015-02-01,10166.0,94737.0,94737.0
2015-03-01,10727.0,99965.0,99965.0
2015-04-01,10233.0,95361.0,95361.0
2015-05-01,9490.0,88437.0,88437.0
2015-06-01,5591.0,52103.0,52103.0
2015-07-01,6430.0,59921.0,59921.0
2015-08-01,5985.0,55774.0,55774.0
2015-09-01,6397.0,59614.0,59614.0
2015-10-01,9342.0,87058.0,87058.0
2015-11-01,9030.0,84151.0,84151.0
2015-12-01,10487.0,97728.0,97728.0
2016-01-01,11888.0,109750.0,109750.0
2016-02-01,13789.0,127300.0,127300.0
2016-03-01,14493.0,133799.0,133799.0
2016-04-01,13257.0,122389.0,122389.0
2016-05-01,15036.0,138812.0,138812.0
2016-06-01,11054.0,102051.0,102051.0
2016-07-01,11056.0,102069.0,102069.0
2016-08-01,12223.0,112843.0,112843.0
2016-09-01,13631.0,125841.0,125841.0
2016-10-01,14978.0,138277.0,138277.0
2016-11-01,15841.0,146244.0,146244.0
2016-12-01,17598.0,162465.0,162465.0
2017-01-01,14895.982,137237.0,137237.0
2017-02-01,13121.595,120889.0,120889.0
2017-03-01,14676.055,135210.0,135210.0
2017-04-01,14218.53,130995.0,130995.0
2017-05-01,13744.52,126628.0,126628.0
2017-06-01,13486.93,124255.0,124255.0
2017-07-01,14507.049,133653.0,133653.0
2017-08-01,14410.955,132768.0,132768.0
2017-09-01,14093.212,129841.0,129841.0
2017-10-01,12835.751,118256.0,118256.0
2017-11-01,13790.546,127052.0,127052.0
2017-12-01,14338.875,132104.0,132104.0
2018-01-01,13328.722,121345.0,121345.0
2018-02-01,12670.25,115350.0,115350.0
2018-03-01,13579.6,123629.0,123629.0
2018-04-01,11812.562,107542.0,107542.0
2018-05-01,13665.575,124411.0,124411.0
2018-06-01,12750.542,116081.0,116081.0
2018-07-01,13513.452,123026.0,123026.0
2018-08-01,13487.889,122794.0,122794.0
2018-09-01,13121.653,119460.0,119460.0
2018-10-01,12631.582,114998.0,114998.0
2018-11-01,13198.791,120162.0,120162.0
2018-12-01,13999.382,127450.0,127450.0
2019-01-01,11551.417,102865.0,102865.0
2019-02-01,10759.904,95817.0,95817.0
2019-03-01,11853.826,105558.0,105558.0
2019-04-01,10481.577,93338.0,93338.0
2019-05-01,11289.328,100531.0,100531.0
2019-06-01,10960.316,97602.0,97602.0
2019-07-01,11336.315,100950.0,100950.0
2019-08-01,11446.255,101929.0,101929.0
2019-09-01,11223.696,99947.0,99947.0
2019-10-01,9576.3,85277.0,85277.0
2019-11-01,8744.661,77871.0,77871.0
2019-12-01,10299.405,91716.0,91716.0
2020-01-01,11611.624,101799.0,101799.0
2020-02-01,12361.252,108371.0,108371.0
2020-03-01,12910.187,113184.0,113184.0
2020-04-01,12201.3,106969.0,106969.0
2020-05-01,11652.537,102158.0,102158.0
2020-06-01,10726.332,94038.0,94038.0
2020-07-01,10130.367,88813.0,88813.0
2020-08-01,9855.684,86405.0,86405.0
2020-09-01,10637.958,93263.0,93263.0
2020-10-01,11809.129,103531.0,103531.0
2020-11-01,12598.897,110455.0,110455.0
2020-12-01,13203.733,115757.0,115757.0
2021-01-01,13529.447,119654.0,119654.0
2021-02-01,11854.302,104839.0,104839.0
2021-03-01,10525.522,93088.0,93088.0
2021-04-01,12071.219,106758.0,106758.0
2021-05-01,13350.544,118072.0,118072.0
2021-06-01,11580.802,102421.0,102421.0
2021-07-01,11448.276,101249.0,101249.0
2021-08-01,11626.562,102825.0,102825.0
2021-09-01,12058.371,106644.0,106644.0
2021-10-01,13186.602,116622.0,116622.0
2021-11-01,13560.333,119928.0,119928.0
2021-12-01,15186.02,134305.0,134305.0
2022-01-01,14575.671,49732.0,49732.0
2022-02-01,12776.108,43592.0,43592.0
2022-03-01,11502.26,39246.0,39246.0
2022-04-01,10660.766,36375.0,36375.0
2022-05-01,11513.49,39284.0,39284.0
2022-06-01,11282.522,38496.0,38496.0
2022-07-01,10849.581,37019.0,37019.0
2022-08-01,11461.614,39107.0,39107.0
2022-09-01,11754.013,40105.0,40105.0
2022-10-01,10222.714,34880.0,34880.0
2022-11-01,14542.65,49620.0,49620.0
2022-12-01,15289.611,52168.0,52168.0
2023-01-01,15530.0,52988.0,52988.0
2023-02-01,13581.0,46338.0,46338.0
2023-03-01,13678.0,46669.0,46669.0
2023-04-01,10462.0,35696.0,35696.0
2023-05-01,12926.0,44104.0,44104.0
2023-06-01,11476.0,39156.0,39156.0
2023-07-01,9330.0,31834.0,31834.0
2023-08-01,11517.0,39296.0,39296.0
2023-09-01,12459.0,42510.0,42510.0
2023-10-01,14364.0,49010.0,49010.0
2023-11-01,14375.0,49048.0,49048.0
2023-12-01,15334.0,52320.0,52320.0
