measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed",Waste heat not directly attributed to a fuel source - Combined Cycle Steam Part - Other - Generation,Waste heat not directly attributed to a fuel source - Combined Cycle Steam Part - Other - Quantity Consumed For Electricity,Waste heat not directly attributed to a fuel source - Combined Cycle Steam Part - Other - Total Fuel Consumed,"Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2003-01-01,112612.0,822290.0,1666880.0,7042.0,0.0,0.0,,,,,,,,,,,,
2003-02-01,104250.0,729798.0,1511671.0,7661.0,0.0,0.0,,,,,,,,,,,,
2003-03-01,113166.0,717499.0,1566247.0,8496.0,0.0,0.0,,,,,,,,,,,,
2003-04-01,105397.0,519468.0,1309943.0,6163.0,0.0,0.0,,,,,,,,,,,,
2003-05-01,100286.0,594710.0,1346835.0,2794.0,0.0,0.0,,,,,,,,,,,,
2003-06-01,94332.0,766523.0,1474010.0,2866.0,0.0,0.0,,,,,,,,,,,,
2003-07-01,104213.0,687395.0,1468995.0,2318.0,0.0,0.0,,,,,,,,,,,,
2003-08-01,107305.0,687882.0,1492632.0,1930.0,0.0,0.0,,,,,,,,,,,,
2003-09-01,,,,2880.0,0.0,0.0,,,,,,,,,,,,
2003-10-01,106932.0,535799.0,1337787.0,3067.0,0.0,0.0,,,,,,,,,,,,
2003-11-01,,,,3643.0,0.0,0.0,,,,,,,,,,,,
2003-12-01,131890.0,527968.0,1517141.0,2909.0,0.0,0.0,,,,,,,,,,,,
2004-01-01,,,,0.0,0.0,0.0,,,,3757.78,37660.0,37660.0,,,,,,
2004-02-01,,,,0.0,0.0,0.0,,,,3715.1,37233.0,37233.0,,,,,,
2004-03-01,,,,0.0,0.0,0.0,,,,3729.65,37379.0,37379.0,,,,,,
2004-04-01,,,,0.0,0.0,0.0,,,,2360.01,23652.0,23652.0,,,,,,
2004-05-01,,,,0.0,0.0,0.0,,,,2276.59,22816.0,22816.0,,,,,,
2004-06-01,,,,0.0,0.0,0.0,,,,3715.1,37233.0,37233.0,,,,,,
2004-07-01,,,,0.0,0.0,0.0,,,,2038.94,20434.0,20434.0,,,,,,
2004-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2004-09-01,,,,0.0,0.0,0.0,,,,2346.43,23516.0,23516.0,,,,,,
2004-10-01,,,,0.0,0.0,0.0,,,,3156.38,31633.0,31633.0,,,,,,
2004-11-01,,,,0.0,0.0,0.0,,,,3575.42,35833.0,35833.0,,,,,,
2004-12-01,,,,0.0,0.0,0.0,,,,3618.1,36261.0,36261.0,,,,,,
2005-01-01,,,,,,,113740.76,1547349.75,1807990.37,3980.88,39805.0,39805.0,,,,,,
2005-02-01,,,,,,,88012.82,1197342.23,1416388.68,3365.9,33656.0,33656.0,,,,,,
2005-03-01,,,,,,,88219.6,1200155.3,1443094.53,4037.14,40367.0,40367.0,,,,,,
2005-04-01,,,,,,,84758.24,1153066.33,1531011.57,3533.71,35334.0,35334.0,,,,,,
2005-05-01,,,,,,,85694.14,1165798.49,1538963.37,3589.97,35896.0,35896.0,,,,,,
2005-06-01,,,,,,,72060.38,980322.36,1278133.79,3003.12,30028.0,30028.0,,,,,,
2005-07-01,,,,,,,81506.6,1108830.44,1362309.66,2821.73,28214.0,28214.0,,,,,,
2005-08-01,,,,,,,82694.36,1124988.94,1323966.82,2961.41,29611.0,29611.0,,,,,,
2005-09-01,,,,,,,80456.04,1094538.43,1288899.5,3226.22,32259.0,32259.0,,,,,,
2005-10-01,,,,,,,88088.28,1198368.8,1349485.4,3365.9,33656.0,33656.0,,,,,,
2005-11-01,,,,,,,82739.44,1125602.22,1231361.02,3199.06,31987.0,31987.0,,,,,,
2005-12-01,,,,,,,83693.96,1138587.68,1248411.96,3282.48,32822.0,32822.0,,,,,,
2006-01-01,,,,,,,107184.56,1458158.02,1525048.32,3031.25,30067.0,30067.0,,,,,,
2006-02-01,,,,,,,91992.6,1251483.87,1343370.13,2360.98,23419.0,23419.0,,,,,,
2006-03-01,,,,,,,82092.64,1116803.03,1268006.88,3072.96,30481.0,30481.0,,,,,,
2006-04-01,,,,,,,64076.32,871705.78,1097229.3,2612.21,25911.0,25911.0,,,,,,
2006-05-01,,,,,,,62034.0,843921.69,944306.1,390.91,3877.0,3877.0,,,,,,
2006-06-01,,,,,,,60397.4,821657.09,1026721.67,3226.22,32001.0,32001.0,,,,,,
2006-07-01,,,,,,,83492.08,1135841.27,1277184.56,2849.86,28268.0,28268.0,,,,,,
2006-08-01,,,,,,,76982.92,1047289.48,1228394.85,223.1,2213.0,2213.0,,,,,,
2006-09-01,,,,,,,57645.56,784220.56,932701.84,558.72,5542.0,5542.0,,,,,,
2006-10-01,,,,,,,81469.36,1108323.82,1232455.23,2584.08,25631.0,25631.0,,,,,,
2006-11-01,,,,,,,77327.88,1051982.38,1117944.9,2500.66,24804.0,24804.0,,,,,,
2006-12-01,,,,,,,73705.8,1002706.95,1147241.94,3156.38,31308.0,31308.0,,,,,,
2007-01-01,,,,,,,99299.48,1330141.0,1330141.0,,,,,,,2151.46,21265.0,21265.0
2007-02-01,,,,,,,79170.28,1077046.0,1102309.0,,,,,,,1648.03,16289.0,16289.0
2007-03-01,,,,,,,79170.28,1077047.0,1163927.0,,,,,,,642.14,6347.0,6347.0
2007-04-01,,,,,,,75311.04,1024545.0,1112733.0,,,,,,,0.0,0.0,0.0
2007-05-01,,,,,,,52665.2,716467.0,858590.0,,,,,,,0.0,0.0,0.0
2007-06-01,,,,,,,65869.72,896104.0,1038471.0,,,,,,,0.0,0.0,0.0
2007-07-01,,,,,,,77855.12,1059155.0,1319428.0,,,,,,,0.0,0.0,0.0
2007-08-01,,,,,,,68758.76,935406.0,1173945.0,,,,,,,0.0,0.0,0.0
2007-09-01,,,,,,,71628.2,974443.0,1143144.0,,,,,,,0.0,0.0,0.0
2007-10-01,,,,,,,82443.48,1121576.0,1228674.0,,,,,,,0.0,0.0,0.0
