measured_on,Wind Generation,Wind Quantity Consumed For Electricity,Wind Total Fuel Consumed
2017-01-01,990.663,9127.0,9127.0
2017-02-01,980.632,9035.0,9035.0
2017-03-01,1188.267,10948.0,10948.0
2017-04-01,1161.189,10698.0,10698.0
2017-05-01,1037.206,9556.0,9556.0
2017-06-01,792.784,7304.0,7304.0
2017-07-01,734.451,6766.0,6766.0
2017-08-01,602.672,5552.0,5552.0
2017-09-01,765.172,7050.0,7050.0
2017-10-01,951.465,8766.0,8766.0
2017-11-01,919.257,8469.0,8469.0
2017-12-01,818.242,7538.0,7538.0
2018-01-01,885.792,8064.0,8064.0
2018-02-01,810.077,7375.0,7375.0
2018-03-01,966.665,8801.0,8801.0
2018-04-01,1001.337,9116.0,9116.0
2018-05-01,1021.066,9296.0,9296.0
2018-06-01,1023.286,9316.0,9316.0
2018-07-01,618.215,5628.0,5628.0
2018-08-01,789.264,7185.0,7185.0
2018-09-01,552.647,5031.0,5031.0
2018-10-01,736.329,6704.0,6704.0
2018-11-01,795.287,7240.0,7240.0
2018-12-01,838.035,7629.0,7629.0
2019-01-01,805.684,7175.0,7175.0
2019-02-01,772.521,6879.0,6879.0
2019-03-01,764.08,6804.0,6804.0
2019-04-01,889.541,7921.0,7921.0
2019-05-01,868.601,7735.0,7735.0
2019-06-01,688.406,6130.0,6130.0
2019-07-01,712.661,6346.0,6346.0
2019-08-01,684.94,6099.0,6099.0
2019-09-01,668.255,5951.0,5951.0
2019-10-01,764.342,6806.0,6806.0
2019-11-01,709.079,6314.0,6314.0
2019-12-01,729.89,6500.0,6500.0
2020-01-01,678.818,5951.0,5951.0
2020-02-01,657.159,5761.0,5761.0
2020-03-01,654.204,5735.0,5735.0
2020-04-01,658.668,5775.0,5775.0
2020-05-01,686.617,6020.0,6020.0
2020-06-01,722.573,6335.0,6335.0
2020-07-01,594.761,5214.0,5214.0
2020-08-01,546.038,4787.0,4787.0
2020-09-01,444.195,3894.0,3894.0
2020-10-01,626.158,5490.0,5490.0
2020-11-01,635.237,5569.0,5569.0
2020-12-01,676.572,5932.0,5932.0
2021-01-01,303.42,2683.0,2683.0
2021-02-01,241.357,2135.0,2135.0
2021-03-01,414.068,3662.0,3662.0
2021-04-01,359.177,3177.0,3177.0
2021-05-01,360.638,3189.0,3189.0
2021-06-01,270.77,2395.0,2395.0
2021-07-01,207.446,1835.0,1835.0
2021-08-01,271.368,2400.0,2400.0
2021-09-01,257.294,2276.0,2276.0
2021-10-01,320.44,2834.0,2834.0
2021-11-01,312.78,2766.0,2766.0
2021-12-01,355.242,3142.0,3142.0
2022-01-01,15.777,54.0,54.0
2022-02-01,15.668,53.0,53.0
2022-03-01,20.115,69.0,69.0
2022-04-01,21.593,74.0,74.0
2022-05-01,22.399,76.0,76.0
2022-06-01,17.478,60.0,60.0
2022-07-01,15.758,54.0,54.0
2022-08-01,11.286,39.0,39.0
2022-09-01,10.414,36.0,36.0
2022-10-01,13.58,46.0,46.0
2022-11-01,16.465,56.0,56.0
2022-12-01,15.467,53.0,53.0
2023-01-01,-27.0,0.0,0.0
2023-02-01,-29.0,0.0,0.0
2023-03-01,-28.0,0.0,0.0
2023-04-01,-18.0,0.0,0.0
2023-05-01,-19.0,0.0,0.0
2023-06-01,-24.0,0.0,0.0
2023-07-01,-23.0,0.0,0.0
2023-08-01,-22.0,0.0,0.0
2023-09-01,-21.0,0.0,0.0
2023-10-01,-18.0,0.0,0.0
2023-11-01,-22.0,0.0,0.0
2023-12-01,-28.0,0.0,0.0
