measured_on,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2017-01-01,2471.891,28114.0,99162.0
2017-02-01,2088.799,23757.0,83790.0
2017-03-01,2254.547,25642.0,90441.0
2017-04-01,2553.906,29046.0,102447.0
2017-05-01,1965.866,22358.0,78858.0
2017-06-01,2434.972,27694.0,97677.0
2017-07-01,2389.488,27176.0,95859.0
2017-08-01,2544.898,28944.0,102087.0
2017-09-01,2180.848,24804.0,87489.0
2017-10-01,2525.549,28724.0,101313.0
2017-11-01,2257.111,25671.0,90549.0
2017-12-01,2408.125,27388.0,96606.0
2018-01-01,2320.473,26392.0,94968.0
2018-02-01,2143.289,24376.0,87732.0
2018-03-01,2287.838,26020.0,93654.0
2018-04-01,2070.48,23548.0,84753.0
2018-05-01,1766.5,20091.0,72315.0
2018-06-01,2775.971,31572.0,113634.0
2018-07-01,2686.193,30551.0,109962.0
2018-08-01,2633.08,29947.0,107784.0
2018-09-01,2319.707,26383.0,94959.0
2018-10-01,2381.973,27091.0,97506.0
2018-11-01,2080.253,23659.0,85158.0
2018-12-01,2463.243,28015.0,100836.0
2019-01-01,1677.386,19077.0,88767.0
2019-02-01,1305.32,14846.0,69075.0
2019-03-01,1599.047,18186.0,84627.0
2019-04-01,1425.561,16213.0,75438.0
2019-05-01,980.656,11153.0,51894.0
2019-06-01,1424.737,16204.0,75402.0
2019-07-01,1671.725,19013.0,88470.0
2019-08-01,1656.06,18835.0,87642.0
2019-09-01,1428.846,16251.0,75618.0
2019-10-01,1501.283,17075.0,79452.0
2019-11-01,1523.656,17329.0,80631.0
2019-12-01,1544.723,17569.0,81747.0
2020-01-01,1721.836,19583.0,90081.0
2020-02-01,1651.492,18783.0,86409.0
2020-03-01,1718.692,19547.0,89919.0
2020-04-01,1590.051,18084.0,83196.0
2020-05-01,1510.378,17178.0,79020.0
2020-06-01,1344.236,15288.0,70335.0
2020-07-01,1702.227,19360.0,89064.0
2020-08-01,1849.087,21030.0,96741.0
2020-09-01,1300.022,14786.0,68022.0
2020-10-01,1713.925,19493.0,89676.0
2020-11-01,1844.19,20975.0,96489.0
2020-12-01,1935.864,22017.0,101286.0
2021-01-01,1750.17,20521.0,98829.0
2021-02-01,1542.275,18083.0,87093.0
2021-03-01,1841.05,21586.0,103959.0
2021-04-01,1507.508,17676.0,85131.0
2021-05-01,1550.031,18174.0,87525.0
2021-06-01,1476.316,17310.0,83367.0
2021-07-01,1780.217,20873.0,100530.0
2021-08-01,1651.529,19364.0,93258.0
2021-09-01,1533.577,17981.0,86598.0
2021-10-01,1354.321,15880.0,76473.0
2021-11-01,1522.987,17857.0,86004.0
2021-12-01,1539.849,18055.0,86949.0
2022-01-01,2222.901,26064.0,95427.0
2022-02-01,1962.362,23009.0,84240.0
2022-03-01,2333.671,27362.0,100188.0
2022-04-01,2089.824,24503.0,89712.0
2022-05-01,1909.173,22385.0,81963.0
2022-06-01,1884.601,22097.0,80901.0
2022-07-01,2710.87,31785.0,116379.0
2022-08-01,2433.896,28538.0,104490.0
2022-09-01,1848.902,21679.0,79371.0
2022-10-01,1719.627,20163.0,73827.0
2022-11-01,2176.281,25517.0,93429.0
2022-12-01,2784.402,32647.0,119529.0
2023-01-01,1752.68,19996.0,196003.0
2023-02-01,1353.691,15444.0,151377.0
2023-03-01,1437.338,16398.0,160729.0
2023-04-01,1144.547,13058.0,127989.0
2023-05-01,1114.809,12718.0,124667.0
2023-06-01,1436.77,16391.0,160676.0
2023-07-01,1347.605,15374.0,150695.0
2023-08-01,1396.611,15933.0,156184.0
2023-09-01,1233.28,14070.0,137917.0
2023-10-01,1519.426,17334.0,169923.0
2023-11-01,1698.758,19380.0,189973.0
2023-12-01,1679.485,19160.0,187805.0
2024-01-01,1349.848,15995.0,81326.0
2024-02-01,1480.845,17548.0,89207.0
2024-03-01,1496.445,17732.0,90151.0
2024-04-01,1453.264,17221.0,87551.0
2024-05-01,947.476,11227.0,57082.0
2024-06-01,1365.856,16185.0,82288.0
2024-07-01,1464.197,17350.0,88208.0
2024-08-01,1394.229,16521.0,83990.0
2024-09-01,1419.186,16817.0,85498.0
2024-10-01,1500.107,17776.0,90373.0
2024-11-01,1384.994,16412.0,83435.0
2024-12-01,1431.553,16963.0,86238.0
