measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2001-01-01,269.512,2425.0,32214.0,9.491,85.0,1134.0
2001-02-01,258.761,2328.0,30929.0,9.112,82.0,1089.0
2001-03-01,265.66900000000004,2390.0,31755.0,9.355,84.0,1118.0
2001-04-01,249.019,2240.0,29765.0,8.769,79.0,1048.0
2001-05-01,239.90900000000002,2158.0,28676.0,8.448,76.0,1010.0
2001-06-01,296.216,2665.0,35406.0,10.431000000000001,94.0,1247.0
2001-07-01,302.705,2723.0,36182.0,10.659,96.0,1274.0
2001-08-01,347.461,3126.0,41531.0,12.236,110.0,1462.0
2001-09-01,274.946,2474.0,32864.0,9.682,87.0,1157.0
2001-10-01,272.29,2450.0,32546.0,9.588000000000001,86.0,1146.0
2001-11-01,275.585,2479.0,32940.0,9.705,87.0,1160.0
2001-12-01,310.517,2794.0,37115.0,10.935,98.0,1307.0
2002-01-01,290.303,2693.0,34780.0,4.604,43.0,552.0
2002-02-01,263.52,2444.0,31571.0,4.45,41.0,533.0
2002-03-01,287.829,2670.0,34484.0,6.563000000000001,61.0,786.0
2002-04-01,260.248,2414.0,31179.0,4.185,39.0,501.0
2002-05-01,250.05900000000003,2319.0,29959.0,3.8230000000000004,35.0,458.0
2002-06-01,326.405,3027.0,39105.0,5.007000000000001,46.0,600.0
2002-07-01,455.261,4223.0,54543.0,8.954,83.0,1073.0
2002-08-01,455.124,4221.0,54526.0,8.144,76.0,976.0
2002-09-01,355.666,3299.0,42611.0,5.222,48.0,626.0
2002-10-01,282.987,2625.0,33903.0,5.872,54.0,704.0
2002-11-01,241.959,2244.0,28988.0,4.475,42.0,536.0
2002-12-01,261.493,2425.0,31328.0,7.993,74.0,958.0
