measured_on,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,2006.93,30281.0,30281.0,1049.0,4421.0,7764.0,,,
2003-02-01,1176.0,17163.0,17163.0,596.0,1003.0,4400.0,,,
2003-03-01,1666.46,24065.0,24065.0,871.0,1042.0,6169.0,,,
2003-04-01,3358.14,47396.0,47396.0,1756.0,2266.0,12152.0,,,
2003-05-01,1156.0,16925.0,16925.0,584.0,1671.0,4328.0,,,
2003-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-07-01,6756.0,99178.0,99178.0,3736.0,18173.0,27075.0,,,
2003-08-01,4659.0,70633.0,70633.0,2552.0,9890.0,16017.0,,,
2003-09-01,320.0,4967.0,4967.0,164.0,264.0,809.0,,,
2003-10-01,1384.0,22037.0,22037.0,922.0,-344.0,2990.0,,,
2003-11-01,1636.0,7565.0,13200.0,1091.0,3222.0,3222.0,,,
2003-12-01,238.0,3117.0,3117.0,357.0,2162.0,3281.0,,,
2004-01-01,222.918,2156.2,2488.61,25.893,44.66,44.66,,,
2004-02-01,186.978,1827.71,2087.38,24.406000000000002,42.09,42.09,,,
2004-03-01,178.353,1750.4,1991.1,24.262,41.84,41.84,,,
2004-04-01,194.829,1896.69,2175.03,24.34,41.98,41.98,,,
2004-05-01,252.851,2789.48,2822.79,77.641,133.9,133.9,,,
2004-06-01,237.452,2650.87,2650.87,249.223,429.82,429.82,,,
2004-07-01,286.726,3200.96,3200.96,337.65700000000004,582.34,582.34,,,
2004-08-01,240.829,2688.56,2688.56,317.925,548.31,548.31,,,
2004-09-01,193.037,2155.02,2155.02,308.36400000000003,531.81,531.81,,,
2004-10-01,200.852,2242.27,2242.27,390.335,673.19,673.19,,,
2004-11-01,242.52200000000002,2707.46,2707.46,482.765,832.59,832.59,,,
2004-12-01,246.643,2753.47,2753.47,421.17900000000003,726.38,726.38,,,
2005-01-01,594.908,8462.34,13577.81,594.908,2062.22,2062.22,,,
2005-02-01,536.967,7638.15,12255.39,536.967,1861.37,1861.37,,,
2005-03-01,579.496,8243.11,13226.05,579.496,2008.79,2008.79,,,
2005-04-01,582.279,8282.71,13289.58,582.279,2018.44,2018.44,,,
2005-05-01,639.52,9096.93,14596.02,639.52,2216.87,2216.87,,,
