measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,,,,47.0,501.0,501.0,121.0,1832.0,1832.0,0.0,0.0,0.0
2003-02-01,,,,54.0,539.0,539.0,202.0,2920.0,2920.0,0.0,0.0,0.0
2003-03-01,,,,55.0,523.0,523.0,231.0,3263.0,3263.0,0.0,0.0,0.0
2003-04-01,,,,24.0,204.0,204.0,326.0,4634.0,4634.0,0.0,0.0,0.0
2003-05-01,,,,43.0,440.0,440.0,36.0,654.0,654.0,0.0,0.0,0.0
2003-06-01,,,,34.0,396.0,396.0,148.0,2509.0,2509.0,0.0,0.0,0.0
2003-07-01,,,,36.0,314.0,314.0,56.0,899.0,899.0,0.0,0.0,0.0
2003-08-01,,,,34.0,341.0,341.0,458.0,8112.0,8112.0,0.0,0.0,0.0
2003-09-01,,,,36.0,407.0,407.0,47.0,793.0,793.0,0.0,0.0,0.0
2003-10-01,,,,46.0,495.0,495.0,118.0,2055.0,2055.0,0.0,0.0,0.0
2003-11-01,,,,65.0,666.0,666.0,45.0,850.0,850.0,0.0,0.0,0.0
2003-12-01,,,,44.0,435.0,435.0,101.0,1797.0,1797.0,0.0,0.0,0.0
2004-01-01,,,,51.758,588.0,588.0,50.23,949.0,949.0,,,
2004-02-01,,,,47.157000000000004,536.0,536.0,41.596000000000004,786.0,786.0,,,
2004-03-01,,,,43.706,497.0,497.0,45.336000000000006,857.0,857.0,,,
2004-04-01,,,,0.0,0.0,0.0,55.521,1049.0,1049.0,,,
2004-05-01,,,,0.0,0.0,0.0,52.19,986.0,986.0,,,
2004-06-01,,,,0.0,0.0,0.0,111.801,2113.0,2113.0,,,
2004-07-01,,,,98.656,1121.0,1121.0,48.381,914.0,914.0,,,
2004-08-01,,,,46.946000000000005,534.0,534.0,69.141,1306.0,1306.0,,,
2004-09-01,,,,111.777,1271.0,1271.0,61.451,1161.0,1161.0,,,
2004-10-01,,,,0.0,0.0,0.0,31.118000000000002,588.0,588.0,,,
2004-11-01,,,,0.0,0.0,0.0,49.66,938.0,938.0,,,
2004-12-01,,,,0.0,0.0,0.0,38.575,729.0,729.0,,,
2005-01-01,0.0,0.0,0.0,29.558,377.76,377.76,143.056,2636.22,2636.22,,,
2005-02-01,0.0,0.0,0.0,10.155,129.78,129.78,114.445,2108.99,2108.99,,,
2005-03-01,0.0,0.0,0.0,11.256,143.85,143.85,158.81400000000002,2926.62,2926.62,,,
2005-04-01,0.0,0.0,0.0,13.634,174.24,174.24,150.755,2778.11,2778.11,,,
