measured_on,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed"
2003-01-01,,,,727.4,5706.0,5743.0
2003-02-01,,,,671.1320000000001,5265.0,5299.0
2003-03-01,,,,739.842,5804.0,5841.0
2003-04-01,,,,699.658,5488.0,5524.0
2003-05-01,,,,801.096,6284.0,6325.0
2003-06-01,,,,834.662,6547.0,6590.0
2003-07-01,,,,1071.631,8406.0,8461.0
2003-08-01,,,,1006.76,7897.0,7949.0
2003-09-01,,,,919.988,7217.0,7264.0
2003-10-01,,,,865.789,6792.0,6836.0
2003-11-01,,,,732.8910000000001,5749.0,5786.0
2003-12-01,,,,778.1510000000001,6104.0,6144.0
2004-01-01,,,,862.73,5915.86,5915.86
2004-02-01,,,,858.01,5883.5,5883.5
2004-03-01,,,,840.81,5765.55,5765.55
2004-04-01,,,,821.782,5635.07,5635.07
2004-05-01,,,,853.993,5855.95,5855.95
2004-06-01,,,,817.9390000000001,5608.72,5608.72
2004-07-01,,,,830.965,5698.04,5698.04
2004-08-01,,,,825.366,5659.65,5659.65
2004-09-01,,,,766.893,5258.7,5258.7
2004-10-01,,,,784.433,5378.97,5378.97
2004-11-01,,,,746.402,5118.18,5118.18
2004-12-01,,,,790.678,5421.79,5421.79
2005-01-01,,,,736.298,4859.84,4859.84
2005-02-01,,,,627.962,4144.78,4144.78
2005-03-01,,,,701.5310000000001,4630.36,4630.36
2005-04-01,,,,647.724,4275.21,4275.21
2005-05-01,,,,709.685,4684.18,4684.18
2005-06-01,,,,688.134,4541.94,4541.94
2005-07-01,,,,739.302,4879.66,4879.66
2005-08-01,,,,712.1510000000001,4700.46,4700.46
2005-09-01,,,,678.0160000000001,4475.15,4475.15
2005-10-01,,,,585.1220000000001,3862.02,3862.02
2005-11-01,,,,651.5310000000001,4300.34,4300.34
2005-12-01,,,,729.062,4812.07,4812.07
2006-01-01,,,,993.696,4464.76,4464.76
