measured_on,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed
2003-01-01,0.655,6.71,6.71
2003-02-01,0.5660000000000001,5.8,5.8
2003-03-01,0.534,5.47,5.47
2003-04-01,0.522,5.35,5.35
2003-05-01,0.549,5.62,5.62
2003-06-01,0.5770000000000001,5.91,5.91
2003-07-01,0.643,6.58,6.58
2003-08-01,0.67,6.86,6.86
2003-09-01,0.548,5.61,5.61
2003-10-01,0.551,5.64,5.64
2003-11-01,0.55,5.63,5.63
2003-12-01,0.635,6.5,6.5
2004-01-01,519.701,5208.44,5208.44
2004-02-01,343.889,3446.46,3446.46
2004-03-01,720.32,7219.05,7219.05
2004-04-01,692.6270000000001,6941.51,6941.51
2004-05-01,645.5,6469.2,6469.2
2004-06-01,382.403,3832.44,3832.44
2004-07-01,371.13,3719.46,3719.46
2004-08-01,530.479,5316.46,5316.46
2004-09-01,595.685,5969.96,5969.96
2004-10-01,419.959,4208.83,4208.83
2004-11-01,408.15,4090.48,4090.48
2004-12-01,581.1560000000001,5824.35,5824.35
2005-01-01,0.41,4.1,4.1
2005-02-01,0.333,3.33,3.33
2005-03-01,0.364,3.64,3.64
2005-04-01,0.456,4.56,4.56
2005-05-01,0.338,3.38,3.38
2005-06-01,0.303,3.03,3.03
2005-07-01,0.257,2.57,2.57
2005-08-01,0.203,2.03,2.03
2005-09-01,0.175,1.75,1.75
2005-10-01,0.35600000000000004,3.56,3.56
2005-11-01,0.391,3.91,3.91
2005-12-01,0.41400000000000003,4.14,4.14
2006-01-01,447.759,4441.0,4441.0
2006-02-01,403.74600000000004,4005.0,4005.0
2006-03-01,355.706,3528.0,3528.0
2006-04-01,387.175,3840.0,3840.0
2006-05-01,457.769,4541.0,4541.0
2006-06-01,449.788,4461.0,4461.0
2006-07-01,471.66400000000004,4678.0,4678.0
2006-08-01,468.25600000000003,4645.0,4645.0
2006-09-01,303.954,3015.0,3015.0
2006-10-01,267.957,2658.0,2658.0
2006-11-01,313.86600000000004,3113.0,3113.0
2006-12-01,332.36,3297.0,3297.0
2007-01-01,0.745,7.0,7.0
2007-02-01,0.258,3.0,3.0
2007-03-01,0.885,9.0,9.0
2007-04-01,0.808,8.0,8.0
2007-05-01,0.47200000000000003,5.0,5.0
2007-06-01,0.194,2.0,2.0
2007-07-01,0.12200000000000001,1.0,1.0
2007-08-01,0.165,2.0,2.0
2007-09-01,0.09,1.0,1.0
2007-10-01,0.162,2.0,2.0
2007-11-01,0.396,4.0,4.0
2007-12-01,0.7020000000000001,7.0,7.0
2008-01-01,5226.987,51507.0,51507.0
2008-02-01,6289.942,61981.0,61981.0
2008-03-01,7329.101000000001,72221.0,72221.0
2008-04-01,5645.58,55632.0,55632.0
2008-05-01,5176.533,51010.0,51010.0
2008-06-01,1949.1760000000002,19207.0,19207.0
2008-07-01,1609.9660000000001,15865.0,15865.0
2008-08-01,1090.335,10744.0,10744.0
2008-09-01,1064.8890000000001,10493.0,10493.0
2008-10-01,1102.246,10862.0,10862.0
2008-11-01,1917.413,18894.0,18894.0
2008-12-01,5597.832,55161.0,55161.0
2009-01-01,3165.0190000000002,30891.0,30891.0
2009-02-01,3256.18,31780.0,31780.0
2009-03-01,4478.377,43709.0,43709.0
2009-04-01,4241.677000000001,41399.0,41399.0
2009-05-01,3890.9550000000004,37976.0,37976.0
2009-06-01,3539.7270000000003,34548.0,34548.0
2009-07-01,2251.9190000000003,21979.0,21979.0
2009-08-01,2956.424,28855.0,28855.0
2009-09-01,1501.0520000000001,14650.0,14650.0
2009-10-01,2868.7870000000003,27999.0,27999.0
2009-11-01,3164.601,30887.0,30887.0
2009-12-01,4625.282,45143.0,45143.0
2010-01-01,5474.496,53409.0,53409.0
2010-02-01,3719.9930000000004,36292.0,36292.0
2010-03-01,7073.38,69008.0,69008.0
2010-04-01,5029.734,49070.0,49070.0
2010-05-01,4509.183,43992.0,43992.0
2010-06-01,2472.603,24123.0,24123.0
2010-07-01,1433.75,13988.0,13988.0
2010-08-01,1302.4160000000002,12706.0,12706.0
2010-09-01,852.2040000000001,8314.0,8314.0
2010-10-01,4457.215,43485.0,43485.0
2010-11-01,3886.454,37916.0,37916.0
2010-12-01,5433.572,53010.0,53010.0
2011-01-01,2367.281,23001.0,23001.0
2011-02-01,4133.968,40166.0,40166.0
2011-03-01,9802.366,95240.0,95240.0
2011-04-01,9298.435,90344.0,90344.0
2011-05-01,9049.944,87929.0,87929.0
2011-06-01,4645.359,45134.0,45134.0
2011-07-01,2121.159,20609.0,20609.0
2011-08-01,2583.882,25105.0,25105.0
2011-09-01,5371.591,52190.0,52190.0
2011-10-01,7577.405,73622.0,73622.0
2011-11-01,5953.486,57844.0,57844.0
2011-12-01,7774.124,75533.0,75533.0
2012-01-01,6900.64,65666.0,65666.0
2012-02-01,5148.835,48996.0,48996.0
2012-03-01,5868.982,55849.0,55849.0
