measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Kerosene - Combined Cycle Combustion Turbine Part - Waste Oil - Generation,Kerosene - Combined Cycle Combustion Turbine Part - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combined Cycle Combustion Turbine Part - Waste Oil - Total Fuel Consumed,Kerosene - Combined Cycle Steam Part - Waste Oil - Generation,Kerosene - Combined Cycle Steam Part - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combined Cycle Steam Part - Waste Oil - Total Fuel Consumed,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed",Residual Fuel Oil - Combined Cycle Combustion Turbine Part - Residual Fuel Oil - Generation,Residual Fuel Oil - Combined Cycle Combustion Turbine Part - Residual Fuel Oil - Quantity Consumed For Electricity,Residual Fuel Oil - Combined Cycle Combustion Turbine Part - Residual Fuel Oil - Total Fuel Consumed,Residual Fuel Oil - Combined Cycle Steam Part - Residual Fuel Oil - Generation,Residual Fuel Oil - Combined Cycle Steam Part - Residual Fuel Oil - Quantity Consumed For Electricity,Residual Fuel Oil - Combined Cycle Steam Part - Residual Fuel Oil - Total Fuel Consumed
2003-01-01,,,,,,,,,,784.009,6865.0,10487.0,,,,8326.821,75168.0,114827.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,677.206,5930.0,9059.0
2003-02-01,,,,,,,,,,708.041,6200.0,9471.0,,,,7519.986000000001,67884.0,103701.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,611.5880000000001,5355.0,8181.0
2003-03-01,,,,,,,,,,726.441,6361.0,9717.0,,,,7715.411,69648.0,106395.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,627.481,5494.0,8393.0
2003-04-01,,,,,,,,,,655.664,5741.0,8770.0,,,,6963.6990000000005,62863.0,96029.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,566.346,4959.0,7576.0
2003-05-01,,,,,,,,,,663.326,5808.0,8873.0,,,,7045.067,63597.0,97151.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,572.964,5017.0,7664.0
2003-06-01,,,,,,,,,,735.748,6443.0,9842.0,,,,7814.251,70541.0,107758.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,635.52,5565.0,8501.0
2003-07-01,,,,,,,,,,855.335,7490.0,11441.0,,,,9084.367,82006.0,125273.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,738.816,6469.0,9883.0
2003-08-01,,,,,,,,,,868.322,7603.0,11615.0,,,,9222.305,83251.0,127176.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,750.035,6568.0,10033.0
2003-09-01,,,,,,,,,,732.0310000000001,6410.0,9792.0,,,,7774.777,70184.0,107214.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,632.31,5537.0,8458.0
2003-10-01,,,,,,,,,,701.48,6143.0,9383.0,,,,7450.294000000001,67255.0,102740.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,605.92,5306.0,8105.0
2003-11-01,,,,,,,,,,689.001,6033.0,9216.0,,,,7317.761,66059.0,100912.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,595.1410000000001,5211.0,7961.0
2003-12-01,,,,,,,,,,777.6020000000001,6809.0,10402.0,,,,8258.78,74553.0,113889.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,671.673,5881.0,8985.0
2004-01-01,21.75303,255.06,312.01,0.0,0.0,0.0,0.0,0.0,43.59,158.08656,1853.58,2267.48,0.0,0.0,0.0,7156.41199,83909.55,102646.54,0.0,0.0,0.0,,,,242.92442,2848.31,3484.34,0.0,0.0,0.0
2004-02-01,1.99169,23.35,28.46,0.0,0.0,0.0,0.0,0.0,28.4,158.68416,1860.59,2267.48,0.0,0.0,0.0,7457.20742,87436.4,106558.13,0.0,0.0,0.0,,,,243.84273,2859.08,3484.34,0.0,0.0,0.0
