measured_on,"Wind-Wind Turbine, Onshore Generation","Wind-Wind Turbine, Onshore Quantity Consumed For Electricity","Wind-Wind Turbine, Onshore Total Fuel Consumed"
2010-01-01,10034.0,97892.0,97892.0
2010-02-01,5860.0,57170.0,57170.0
2010-03-01,14145.0,137999.0,137999.0
2010-04-01,20903.0,203930.0,203930.0
2010-05-01,13385.0,130584.0,130584.0
2010-06-01,17222.0,168018.0,168018.0
2010-07-01,13506.0,131765.0,131765.0
2010-08-01,14541.0,141862.0,141862.0
2010-09-01,9823.0,95833.0,95833.0
2010-10-01,12755.0,124438.0,124438.0
2010-11-01,12849.0,125355.0,125355.0
2010-12-01,13225.0,129023.0,129023.0
2011-01-01,17224.0,167348.0,167348.0
2011-02-01,15458.0,150190.0,150190.0
2011-03-01,20491.0,199091.0,199091.0
2011-04-01,21177.0,205756.0,205756.0
2011-05-01,13828.0,134353.0,134353.0
2011-06-01,15252.0,148188.0,148188.0
2011-07-01,12674.0,123141.0,123141.0
2011-08-01,15261.0,148276.0,148276.0
2011-09-01,7419.0,72083.0,72083.0
2011-10-01,13275.0,128980.0,128980.0
2011-11-01,18634.0,181048.0,181048.0
2011-12-01,7831.0,76086.0,76086.0
2012-01-01,15486.0,147365.0,147365.0
2012-02-01,14217.0,135289.0,135289.0
2012-03-01,20327.0,193432.0,193432.0
2012-04-01,13921.0,132472.0,132472.0
2012-05-01,13412.0,127629.0,127629.0
2012-06-01,15555.0,148021.0,148021.0
2012-07-01,11664.0,110995.0,110995.0
2012-08-01,10172.0,96797.0,96797.0
2012-09-01,6504.0,61892.0,61892.0
2012-10-01,12309.0,117132.0,117132.0
2012-11-01,4194.0,39910.0,39910.0
2012-12-01,15917.0,151466.0,151466.0
2013-01-01,11235.0,107193.0,107193.0
2013-02-01,17051.0,162684.0,162684.0
2013-03-01,14121.0,134728.0,134728.0
2013-04-01,14744.0,140673.0,140673.0
2013-05-01,13559.0,129366.0,129366.0
2013-06-01,11411.0,108872.0,108872.0
2013-07-01,13508.0,128880.0,128880.0
2013-08-01,10810.0,103138.0,103138.0
2013-09-01,14727.0,140510.0,140510.0
2013-10-01,7470.0,71271.0,71271.0
2013-11-01,10859.0,103606.0,103606.0
2013-12-01,10640.0,101516.0,101516.0
2014-01-01,10042.0,95499.0,95499.0
2014-02-01,12529.0,119151.0,119151.0
2014-03-01,18935.0,180072.0,180072.0
2014-04-01,17089.0,162516.0,162516.0
2014-05-01,15763.0,149906.0,149906.0
2014-06-01,16702.0,158836.0,158836.0
2014-07-01,12014.0,114253.0,114253.0
2014-08-01,11149.0,106027.0,106027.0
2014-09-01,9689.0,92142.0,92142.0
2014-10-01,11763.0,111866.0,111866.0
2014-11-01,14893.0,141632.0,141632.0
2014-12-01,11340.0,107843.0,107843.0
2015-01-01,5397.0,50295.0,50295.0
2015-02-01,8971.0,83601.0,83601.0
2015-03-01,9841.0,91708.0,91708.0
2015-04-01,12227.0,113943.0,113943.0
2015-05-01,10813.0,100766.0,100766.0
2015-06-01,9621.0,89658.0,89658.0
2015-07-01,14955.0,139366.0,139366.0
2015-08-01,13647.0,127176.0,127176.0
2015-09-01,10520.0,98036.0,98036.0
2015-10-01,9711.0,90497.0,90497.0
2015-11-01,14584.0,135908.0,135908.0
2015-12-01,19102.0,178012.0,178012.0
2016-01-01,10119.0,93419.0,93419.0
2016-02-01,14211.0,131196.0,131196.0
2016-03-01,18692.0,172565.0,172565.0
2016-04-01,15084.0,139255.0,139255.0
2016-05-01,16818.0,155264.0,155264.0
2016-06-01,14122.0,130374.0,130374.0
2016-07-01,13061.0,120579.0,120579.0
2016-08-01,12157.0,112233.0,112233.0
2016-09-01,12715.0,117385.0,117385.0
2016-10-01,14509.0,133947.0,133947.0
2016-11-01,15816.0,146013.0,146013.0
2016-12-01,15943.0,147186.0,147186.0
2017-01-01,5047.567,46503.0,46503.0
2017-02-01,7500.292,69100.0,69100.0
2017-03-01,11172.574,102933.0,102933.0
2017-04-01,14315.079,131885.0,131885.0
2017-05-01,11370.054,104752.0,104752.0
2017-06-01,14885.358,137139.0,137139.0
2017-07-01,16284.179,150026.0,150026.0
2017-08-01,12056.221,111074.0,111074.0
2017-09-01,9918.518,91379.0,91379.0
2017-10-01,11625.719,107108.0,107108.0
2017-11-01,8242.305,75936.0,75936.0
2017-12-01,4962.134,45716.0,45716.0
2018-01-01,8234.877,74970.0,74970.0
2018-02-01,17259.323,157129.0,157129.0
2018-03-01,14507.236,132074.0,132074.0
2018-04-01,16638.481,151477.0,151477.0
2018-05-01,17742.234,161525.0,161525.0
2018-06-01,19343.845,176106.0,176106.0
2018-07-01,17314.365,157630.0,157630.0
2018-08-01,18389.506,167418.0,167418.0
2018-09-01,12138.614,110510.0,110510.0
2018-10-01,8275.381,75339.0,75339.0
2018-11-01,10291.415,93693.0,93693.0
2018-12-01,9072.723,82598.0,82598.0
2019-01-01,5685.96,50633.0,50633.0
2019-02-01,7497.965,66769.0,66769.0
2019-03-01,7327.417,65251.0,65251.0
2019-04-01,14586.0,129888.0,129888.0
2019-05-01,14908.564,132761.0,132761.0
2019-06-01,18101.205,161191.0,161191.0
2019-07-01,17291.301,153979.0,153979.0
2019-08-01,14505.495,129171.0,129171.0
2019-09-01,12656.761,112708.0,112708.0
2019-10-01,9730.965,86654.0,86654.0
2019-11-01,6027.328,53673.0,53673.0
2019-12-01,4703.039,41881.0,41881.0
2020-01-01,13690.17,120022.0,120022.0
2020-02-01,20275.751,177758.0,177758.0
2020-03-01,16223.537,142232.0,142232.0
2020-04-01,18056.102,158298.0,158298.0
2020-05-01,15961.957,139938.0,139938.0
2020-06-01,18496.907,162162.0,162162.0
2020-07-01,22742.471,199383.0,199383.0
2020-08-01,20515.459,179859.0,179859.0
2020-09-01,8845.295,77547.0,77547.0
2020-10-01,15393.978,134959.0,134959.0
2020-11-01,11115.412,97449.0,97449.0
2020-12-01,8299.961,72766.0,72766.0
2021-01-01,5585.943,49402.0,49402.0
2021-02-01,16253.512,143746.0,143746.0
2021-03-01,12700.868,112326.0,112326.0
2021-04-01,14396.976,127327.0,127327.0
2021-05-01,15580.966,137798.0,137798.0
2021-06-01,13388.318,118406.0,118406.0
2021-07-01,17811.601,157526.0,157526.0
2021-08-01,15557.477,137590.0,137590.0
2021-09-01,7336.183,64881.0,64881.0
2021-10-01,10520.479,93043.0,93043.0
2021-11-01,7283.805,64418.0,64418.0
2021-12-01,9618.872,85069.0,85069.0
2022-01-01,5474.438,18679.0,18679.0
2022-02-01,11489.951,39204.0,39204.0
2022-03-01,11201.019,38218.0,38218.0
2022-04-01,13889.202,47390.0,47390.0
2022-05-01,16128.379,55030.0,55030.0
2022-06-01,11275.345,38471.0,38471.0
2022-07-01,14650.67,49988.0,49988.0
2022-08-01,14989.428,51144.0,51144.0
2022-09-01,11706.354,39942.0,39942.0
2022-10-01,9895.635,33764.0,33764.0
2022-11-01,8890.966,30336.0,30336.0
2022-12-01,6811.613,23241.0,23241.0
2023-01-01,11200.0,38214.0,38214.0
2023-02-01,16523.0,56376.0,56376.0
2023-03-01,17660.0,60256.0,60256.0
2023-04-01,15546.0,53043.0,53043.0
2023-05-01,12724.0,43414.0,43414.0
2023-06-01,13190.0,45004.0,45004.0
2023-07-01,12045.0,41098.0,41098.0
2023-08-01,12014.0,40992.0,40992.0
2023-09-01,10681.0,36444.0,36444.0
2023-10-01,5847.0,19950.0,19950.0
2023-11-01,8427.0,28753.0,28753.0
2023-12-01,10215.0,34854.0,34854.0
2024-01-01,9688.0,33055.0,33055.0
2024-02-01,11314.0,38603.0,38603.0
2024-03-01,14721.0,50228.0,50228.0
2024-04-01,16996.0,57990.0,57990.0
2024-05-01,21690.0,74006.0,74006.0
2024-06-01,13754.0,46929.0,46929.0
2024-07-01,12171.0,41527.0,41527.0
2024-08-01,11211.0,38252.0,38252.0
2024-09-01,11885.0,40552.0,40552.0
2024-10-01,10399.0,35481.0,35481.0
2024-11-01,16687.0,56936.0,56936.0
2024-12-01,13090.0,44663.0,44663.0
