measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Residual Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Residual Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Residual Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,0.0,0.0,0.0,,,,,,,48128.0,509098.0,509098.0,0.0,0.0,0.0,,,,,,,,,,,,
2003-02-01,5113.0,48268.0,48268.0,,,,,,,41668.0,438256.0,438256.0,0.0,0.0,0.0,,,,,,,,,,,,
2003-03-01,0.0,0.0,0.0,,,,,,,12321.0,143648.0,143648.0,0.0,0.0,0.0,,,,,,,,,,,,
2003-04-01,0.0,0.0,0.0,,,,,,,81445.0,862610.0,862610.0,0.0,0.0,0.0,,,,,,,,,,,,
2003-05-01,0.0,0.0,0.0,,,,,,,51327.0,554301.0,554301.0,0.0,0.0,0.0,,,,,,,,,,,,
2003-06-01,0.0,0.0,0.0,,,,,,,23302.0,273653.0,273653.0,0.0,0.0,0.0,,,,,,,,,,,,
2003-07-01,0.0,0.0,0.0,,,,,,,41376.0,515787.0,515787.0,0.0,0.0,0.0,,,,,,,,,,,,
2003-08-01,0.0,0.0,0.0,,,,,,,59930.0,678058.0,678058.0,0.0,0.0,0.0,,,,,,,,,,,,
2003-09-01,0.0,0.0,0.0,,,,,,,33495.0,437890.0,437890.0,0.0,0.0,0.0,,,,,,,,,,,,
2003-10-01,0.0,0.0,0.0,,,,,,,43357.0,516844.0,516844.0,0.0,0.0,0.0,,,,,,,,,,,,
2003-11-01,0.0,0.0,0.0,,,,,,,24268.0,266701.0,266701.0,0.0,0.0,0.0,,,,,,,,,,,,
2003-12-01,0.0,0.0,0.0,,,,,,,4677.0,72792.0,72792.0,0.0,0.0,0.0,,,,,,,,,,,,
2004-01-01,0.0,0.0,0.0,,,,,,,12859.0,184729.0,184729.0,0.0,0.0,0.0,,,,,,,,,,,,
2004-02-01,0.0,0.0,0.0,,,,,,,7038.0,95164.0,95164.0,0.0,0.0,0.0,,,,,,,,,,,,
2004-03-01,0.0,0.0,0.0,,,,,,,5899.0,70393.0,70393.0,0.0,0.0,0.0,,,,,,,,,,,,
2004-04-01,0.0,0.0,0.0,,,,,,,4444.0,57337.0,57337.0,0.0,0.0,0.0,,,,,,,,,,,,
