measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,27.857000000000003,253.0,298.0,338.701,3095.0,3649.0
2001-02-01,23.811,216.0,255.0,289.51,2646.0,3119.0
2001-03-01,26.263,238.0,281.0,319.319,2918.0,3440.0
2001-04-01,24.282,220.0,260.0,295.237,2698.0,3181.0
2001-05-01,25.289,230.0,271.0,307.476,2810.0,3313.0
2001-06-01,28.889000000000003,262.0,310.0,351.249,3210.0,3784.0
2001-07-01,33.928000000000004,308.0,364.0,412.517,3770.0,4444.0
2001-08-01,35.783,325.0,383.0,435.074,3976.0,4687.0
2001-09-01,31.114,282.0,333.0,378.295,3457.0,4076.0
2001-10-01,29.562,268.0,317.0,359.432,3285.0,3873.0
2001-11-01,29.149,265.0,312.0,354.41200000000003,3239.0,3818.0
2001-12-01,31.071,282.0,333.0,377.778,3452.0,4070.0
2002-01-01,21.047,222.0,222.0,228.415,2408.0,2408.0
2002-02-01,19.039,201.0,201.0,206.61800000000002,2178.0,2178.0
2002-03-01,19.95,210.0,210.0,216.506,2282.0,2283.0
2002-04-01,20.216,213.0,213.0,219.39600000000002,2313.0,2313.0
2002-05-01,22.117,233.0,233.0,240.026,2530.0,2531.0
2002-06-01,25.231,266.0,266.0,273.81800000000004,2887.0,2887.0
2002-07-01,27.125,286.0,286.0,294.368,3103.0,3103.0
2002-08-01,28.219,297.0,297.0,306.24100000000004,3228.0,3229.0
2002-09-01,24.216,255.0,255.0,262.797,2770.0,2771.0
2002-10-01,21.708000000000002,229.0,229.0,235.58700000000002,2484.0,2484.0
2002-11-01,20.576,217.0,217.0,223.297,2354.0,2354.0
2002-12-01,21.556,227.0,227.0,233.93,2466.0,2466.0
2003-01-01,37.785,355.0,355.0,354.851,3332.0,3332.0
2003-02-01,33.31,313.0,313.0,312.817,2937.0,2937.0
2003-03-01,33.08,311.0,311.0,310.665,2917.0,2917.0
2003-04-01,33.363,313.0,313.0,313.314,2942.0,2942.0
2003-05-01,39.698,373.0,373.0,372.808,3500.0,3501.0
2003-06-01,41.444,389.0,389.0,389.213,3654.0,3655.0
2003-07-01,45.214,425.0,425.0,424.612,3987.0,3987.0
2003-08-01,47.792,449.0,449.0,448.82300000000004,4214.0,4214.0
2003-09-01,39.236000000000004,369.0,369.0,368.478,3460.0,3460.0
2003-10-01,35.568000000000005,334.0,334.0,334.029,3136.0,3136.0
2003-11-01,33.678000000000004,316.0,316.0,316.28,2970.0,2970.0
2003-12-01,34.832,327.0,327.0,327.111,3071.0,3072.0
2004-01-01,32.07422,301.14,372.06,343.03778,3220.74,3979.25
2004-02-01,54.90157,515.46,636.86,401.38543,3768.56,4656.11
2004-03-01,25.62842,240.62,297.29,333.90658,3135.01,3873.32
2004-04-01,14.35606,134.79,166.53,174.44594,1637.85,2023.59
2004-05-01,30.27852,284.28,351.23,364.52948,3422.51,4228.53
2004-06-01,35.13657,329.89,407.59,420.17243,3944.94,4874.05
2004-07-01,34.28176,321.87,397.67,395.34424,3711.82,4585.99
2004-08-01,35.37159,332.1,410.32,365.46341,3431.28,4239.43
2004-09-01,38.616189999999996,362.56,447.95,420.89681,3951.75,4882.43
2004-10-01,31.58793,296.57,366.42,426.10307,4000.62,4942.8
2004-11-01,29.82408,280.01,345.96,401.81592,3772.59,4661.07
2004-12-01,24.36697,228.78,282.66,267.53503,2511.85,3103.42
2005-01-01,68.51329,643.26,817.72,386.57871,3629.53,4613.88
2005-02-01,16.71663,156.95,199.52,348.92737,3276.03,4164.51
2005-03-01,23.89034,224.3,285.14,376.55966,3535.47,4494.35
2005-04-01,19.6205,184.21,234.17,378.3715,3552.47,4515.93
2005-05-01,20.29053,190.5,242.17,415.56647,3901.69,4959.88
2005-06-01,17.74519,166.61,211.79,533.77281,5011.51,6370.67
2005-07-01,51.77565,486.11,617.95,683.50335,6417.32,8157.77
2005-08-01,62.668969999999995,588.39,747.97,708.32703,6650.39,8454.04
2005-09-01,51.73947,485.77,617.52,534.23153,5015.82,6376.15
2005-10-01,21.81769,204.84,260.4,414.66431,3893.23,4949.13
2005-11-01,21.864549999999998,205.28,260.96,369.98145,3473.7,4415.81
2005-12-01,49.31852,463.04,588.63,422.13648,3963.38,5038.3
2006-01-01,6.68297,62.75,278.38,357.97203,3360.95,14911.38
2006-02-01,8.091009999999999,75.97,337.03,315.61499,2963.27,13146.98
2006-03-01,6.83627,64.18,284.77,349.58573,3282.22,14562.06
2006-04-01,5.26451,49.43,219.29,333.08649,3127.3,13874.76
2006-05-01,9.30257,87.34,387.5,388.23942999999997,3645.12,16172.18
2006-06-01,8.75188,82.17,364.56,411.51612,3863.67,17141.73
2006-07-01,9.24303,86.78,385.02,463.34797,4350.31,19300.83
2006-08-01,14.54327,136.54,605.8,478.66673000000003,4494.14,19938.93
2006-09-01,9.48711,89.07,395.19,389.74689,3659.28,16235.01
2006-10-01,5.0606,47.51,210.8,408.5674,3835.98,17018.95
2006-11-01,4.0946299999999995,38.44,170.56,345.12437,3240.32,14376.19
2006-12-01,7.753139999999999,72.79,322.96,387.01886,3633.66,16121.31
2007-01-01,-75.866,1089.0,1089.0,-1150.66,16500.0,16500.0
2007-02-01,-17.04,243.0,243.0,-977.692,14019.0,14019.0
