measured_on,Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2019-03-01,85.151,758.0,758.0
2019-04-01,104.883,934.0,934.0
2019-05-01,130.948,1166.0,1166.0
2019-06-01,149.784,1334.0,1334.0
2019-07-01,148.21,1320.0,1320.0
2019-08-01,140.056,1247.0,1247.0
2019-09-01,93.365,831.0,831.0
2019-10-01,70.462,627.0,627.0
2019-11-01,42.893,382.0,382.0
2019-12-01,37.248,332.0,332.0
2020-01-01,52.633,461.0,461.0
2020-02-01,116.72,1023.0,1023.0
2020-03-01,141.615,1242.0,1242.0
2020-04-01,187.226,1641.0,1641.0
2020-05-01,194.753,1707.0,1707.0
2020-06-01,211.091,1851.0,1851.0
2020-07-01,203.549,1785.0,1785.0
2020-08-01,201.553,1767.0,1767.0
2020-09-01,142.13,1246.0,1246.0
2020-10-01,106.365,933.0,933.0
2020-11-01,81.401,714.0,714.0
2020-12-01,50.964,447.0,447.0
2021-01-01,54.535,482.0,482.0
2021-02-01,81.71,723.0,723.0
2021-03-01,140.039,1239.0,1239.0
2021-04-01,126.564,1119.0,1119.0
2021-05-01,160.685,1421.0,1421.0
2021-06-01,199.688,1766.0,1766.0
2021-07-01,181.318,1604.0,1604.0
2021-08-01,166.934,1476.0,1476.0
2021-09-01,142.182,1257.0,1257.0
2021-10-01,95.376,844.0,844.0
2021-11-01,58.634,519.0,519.0
2021-12-01,37.335,330.0,330.0
2022-01-01,67.529,230.0,230.0
2022-02-01,101.599,347.0,347.0
2022-03-01,133.517,456.0,456.0
2022-04-01,113.085,386.0,386.0
2022-05-01,167.016,570.0,570.0
2022-06-01,209.412,715.0,715.0
2022-07-01,203.586,695.0,695.0
2022-08-01,179.97,614.0,614.0
2022-09-01,168.889,576.0,576.0
2022-10-01,112.617,384.0,384.0
2022-11-01,60.694,207.0,207.0
2022-12-01,29.086,99.0,99.0
2023-01-01,12.0,41.0,41.0
2023-02-01,94.0,321.0,321.0
2023-03-01,145.0,495.0,495.0
2023-04-01,134.0,457.0,457.0
2023-05-01,205.0,699.0,699.0
2023-06-01,177.0,604.0,604.0
2023-07-01,202.0,689.0,689.0
2023-08-01,48.0,164.0,164.0
2023-09-01,52.0,177.0,177.0
2023-10-01,116.0,396.0,396.0
2023-11-01,84.0,287.0,287.0
2023-12-01,42.0,143.0,143.0
2024-01-01,50.0,171.0,171.0
2024-02-01,111.0,379.0,379.0
2024-03-01,170.0,580.0,580.0
2024-04-01,151.0,515.0,515.0
2024-05-01,187.0,638.0,638.0
2024-06-01,132.0,450.0,450.0
2024-07-01,173.0,590.0,590.0
2024-08-01,172.0,587.0,587.0
2024-09-01,184.0,628.0,628.0
2024-10-01,140.0,478.0,478.0
2024-11-01,69.0,235.0,235.0
2024-12-01,35.0,119.0,119.0
