measured_on,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,,,,0.0,0.0,0.0
2003-02-01,,,,0.0,0.0,0.0
2003-03-01,,,,0.0,0.0,0.0
2003-04-01,,,,0.0,0.0,0.0
2003-05-01,,,,0.0,0.0,0.0
2003-06-01,,,,0.0,0.0,0.0
2003-07-01,,,,0.0,0.0,0.0
2003-08-01,,,,0.0,0.0,0.0
2003-09-01,,,,9375.0,103275.0,103275.0
2003-10-01,,,,9519.0,104861.0,104861.0
2003-11-01,,,,7331.0,80757.0,80757.0
2003-12-01,,,,6508.0,71691.0,71691.0
2004-01-01,,,,0.0,0.0,0.0
2004-02-01,,,,5721.0,63022.0,63022.0
2004-03-01,,,,6151.0,67759.0,67759.0
2004-04-01,,,,14.0,153.0,153.0
2004-05-01,,,,14.0,154.0,154.0
2004-06-01,,,,6102.0,67219.0,67219.0
2004-07-01,,,,6129.0,67517.0,67517.0
2004-08-01,,,,6182.0,68100.0,68100.0
2004-09-01,,,,2914.0,32099.0,32099.0
2004-10-01,,,,5552.0,61158.0,61158.0
2004-11-01,,,,5936.0,65388.0,65388.0
2004-12-01,,,,6423.0,70752.0,70752.0
2005-01-01,,,,6299.0,69385.5,69385.5
2005-02-01,,,,5615.0,61850.76,61850.76
2005-03-01,,,,6209.0,68393.04,68393.04
2005-04-01,,,,5997.0,66057.24,66057.24
2005-05-01,,,,6355.0,70000.56,70000.56
2005-06-01,,,,6171.0,67972.8,67972.8
2005-07-01,,,,5043.0,55547.16,55547.16
2005-08-01,,,,5825.0,64160.04,64160.04
2005-09-01,,,,3959.0,43606.02,43606.02
2005-10-01,,,,1980.0,21807.6,21807.6
2005-11-01,,,,3386.0,37292.22,37292.22
2005-12-01,,,,3522.0,38789.58,38789.58
2006-01-01,,,,3687.0,40606.0,40606.0
2006-02-01,,,,3035.0,33425.0,33425.0
2006-03-01,,,,3336.0,36740.0,36740.0
2006-04-01,,,,3182.0,35044.0,35044.0
2006-05-01,,,,3134.0,34515.0,34515.0
2006-06-01,,,,3908.0,43461.0,43461.0
2006-07-01,,,,3965.0,43666.0,43666.0
2006-08-01,,,,3081.0,33930.0,33930.0
2006-09-01,,,,3002.0,33060.0,33060.0
2006-10-01,,,,2900.0,31936.0,31936.0
2006-11-01,,,,3388.0,37310.0,37310.0
2006-12-01,,,,3466.0,38168.0,38168.0
2007-01-01,,,,4084.0,44974.0,44974.0
2007-02-01,,,,3261.0,35910.0,35910.0
2007-03-01,,,,3153.0,34721.0,34721.0
2007-04-01,,,,3178.0,34996.0,34996.0
2007-05-01,,,,3163.0,40978.0,40978.0
2007-06-01,,,,5353.0,58947.0,58947.0
2007-07-01,,,,6176.0,68010.0,68010.0
2007-08-01,,,,5845.0,60788.0,60788.0
2007-09-01,,,,5652.0,58781.0,58781.0
2007-10-01,,,,3050.0,31720.0,31720.0
2007-11-01,,,,3659.0,37322.0,37322.0
2007-12-01,,,,3263.0,0.0,0.0
2008-01-01,3114.014,66747.0,66747.0,0.0,0.0,0.0
2008-02-01,2896.292,62081.0,62081.0,0.0,0.0,0.0
2008-03-01,3437.7250000000004,73686.0,73686.0,0.0,0.0,0.0
2008-04-01,3736.252,80085.0,80085.0,0.0,0.0,0.0
2008-05-01,4250.7300000000005,91113.0,91113.0,0.0,0.0,0.0
2008-06-01,4626.303,99162.0,99162.0,0.0,0.0,0.0
2008-07-01,4541.46,97345.0,97345.0,0.0,0.0,0.0
2008-08-01,5099.894,109314.0,109314.0,0.0,0.0,0.0
