measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,2358.0,13930.0,,,,0.0,1301.0,7682.0,0.0,10775.0,63645.0
2003-02-01,0.0,2073.0,12245.0,,,,0.0,1143.0,6752.0,0.0,9472.0,55946.0
2003-03-01,0.0,2071.0,12232.0,,,,0.0,1142.0,6745.0,0.0,9462.0,55886.0
2003-04-01,0.0,1755.0,10367.0,,,,0.0,968.0,5717.0,0.0,8019.0,47365.0
2003-05-01,0.0,1911.0,11288.0,,,,0.0,1054.0,6225.0,0.0,8732.0,51574.0
2003-06-01,0.0,2052.0,12121.0,,,,0.0,1132.0,6684.0,0.0,9376.0,55381.0
2003-07-01,0.0,2302.0,13598.0,,,,0.0,1270.0,7499.0,0.0,10519.0,62129.0
2003-08-01,0.0,2473.0,14605.0,,,,0.0,1364.0,8054.0,0.0,11298.0,66729.0
2003-09-01,0.0,2109.0,12454.0,,,,0.0,1163.0,6868.0,0.0,9634.0,56900.0
2003-10-01,0.0,2259.0,13345.0,,,,0.0,1246.0,7359.0,0.0,10323.0,60971.0
2003-11-01,0.0,2167.0,12802.0,,,,0.0,1195.0,7060.0,0.0,9903.0,58491.0
2003-12-01,0.0,2277.0,13448.0,,,,0.0,1256.0,7416.0,0.0,10402.0,61442.0
2004-01-01,0.0,0.0,22881.45,0.0,0.0,0.0,0.0,0.0,46765.4,0.0,0.0,100750.0
2004-02-01,0.0,0.0,29476.54,0.0,0.0,23424.0,0.0,0.0,28553.4,0.0,0.0,99740.0
2004-03-01,0.0,0.0,10027.05,0.0,0.0,28992.0,0.0,0.0,6658.4,0.0,0.0,83800.0
2004-04-01,0.07239,0.85,1560.45,1.4651399999999999,17.18,31584.0,0.01749,0.21,377.0,3.29499,38.63,71030.0
2004-06-01,0.0,0.0,1191.71,0.0,0.0,928.0,0.0,0.0,29.0,0.0,0.0,5660.0
2004-07-01,2.2508,26.39,1070.17,3.36514,39.46,1600.0,5.86755,68.8,2789.8,12.76651,149.69,6070.0
2004-08-01,0.043969999999999995,0.52,2686.32,0.17895999999999998,2.1,10933.0,0.01766,0.21,1078.8,0.72941,8.55,44560.0
2004-09-01,0.02079,0.24,1482.17,0.23365999999999998,2.74,16660.0,0.037669999999999995,0.44,2685.84,0.67789,7.95,48334.0
2004-10-01,0.0,0.0,4506.25,0.0,0.0,15260.0,0.0,0.0,2708.6,0.0,0.0,66506.0
2004-11-01,0.0,0.0,2904.6,0.0,0.0,18070.0,0.0,0.0,629.37,0.0,0.0,71952.0
2004-12-01,0.0,0.0,27139.47,0.0,0.0,8346.0,0.0,0.0,20503.56,0.0,0.0,63060.0
2005-01-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-02-01,,,,0.94568,11.09,26379.0,,,,2.93432,34.41,81851.0
2005-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-05-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-06-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-07-01,,,,4.93342,57.84,1539.0,,,,35.80658,419.84,11170.0
2005-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-11-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-12-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-01-01,0.0,0.0,19939.0,0.0,0.0,26858.0,0.0,0.0,0.0,0.0,0.0,103970.0
2007-02-01,0.0,0.0,48550.0,0.0,0.0,16900.0,0.0,0.0,0.0,0.0,0.0,95800.0
2007-03-01,0.0,0.0,7713.0,0.0,0.0,19916.0,0.0,0.0,0.0,0.0,0.0,102140.0
2007-04-01,0.0,0.0,4921.0,0.0,0.0,17004.0,0.0,0.0,0.0,0.0,0.0,71200.0
2007-05-01,0.0,0.0,3174.0,0.0,0.0,9698.0,0.0,0.0,0.0,0.0,0.0,36650.0
2007-06-01,0.0,0.0,1453.0,0.0,0.0,4992.0,0.0,0.0,0.0,0.0,0.0,29390.0
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-01,0.0,0.0,6221.0,0.0,0.0,4706.0,0.0,0.0,0.0,0.0,0.0,17970.0
2007-09-01,0.0,0.0,1326.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,10230.0
2007-10-01,0.0,0.0,646.0,0.0,0.0,12192.0,0.0,0.0,0.0,0.0,0.0,60160.0
2007-11-01,0.0,0.0,18220.0,0.0,0.0,21152.0,0.0,0.0,0.0,0.0,0.0,95840.0
2007-12-01,0.0,0.0,3787.0,0.0,0.0,24050.0,0.0,0.0,0.0,0.0,0.0,112740.0
