measured_on,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2005-05-01,,,,3367.3540000000003,15578.6,281071.63,,,,,,,13270.527,61207.81,222518.83,,,
2005-06-01,,,,4316.235000000001,19968.47,360274.23,,,,,,,22577.087,104132.58,378570.27,,,
2005-07-01,,,,4815.658,22278.98,401960.97,,,,,,,29093.754,134189.48,487841.06,,,
2005-08-01,,,,4769.835,22066.99,398136.1,,,,,,,31105.576,143468.63,521575.08,,,
2005-09-01,,,,4296.886,19878.95,358659.17,,,,,,,20576.624,94905.82,345026.7,,,
2005-10-01,,,,4023.847,18615.78,335868.84,,,,,,,14229.807,65632.32,238603.94,,,
2005-11-01,,,,3951.568,18281.39,329835.83,,,,,,,12772.857,58912.4,214173.94,,,
2005-12-01,,,,4558.062,21087.25,380459.54,,,,,,,13800.237000000001,63651.0,231400.95,,,
2006-01-01,,,,5551.33,25682.47,332732.62,,,,,,,9846.707,45416.09,190018.15,0.0,0.0,0.0
2006-02-01,,,,5219.492,24147.26,312843.03,,,,,,,9818.007,45283.72,189464.31,0.0,0.0,0.0
2006-03-01,,,,5096.924,23580.22,305496.7,,,,,,,10710.916,49402.09,206695.33,0.0,0.0,0.0
2006-04-01,,,,5101.778,23602.67,305787.59,,,,,,,9005.351,41535.49,173781.96,0.0,0.0,0.0
2006-05-01,,,,5365.527,24822.87,321596.11,,,,,,,8735.815,40292.31,168580.57,0.0,0.0,0.0
2006-06-01,,,,5488.799,25393.17,328984.57,,,,,,,11174.792,51541.63,215647.05,0.0,0.0,0.0
2006-07-01,,,,5763.967000000001,26666.2,345477.45,,,,,,,16734.956,77186.84,322945.04,0.0,0.0,0.0
2006-08-01,,,,5761.443,26654.53,345326.22,,,,,,,15755.511,72669.34,304044.09,0.0,0.0,0.0
2006-09-01,,,,5203.19,24071.84,311866.1,,,,,,,11175.385,51544.37,215658.49,0.0,0.0,0.0
2006-10-01,,,,5094.225,23567.73,305334.88,,,,,,,12463.305,57484.66,240512.3,0.0,0.0,0.0
2006-11-01,,,,5164.65,23893.54,309556.11,,,,,,,10720.108,49444.49,206872.72,0.0,0.0,0.0
2006-12-01,,,,5504.768,25467.05,329941.75,,,,,,,10475.066,48314.28,202143.99,0.0,0.0,0.0
2007-01-01,,,,2931.0370000000003,13025.0,350795.0,7069.6720000000005,80406.0,119204.0,,,,,,,4049.963,17993.0,484711.0
2007-02-01,,,,1880.155,8359.0,229173.0,13656.368,155318.0,230265.0,,,,,,,4296.845,19090.0,523745.0
2007-03-01,,,,673.844,2989.0,77833.0,8660.853000000001,98503.0,146034.0,,,,,,,6377.156,28332.0,736598.0
2007-04-01,,,,1067.074,4739.0,143540.0,9272.712000000001,105462.0,156351.0,,,,,,,4221.926,18757.0,567923.0
2007-05-01,,,,1408.278,6245.0,140162.0,13703.722,155857.0,231064.0,,,,,,,6540.722000000001,29058.0,650982.0
2007-06-01,,,,1484.029,6585.0,145606.0,16475.776,187384.0,277804.0,,,,,,,5926.9710000000005,26332.0,581525.0
2007-07-01,,,,1446.604,6415.0,152045.0,19825.201,225479.0,334280.0,,,,,,,5201.396000000001,23108.0,546692.0
2007-08-01,,,,2323.2360000000003,10328.0,231603.0,45844.618,521406.0,773004.0,,,,,,,4922.764,21870.0,490750.0
2007-09-01,,,,1125.288,5006.0,102813.0,16019.516,182195.0,270111.0,,,,,,,6824.712,30320.0,623548.0
2007-10-01,,,,1239.851,5516.0,135521.0,14804.618,168378.0,249626.0,,,,,,,4684.149,20810.0,511998.0
2007-11-01,,,,2058.266,9137.0,302195.0,6470.4130000000005,73590.0,109100.0,,,,,,,4051.7340000000004,18001.0,594876.0
2007-12-01,,,,1272.796,5662.0,156954.0,7424.531,84442.0,125188.0,,,,,,,4810.204000000001,21370.0,593166.0
2008-01-01,,,,1410.646,6267.0,183072.0,,,,,,,16600.938000000002,75037.0,275865.0,4811.354,21375.0,624412.0
2008-02-01,,,,1141.9460000000001,5073.0,164904.0,,,,,,,13188.353,59612.0,219156.0,4546.054,20197.0,656478.0
2008-03-01,,,,985.505,4378.0,113040.0,,,,,,,9577.144,43289.0,159147.0,5706.495,25352.0,654550.0
2008-04-01,,,,1251.7340000000002,5561.0,158208.0,,,,,,,7325.094,33110.0,121724.0,3824.266,16990.0,483353.0
2008-05-01,,,,1705.6860000000001,7578.0,179088.0,,,,,,,6110.3060000000005,27619.0,101538.0,4716.314,20953.0,495188.0
2008-06-01,,,,1127.794,5010.0,119664.0,,,,,,,22555.971,101954.0,374822.0,4636.206,20597.0,491922.0
2008-07-01,,,,1452.588,6453.0,177408.0,,,,,,,38840.432,175561.0,645428.0,3746.4120000000003,16644.0,457558.0
2008-08-01,,,,1467.135,6518.0,166968.0,,,,,,,24270.255,109703.0,403309.0,3893.8650000000002,17299.0,443143.0
2008-09-01,,,,1030.165,4577.0,110784.0,,,,,,,14132.921,63882.0,234853.0,5624.835,24989.0,604895.0
2008-10-01,,,,1265.242,5621.0,136344.0,,,,,,,7324.07,33105.0,121707.0,4106.758,18245.0,442549.0
2008-11-01,,,,957.9010000000001,4256.0,111120.0,,,,,,,7313.587,33058.0,121533.0,5139.099,22831.0,596154.0
2008-12-01,,,,1394.3870000000002,6195.0,158448.0,,,,,,,15936.929,72036.0,264831.0,3530.6130000000003,15685.0,401193.0
2009-01-01,,,,1367.692,6076.0,162000.0,20131.325,228960.0,338879.0,,,,0.0,0.0,0.0,3925.308,17439.0,464944.0
2009-02-01,,,,1332.275,5919.0,147312.0,11577.825,131678.0,194894.0,,,,0.0,0.0,0.0,3839.7250000000004,17059.0,424565.0
2009-03-01,,,,858.321,3813.0,91464.0,14182.616,161304.0,238742.0,,,,0.0,0.0,0.0,5019.679,22301.0,534905.0
2009-04-01,,,,1062.016,4718.0,145032.0,13923.73,158359.0,234384.0,,,,0.0,0.0,0.0,2996.984,13315.0,409277.0
2009-05-01,,,,831.356,3693.0,119304.0,12260.998,139448.0,206394.0,,,,0.0,0.0,0.0,3551.6440000000002,15779.0,509680.0
2009-06-01,,,,1161.54,5160.0,162288.0,24857.193,282709.0,418431.0,,,,0.0,0.0,0.0,2844.46,12637.0,397422.0
2009-07-01,,,,968.629,4303.0,142608.0,15217.521,173074.0,256163.0,,,,0.0,0.0,0.0,3059.371,13592.0,450421.0
2009-08-01,,,,853.331,3791.0,111240.0,26856.738,305451.0,452090.0,,,,0.0,0.0,0.0,3441.6690000000003,15290.0,448655.0
2009-09-01,,,,17.587,78.0,2136.0,16862.405,191782.0,283852.0,,,,0.0,0.0,0.0,5066.4130000000005,22509.0,615329.0
2009-10-01,,,,707.147,3142.0,81216.0,5605.106000000001,63749.0,94353.0,,,,0.0,0.0,0.0,3825.853,16997.0,439400.0
2009-11-01,,,,663.697,2949.0,100752.0,4207.717000000001,47856.0,70830.0,,,,0.0,0.0,0.0,3441.3030000000003,15289.0,522404.0
2009-12-01,,,,441.93100000000004,1963.0,109368.0,4904.826,55784.0,82565.0,,,,0.0,0.0,0.0,2352.069,10450.0,582084.0
2010-01-01,,,,356.67400000000004,1585.0,98256.0,,,,,,,10348.454,46776.0,155734.0,2018.326,8967.0,556005.0
2010-02-01,,,,448.92400000000004,1994.0,118634.0,,,,,,,6900.803,31192.0,103850.0,1639.076,7282.0,433147.0
2010-03-01,,,,404.132,1795.0,118427.0,,,,,,,5336.774,24123.0,80313.0,1809.8680000000002,8041.0,530364.0
2010-04-01,,,,459.57300000000004,2042.0,132917.0,,,,,,,5166.534000000001,23353.0,77751.0,1753.4270000000001,7790.0,507124.0
2010-05-01,,,,1017.3520000000001,4520.0,123165.0,,,,,,,13190.69,59623.0,198506.0,3832.648,17027.0,463997.0
2010-06-01,,,,648.424,2881.0,85997.0,,,,,,,23375.543,105659.0,351778.0,3500.576,15552.0,464263.0
2010-07-01,,,,1064.5030000000002,4729.0,115690.0,,,,,,,44715.333,202116.0,672920.0,3542.4970000000003,15738.0,384998.0
2010-08-01,,,,2130.369,9465.0,192464.0,,,,,,,48172.405,217742.0,724945.0,4090.6310000000003,18173.0,369560.0
2010-09-01,,,,995.177,4421.0,108652.0,,,,,,,10234.089,46259.0,154013.0,4229.823,18792.0,461806.0
2010-10-01,,,,609.092,2706.0,68034.0,,,,,,,3671.447,16595.0,55251.0,4196.908,18646.0,468784.0
2010-11-01,,,,0.0,0.0,0.0,,,,,,,3671.043,16593.0,55245.0,5677.0,25221.0,516516.0
2010-12-01,,,,1431.919,6362.0,143543.0,,,,,,,13200.885,59669.0,198660.0,5343.081,23738.0,535618.0
2011-01-01,,,,1405.591,6245.0,144159.0,,,,,,,11613.024,52492.0,179796.0,5409.409,24032.0,554795.0
2011-02-01,,,,1042.889,4633.0,104075.0,,,,,,,7983.081,36084.0,123596.0,4950.111,21992.0,493996.0
2011-03-01,,,,260.414,1157.0,21758.0,,,,,,,9943.651,44946.0,153950.0,6776.586,30106.0,566195.0
2011-04-01,,,,0.0,0.0,0.0,,,,,,,10109.872,45697.0,156523.0,6074.0,26985.0,557889.0
2011-05-01,,,,566.52,2517.0,54993.0,,,,,,,18367.592,83023.0,284371.0,4771.48,21198.0,463175.0
2011-06-01,,,,357.586,1589.0,52302.0,,,,,,,17300.396,78199.0,267849.0,3976.414,17666.0,581606.0
2011-07-01,,,,300.123,1333.0,78338.0,,,,,,,51330.244,232016.0,794707.0,1704.877,7574.0,445006.0
2011-08-01,,,,397.059,1764.0,49680.0,,,,,,,28472.54,128698.0,440818.0,3668.941,16300.0,459058.0
2011-09-01,,,,347.113,1542.0,47725.0,,,,,,,9785.087,44229.0,151495.0,3651.887,16224.0,502103.0
2011-10-01,,,,222.283,988.0,38088.0,,,,,,,6679.342,30191.0,103411.0,2996.717,13314.0,513484.0
2011-11-01,,,,54.734,243.0,28612.0,,,,,,,5418.354,24491.0,83888.0,998.266,4435.0,521842.0
2011-12-01,,,,2.228,10.0,2392.0,,,,,,,8162.817,36896.0,126379.0,563.772,2505.0,605276.0
2012-01-01,,,,59.473,264.0,24085.0,,,,,,,7519.213,33987.0,125147.0,1379.527,6129.0,558662.0
2012-02-01,,,,0.0,0.0,0.0,,,,,,,10182.47,46025.0,169472.0,1349.0,5993.0,656579.0
2012-03-01,,,,80.066,356.0,36729.0,,,,,,,11434.822,51686.0,190316.0,1352.934,6011.0,620634.0
2012-04-01,,,,0.0,0.0,0.0,,,,,,,13068.881,59072.0,217512.0,1343.0,6069.0,647586.0
2012-05-01,,,,38.843,173.0,18296.0,,,,,,,10307.073,46589.0,171546.0,1279.157,5683.0,602518.0
2012-06-01,,,,78.291,348.0,35344.0,,,,,,,17664.754,79846.0,294004.0,1396.709,6205.0,630535.0
2012-07-01,,,,0.0,0.0,0.0,,,,,,,28991.252,131042.0,482517.0,1338.0,5944.0,690320.0
2012-08-01,,,,0.0,0.0,0.0,,,,,,,13600.625,61476.0,226363.0,1268.0,5633.0,656295.0
2012-09-01,,,,0.0,0.0,0.0,,,,,,,9405.398,42513.0,156539.0,1165.0,5176.0,643687.0
2012-10-01,,,,0.0,0.0,0.0,,,,,,,3898.45,17621.0,64884.0,708.0,3145.0,618452.0
2012-11-01,,,,0.0,0.0,0.0,,,,,,,5590.177,25268.0,93040.0,1381.0,6135.0,617298.0
2012-12-01,,,,0.0,0.0,0.0,,,,,,,3924.885,17741.0,65324.0,1276.0,5669.0,582308.0
2013-01-01,,,,0.0,0.0,0.0,,,,,,,9769.779,44160.0,152615.0,1123.0,4989.0,524708.0
2013-02-01,,,,0.0,0.0,0.0,,,,,,,9759.711,44115.0,152457.0,1134.0,5038.0,603857.0
2013-03-01,,,,0.0,0.0,0.0,,,,,,,18213.089,82324.0,284508.0,1333.0,5922.0,677429.0
2013-04-01,,,,0.0,0.0,0.0,,,,,,,15682.066,70884.0,244971.0,2373.0,10543.0,647586.0
2013-05-01,,,,0.0,0.0,0.0,,,,,,,11420.608,51622.0,178402.0,364.0,1617.0,524403.0
2013-06-01,,,,0.0,0.0,0.0,,,,,,,10638.235,48086.0,166181.0,1006.0,4469.0,537680.0
2013-07-01,,,,0.0,0.0,0.0,,,,,,,28925.723,130746.0,451852.0,1003.0,4456.0,620198.0
2013-08-01,,,,0.0,0.0,0.0,,,,,,,20118.128,90935.0,314267.0,596.0,2648.0,596616.0
2013-09-01,,,,0.0,0.0,0.0,,,,,,,11871.669,53661.0,185449.0,0.0,0.0,579342.0
2013-10-01,,,,0.0,0.0,0.0,,,,,,,5655.548,25563.0,88346.0,0.0,0.0,519662.0
2013-11-01,,,,0.0,0.0,0.0,,,,,,,8184.029,36992.0,127844.0,0.0,0.0,653704.0
2013-12-01,,,,0.0,0.0,0.0,,,,,,,7686.415,34743.0,120070.0,0.0,0.0,626269.0
2014-01-01,,,,0.0,0.0,0.0,,,,,,,23196.754,104851.0,361299.0,0.0,0.0,0.0
2014-02-01,,,,0.0,0.0,0.0,,,,,,,5682.443,25685.0,88506.0,0.0,0.0,0.0
2014-03-01,,,,0.0,0.0,0.0,,,,,,,8101.654,36620.0,126186.0,0.0,0.0,0.0
2014-04-01,,,,0.0,0.0,0.0,,,,,,,7103.784,32110.0,110644.0,0.0,0.0,0.0
2014-05-01,,,,0.0,0.0,0.0,,,,,,,21934.46,99145.0,341638.0,0.0,0.0,0.0
2014-06-01,,,,0.0,0.0,0.0,,,,,,,19053.339,86122.0,296763.0,0.0,0.0,0.0
2014-07-01,,,,0.0,0.0,0.0,,,,,,,13689.373,61877.0,213217.0,0.0,0.0,0.0
2014-08-01,,,,0.0,0.0,0.0,,,,,,,25290.698,114316.0,393912.0,0.0,0.0,0.0
2014-09-01,,,,0.0,0.0,0.0,,,,,,,15903.399,71884.0,247701.0,0.0,0.0,0.0
2014-10-01,,,,0.0,0.0,0.0,,,,,,,19820.373,89589.0,308710.0,0.0,0.0,0.0
2014-11-01,,,,0.0,0.0,0.0,,,,,,,13366.872,60419.0,208194.0,0.0,0.0,0.0
2014-12-01,,,,0.0,0.0,0.0,,,,,,,15863.851,71706.0,247086.0,0.0,0.0,0.0
2015-01-01,0.0,0.0,0.0,,,,,,,,,,14415.051,65157.0,221520.0,,,
2015-02-01,0.0,0.0,0.0,,,,,,,,,,12874.119,58192.0,197840.0,,,
2015-03-01,0.0,0.0,0.0,,,,,,,,,,13948.979,63050.0,214358.0,,,
2015-04-01,0.0,0.0,0.0,,,,,,,,,,13024.867,58873.0,200157.0,,,
2015-05-01,0.0,0.0,0.0,,,,,,,,,,10568.715,47771.0,162413.0,,,
2015-06-01,0.0,0.0,0.0,,,,,,,,,,15972.451,72197.0,245453.0,,,
2015-07-01,0.0,0.0,0.0,,,,,,,,,,23200.774,104869.0,356533.0,,,
2015-08-01,0.0,0.0,0.0,,,,,,,,,,17295.016,78175.0,265778.0,,,
2015-09-01,0.0,0.0,0.0,,,,,,,,,,18904.284,85449.0,290508.0,,,
2015-10-01,0.0,0.0,0.0,,,,,,,,,,15454.74,69856.0,237497.0,,,
2015-11-01,0.0,0.0,0.0,,,,,,,,,,15856.279,71671.0,243668.0,,,
2015-12-01,0.0,0.0,0.0,,,,,,,,,,19374.725,87575.0,297737.0,,,
2016-01-01,0.0,0.0,0.0,,,,,,,,,,12955.403,52005.0,191476.0,,,
2016-02-01,0.0,0.0,0.0,,,,,,,,,,13402.025,53797.0,198077.0,,,
2016-03-01,0.0,0.0,0.0,,,,,,,,,,18026.764,72362.0,266429.0,,,
2016-04-01,0.0,0.0,0.0,,,,,,,,,,13567.278,54461.0,200519.0,,,
2016-05-01,0.0,0.0,0.0,,,,,,,,,,12933.299,51916.0,191149.0,,,
2016-06-01,0.0,0.0,0.0,,,,,,,,,,18167.575,72927.0,268510.0,,,
2016-07-01,0.0,0.0,0.0,,,,,,,,,,29501.548,118423.0,436022.0,,,
2016-08-01,0.0,0.0,0.0,,,,,,,,,,26003.048,104379.0,384315.0,,,
2016-09-01,0.0,0.0,0.0,,,,,,,,,,17404.915,69865.0,257238.0,,,
2016-10-01,0.0,0.0,0.0,,,,,,,,,,16382.132,65760.0,242122.0,,,
2016-11-01,0.0,0.0,0.0,,,,,,,,,,12126.279,48676.0,179222.0,,,
2016-12-01,0.0,0.0,0.0,,,,,,,,,,12256.734,49200.0,181150.0,,,
2017-01-01,0.0,0.0,0.0,,,,,,,,,,13827.569,55505.0,205240.0,,,
2017-02-01,0.0,0.0,0.0,,,,,,,,,,13516.138,54255.0,200616.0,,,
2017-03-01,0.0,0.0,0.0,,,,,,,,,,16824.516,67536.0,249722.0,,,
2017-04-01,0.0,0.0,0.0,,,,,,,,,,13511.281,54236.0,200544.0,,,
2017-05-01,0.0,0.0,0.0,,,,,,,,,,14655.226,58828.0,217524.0,,,
2017-06-01,0.0,0.0,0.0,,,,,,,,,,19783.964,79415.0,293648.0,,,
2017-07-01,0.0,0.0,0.0,,,,,,,,,,23644.936,94914.0,350955.0,,,
2017-08-01,0.0,0.0,0.0,,,,,,,,,,19225.058,77172.0,285352.0,,,
2017-09-01,0.0,0.0,0.0,,,,,,,,,,14636.95,58754.0,217252.0,,,
2017-10-01,0.0,0.0,0.0,,,,,,,,,,14474.956,58104.0,214848.0,,,
2017-11-01,0.0,0.0,0.0,,,,,,,,,,10859.956,43593.0,161191.0,,,
2017-12-01,0.0,0.0,0.0,,,,,,,,,,17606.45,70674.0,261328.0,,,
2018-01-01,0.0,0.0,0.0,,,,,,,,,,14522.511,58295.0,221444.0,,,
2018-02-01,0.0,0.0,0.0,,,,,,,,,,10701.128,42956.0,163175.0,,,
2018-03-01,0.0,0.0,0.0,,,,,,,,,,16859.395,67676.0,257079.0,,,
2018-04-01,0.0,0.0,0.0,,,,,,,,,,9105.599,36551.0,138846.0,,,
2018-05-01,0.0,0.0,0.0,,,,,,,,,,16362.147,65680.0,249497.0,,,
2018-06-01,0.0,0.0,0.0,,,,,,,,,,17950.394,72055.0,273715.0,,,
2018-07-01,0.0,0.0,0.0,,,,,,,,,,22201.279,89119.0,338534.0,,,
2018-08-01,0.0,0.0,0.0,,,,,,,,,,22349.939,89715.0,340801.0,,,
2018-09-01,0.0,0.0,0.0,,,,,,,,,,17925.514,71955.0,273335.0,,,
2018-10-01,0.0,0.0,0.0,,,,,,,,,,11898.752,47763.0,181437.0,,,
2018-11-01,0.0,0.0,0.0,,,,,,,,,,13943.206,55970.0,212612.0,,,
2018-12-01,0.0,0.0,0.0,,,,,,,,,,10334.136,41482.0,157579.0,,,
2019-01-01,0.0,0.0,0.0,,,,,,,,,,6057.332,24315.0,101692.0,,,
2019-02-01,0.0,0.0,0.0,,,,,,,,,,5481.284,22003.0,92020.0,,,
2019-03-01,0.0,0.0,0.0,,,,,,,,,,5786.664,23228.0,97147.0,,,
2019-04-01,0.0,0.0,0.0,,,,,,,,,,6329.017,25405.0,106252.0,,,
2019-05-01,0.0,0.0,0.0,,,,,,,,,,5788.683,23236.0,97181.0,,,
2019-06-01,0.0,0.0,0.0,,,,,,,,,,6783.618,27230.0,113884.0,,,
2019-07-01,0.0,0.0,0.0,,,,,,,,,,11241.745,45126.0,188727.0,,,
2019-08-01,0.0,0.0,0.0,,,,,,,,,,9608.245,38569.0,161304.0,,,
2019-09-01,0.0,0.0,0.0,,,,,,,,,,6164.333,24744.0,103487.0,,,
2019-10-01,0.0,0.0,0.0,,,,,,,,,,5939.61,23842.0,99715.0,,,
2019-11-01,0.0,0.0,0.0,,,,,,,,,,6111.911,24534.0,102607.0,,,
2019-12-01,0.0,0.0,0.0,,,,,,,,,,8461.558,33966.0,142053.0,,,
2020-01-01,0.0,0.0,0.0,,,,,,,,,,7436.333,29850.0,171616.0,,,
2020-02-01,0.0,0.0,0.0,,,,,,,,,,6755.047,27116.0,155894.0,,,
2020-03-01,0.0,0.0,0.0,,,,,,,,,,7011.321,28144.0,161808.0,,,
2020-04-01,0.0,0.0,0.0,,,,,,,,,,5126.638,20579.0,118313.0,,,
2020-05-01,0.0,0.0,0.0,,,,,,,,,,4385.15,17603.0,101201.0,,,
2020-06-01,0.0,0.0,0.0,,,,,,,,,,6724.441,26993.0,155187.0,,,
2020-07-01,0.0,0.0,0.0,,,,,,,,,,9665.174,38797.0,223054.0,,,
2020-08-01,0.0,0.0,0.0,,,,,,,,,,7208.789,28937.0,166365.0,,,
2020-09-01,0.0,0.0,0.0,,,,,,,,,,4715.306,18928.0,108820.0,,,
2020-10-01,0.0,0.0,0.0,,,,,,,,,,4979.412,19988.0,114915.0,,,
2020-11-01,0.0,0.0,0.0,,,,,,,,,,2313.354,9286.0,53388.0,,,
2020-12-01,0.0,0.0,0.0,,,,,,,,,,5227.035,20982.0,120630.0,,,
2021-01-01,0.0,0.0,0.0,,,,,,,,,,4721.804,18954.0,95332.0,,,
2021-02-01,0.0,0.0,0.0,,,,,,,,,,3052.9,12255.0,61638.0,,,
2021-03-01,0.0,0.0,0.0,,,,,,,,,,3708.331,14886.0,74871.0,,,
2021-04-01,0.0,0.0,0.0,,,,,,,,,,2775.424,11141.0,56036.0,,,
2021-05-01,0.0,0.0,0.0,,,,,,,,,,2063.815,8284.0,41668.0,,,
2021-06-01,0.0,0.0,0.0,,,,,,,,,,4388.399,17616.0,88601.0,,,
2021-07-01,0.0,0.0,0.0,,,,,,,,,,5703.085,22893.0,115145.0,,,
2021-08-01,0.0,0.0,0.0,,,,,,,,,,7046.401,28285.0,142266.0,,,
2021-09-01,0.0,0.0,0.0,,,,,,,,,,3935.06,15796.0,79448.0,,,
2021-10-01,0.0,0.0,0.0,,,,,,,,,,4930.219,19790.0,99541.0,,,
2021-11-01,0.0,0.0,0.0,,,,,,,,,,4102.971,16470.0,82839.0,,,
2021-12-01,0.0,0.0,0.0,,,,,,,,,,4125.591,16561.0,83295.0,,,
2022-01-01,0.0,0.0,0.0,,,,,,,,,,4987.62,20021.0,126062.0,,,
2022-02-01,0.0,0.0,0.0,,,,,,,,,,3307.679,13277.0,83601.0,,,
2022-03-01,0.0,0.0,0.0,,,,,,,,,,3562.418,14300.0,90039.0,,,
2022-04-01,0.0,0.0,0.0,,,,,,,,,,1696.656,6811.0,42882.0,,,
2022-05-01,0.0,0.0,0.0,,,,,,,,,,2270.768,9115.0,57393.0,,,
2022-06-01,0.0,0.0,0.0,,,,,,,,,,4003.229,16069.0,101180.0,,,
2022-07-01,0.0,0.0,0.0,,,,,,,,,,4629.905,18585.0,117019.0,,,
2022-08-01,0.0,0.0,0.0,,,,,,,,,,4589.088,18421.0,115987.0,,,
2022-09-01,0.0,0.0,0.0,,,,,,,,,,4563.696,18319.0,115346.0,,,
