measured_on,"Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Purchased Steam-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Purchased Steam-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Purchased Steam-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Sludge Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Sludge Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Sludge Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,24460.0,125194.0,203798.0,,,,6089.0,31164.0,50731.0,11987.0,61354.0,99876.0,760.0,3893.0,6336.0,,,,,,,4914.0,25151.0,40943.0
2003-02-01,24772.0,133950.0,214111.0,102.0,554.0,885.0,1609.0,8699.0,13906.0,9688.0,52386.0,83736.0,3355.0,18140.0,28995.0,,,,,,,5104.0,27600.0,44116.0
2003-03-01,24828.0,133765.0,214111.0,,,,1613.0,8687.0,13906.0,9710.0,52314.0,83736.0,3362.0,18115.0,28995.0,,,,,,,5116.0,27561.0,44116.0
2003-04-01,23518.0,124388.0,197827.0,,,,4271.0,22592.0,35930.0,9007.0,47641.0,75767.0,8.0,43.0,69.0,,,,,,,5983.0,31648.0,50332.0
2003-05-01,22899.314,111031.0,206819.0,,,,1838.975,8914.0,16606.0,9739.363000000001,91320.0,91320.0,286.16900000000004,1389.0,2587.0,,,,,,,5509.241,26713.0,49758.0
2003-06-01,18435.839,143394.0,192564.0,,,,4160.02,32359.0,43455.0,7818.763,60813.0,81665.0,2769.505,21539.0,28926.0,,,,,,,4623.845,35966.0,48298.0
2003-07-01,24170.751,148479.0,224023.0,,,,1319.452,8104.0,12227.0,7887.904,48455.0,73107.0,1352.102,8304.0,12529.0,,,,,,,5902.004,36256.0,54702.0
2003-08-01,20599.395,101970.0,179112.0,,,,975.0,4633.0,8138.0,7657.0,36401.0,63938.0,906.0,4305.0,7561.0,,,,,,,6145.0,29210.0,51307.0
2003-09-01,17318.05,81531.0,144231.0,,,,1205.0,5449.0,9639.0,10005.0,45231.0,80016.0,0.0,0.0,0.0,,,,,,,7605.0,34379.0,60819.0
2003-10-01,23353.536,127116.0,210040.0,,,,2709.967,14750.0,24373.0,6335.099,34480.0,56974.0,435.976,2371.0,3919.0,,,,,,,5519.804,30044.0,49643.0
2003-11-01,19895.495000000003,92639.0,167513.0,,,,3099.848,14433.0,26098.0,8254.739,38439.0,69506.0,619.394,2882.0,5212.0,,,,,,,3853.684,17945.0,32447.0
2003-12-01,21723.907,104463.0,177956.0,,,,4958.9890000000005,23845.0,40622.0,9423.424,45316.0,77197.0,2455.487,11807.0,20115.0,,,,,,,6582.857,31654.0,53923.0
2004-01-01,32573.54642,163236.96,848644.2,0.0,0.0,0.0,8345.66102,41822.9,217430.94,0.0,0.0,0.0,3017.40766,15121.24,78613.04,,,,0.0,0.0,0.0,8483.21279,42512.22,221014.6
2004-02-01,28225.21863,141409.87,819769.6,0.0,0.0,0.0,6365.31962,31890.59,184873.52,0.0,0.0,0.0,3126.82428,15665.56,90815.08,,,,,,,8041.64853,40289.09,233560.6
2004-03-01,30857.5778,154625.42,897543.4,0.0,0.0,0.0,6355.95897,31849.32,184873.52,0.0,0.0,0.0,5917.56946,29652.58,172122.24,,,,,,,8884.02919,44517.32,258406.6
2004-04-01,29153.17163,146042.88,894711.4,0.0,0.0,0.0,2006.79639,10053.05,61588.62,0.0,0.0,0.0,4961.38104,24854.05,152264.88,,,,,,,6717.10232,33649.34,206148.0
2004-05-01,29553.83165,148075.91,875088.0,0.0,0.0,0.0,11053.3893,55381.68,327290.5,0.0,0.0,0.0,5303.75317,26573.82,157043.96,,,,,,,7222.43274,36187.13,213856.0
2004-06-01,32066.49601,160646.8,893189.2,0.0,0.0,0.0,3372.44027,16895.26,93936.9,0.0,0.0,0.0,2082.56531,10433.24,58008.36,,,,,,,8022.69488,40192.11,223466.4
2004-07-01,28704.07439,143775.28,696164.6,0.0,0.0,0.0,4612.8284,23105.11,111875.68,0.0,0.0,0.0,3310.7467,16583.14,80296.08,,,,138.04385,691.45,3348.0,9502.98311,47599.31,230477.4
2004-08-01,34525.71336,172963.36,954761.6,0.0,0.0,0.0,2917.07327,14613.65,80667.69,0.0,0.0,0.0,1408.6696000000002,7057.01,38954.84,,,,2.2420199999999997,11.23,62.0,8479.7304,42480.88,234495.4
2004-09-01,31518.21683,157944.51,917013.4,0.0,0.0,0.0,4852.60677,24317.45,141185.19,0.0,0.0,0.0,2744.70782,13754.32,79856.48,,,,0.0,0.0,0.0,6626.57904,33207.2,192798.4
2004-10-01,35721.15985,179014.31,988002.2,0.0,0.0,0.0,4578.5191,22944.96,126636.06,0.0,0.0,0.0,3697.10433,18527.8,102257.24,,,,0.0,0.0,0.0,2335.89111,11706.17,64607.8
2004-11-01,33601.78165,168334.82,902204.4,0.0,0.0,0.0,2059.30617,10316.5,55292.16,0.0,0.0,0.0,209.10023999999999,1047.53,5614.32,,,,410.05743,2054.26,11010.0,7318.33701,36662.67,196496.6
2004-12-01,32666.51227,163688.39,907986.4,0.0,0.0,0.0,4581.43688,22957.09,127343.94,0.0,0.0,0.0,2667.61181,13367.12,74147.96,,,,387.00323000000003,1939.23,10757.0,9438.85668,47297.1,262359.0
2005-01-01,30928.33617,155242.63,1142251.8,0.0,0.0,0.0,2132.19438,10702.4,78746.65,0.0,0.0,0.0,1041.5028,5227.75,38465.0,0.0,0.0,0.0,470.0504,2359.39,17360.0,7623.49725,38265.61,281552.6
2005-02-01,28246.18133,141779.73,1035473.6,0.0,0.0,0.0,957.60591,4806.64,35104.77,0.0,0.0,0.0,116.56436,585.09,4273.12,0.0,0.0,0.0,13.53014,67.91,496.0,7572.36825,38008.97,277594.6
