measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2003-01-01,,,,34.769,423.0,423.0,,,,494.392,6627.0,6627.0,660.342,7490.0,7490.0
2003-02-01,,,,27.929000000000002,340.0,340.0,,,,397.139,5323.0,5323.0,530.445,6017.0,6017.0
2003-03-01,,,,27.164,331.0,331.0,,,,386.261,5177.0,5177.0,515.916,5852.0,5852.0
2003-04-01,,,,30.55,372.0,372.0,,,,434.406,5823.0,5823.0,580.221,6581.0,6581.0
2003-05-01,,,,34.409,419.0,419.0,,,,489.278,6558.0,6558.0,653.5120000000001,7413.0,7413.0
2003-06-01,,,,32.451,395.0,395.0,,,,461.434,6185.0,6185.0,616.322,6991.0,6991.0
2003-07-01,,,,36.95,450.0,450.0,,,,525.407,7042.0,7042.0,701.768,7960.0,7960.0
2003-08-01,,,,36.359,443.0,443.0,,,,516.998,6930.0,6930.0,690.537,7833.0,7833.0
2003-09-01,,,,33.274,405.0,405.0,,,,473.13800000000003,6342.0,6342.0,631.9540000000001,7168.0,7168.0
2003-10-01,,,,32.999,402.0,402.0,,,,469.226,6289.0,6289.0,626.73,7109.0,7109.0
2003-11-01,,,,32.064,390.0,390.0,,,,455.93,6111.0,6111.0,608.97,6907.0,6907.0
2003-12-01,,,,33.081,403.0,403.0,,,,470.391,6305.0,6305.0,628.285,7126.0,7126.0
2004-01-01,,,,16.417,213.0,213.0,0.0,0.0,0.0,65.809,948.0,948.0,297.668,2842.0,2842.0
2004-02-01,,,,16.417,213.0,213.0,0.0,0.0,0.0,40.381,581.0,581.0,301.47900000000004,2878.0,2878.0
