measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Kerosene-Combustion (Gas) Turbine (including jet engine design) Generation,Kerosene-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Kerosene-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,,,,107.0,1997.0,1997.0
2003-03-01,0.0,0.0,0.0,,,,45.0,851.0,851.0
2003-04-01,0.0,0.0,0.0,,,,164.0,2819.0,2819.0
2003-05-01,0.0,0.0,0.0,,,,22.0,324.0,324.0
2003-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,,,,400.0,6640.0,6640.0
2003-09-01,0.0,0.0,0.0,,,,31.0,455.0,455.0
2003-10-01,0.0,0.0,0.0,,,,179.0,3181.0,3181.0
2003-11-01,0.0,0.0,0.0,,,,98.0,1905.0,1905.0
2003-12-01,186.0,2382.0,2382.0,,,,0.0,0.0,0.0
2004-01-01,4.743,87.0,87.0,,,,2.056,44.0,44.0
2004-02-01,1.3210000000000002,24.0,24.0,,,,1.616,35.0,35.0
2004-03-01,2.174,40.0,40.0,,,,2.513,54.0,54.0
2004-04-01,0.48600000000000004,9.0,9.0,,,,2.762,59.0,59.0
2004-05-01,1.4220000000000002,26.0,26.0,,,,5.402,116.0,116.0
2004-06-01,0.734,14.0,14.0,,,,7.447,160.0,160.0
2004-07-01,0.8440000000000001,16.0,16.0,,,,8.467,182.0,182.0
2004-08-01,0.9730000000000001,18.0,18.0,,,,10.008000000000001,216.0,216.0
2004-09-01,0.631,12.0,12.0,,,,6.924,149.0,149.0
2004-10-01,1.01,19.0,19.0,,,,3.8640000000000003,83.0,83.0
2004-11-01,0.432,8.0,8.0,,,,4.02,87.0,87.0
2004-12-01,1.232,23.0,23.0,,,,4.922000000000001,106.0,106.0
2005-01-01,,,,33.846000000000004,419.84,419.84,6.2860000000000005,116.14,116.14
2005-02-01,,,,11.629000000000001,144.25,144.25,5.0280000000000005,92.91,92.91
2005-03-01,,,,12.889000000000001,159.88,159.88,6.978000000000001,128.94,128.94
2005-04-01,,,,15.612,193.66,193.66,6.6240000000000006,122.39,122.39
2005-05-01,,,,14.5,179.86,179.86,6.3340000000000005,117.04,117.04
2005-06-01,,,,18.819000000000003,233.44,233.44,11.957,220.93,220.93
2005-07-01,,,,19.155,237.61,237.61,15.74,290.85,290.85
2005-08-01,,,,22.503,279.14,279.14,15.636000000000001,288.93,288.93
2005-09-01,,,,14.731,182.73,182.73,9.467,174.93,174.93
2005-10-01,,,,16.359,202.92,202.92,6.713,124.03,124.03
2005-11-01,,,,13.151,163.13,163.13,5.883,108.71,108.71
2005-12-01,,,,27.807000000000002,344.93,344.93,7.354,135.89,135.89
2006-01-01,,,,0.0,0.0,0.0,12.354000000000001,190.0,190.0
2006-02-01,,,,0.0,0.0,0.0,13.965,214.0,214.0
2006-03-01,,,,0.0,0.0,0.0,18.403000000000002,282.0,282.0
2006-04-01,,,,0.0,0.0,0.0,15.229000000000001,234.0,234.0
2006-05-01,,,,0.0,0.0,0.0,20.061,308.0,308.0
2006-06-01,,,,0.0,0.0,0.0,25.84,396.0,396.0
2006-07-01,,,,0.0,0.0,0.0,46.241,709.0,709.0
2006-08-01,,,,0.0,0.0,0.0,41.089,630.0,630.0
2006-09-01,,,,0.0,0.0,0.0,24.169,371.0,371.0
2006-10-01,,,,0.0,0.0,0.0,26.18,402.0,402.0
2006-11-01,,,,0.0,0.0,0.0,17.601,270.0,270.0
2006-12-01,,,,0.0,0.0,0.0,17.867,274.0,274.0
2007-01-01,,,,0.35,6.0,6.0,17.645,301.0,301.0
2007-02-01,,,,0.597,11.0,11.0,16.166,276.0,276.0
2007-03-01,,,,0.28800000000000003,6.0,6.0,23.383000000000003,400.0,400.0
2007-04-01,,,,0.20800000000000002,6.0,6.0,19.133000000000003,327.0,327.0
2007-05-01,,,,0.10400000000000001,0.0,0.0,22.986,392.0,392.0
2007-06-01,,,,0.139,0.0,0.0,28.355,485.0,485.0
2007-07-01,,,,0.14100000000000001,0.0,0.0,32.918,562.0,562.0
2007-08-01,,,,0.14200000000000002,0.0,0.0,38.582,659.0,659.0
2007-09-01,,,,0.095,0.0,0.0,28.276,483.0,483.0
2007-10-01,,,,0.054,0.0,0.0,23.038,393.0,393.0
2007-11-01,,,,0.033,0.0,0.0,18.491,315.0,315.0
2007-12-01,,,,0.126,0.0,0.0,19.749000000000002,338.0,338.0
2008-01-01,,,,0.0,0.0,0.0,10.57,182.0,182.0
2008-02-01,,,,0.0,0.0,0.0,9.644,167.0,167.0
2008-03-01,,,,0.0,0.0,0.0,11.186,193.0,193.0
2008-04-01,,,,0.0,0.0,0.0,10.392000000000001,180.0,180.0
2008-05-01,,,,0.0,0.0,0.0,10.145000000000001,175.0,175.0
2008-06-01,,,,0.0,0.0,0.0,14.882000000000001,257.0,257.0
2008-07-01,,,,0.0,0.0,0.0,18.975,327.0,327.0
2008-08-01,,,,0.0,0.0,0.0,15.284,264.0,264.0
2008-09-01,,,,0.0,0.0,0.0,14.231,246.0,246.0
2008-10-01,,,,0.0,0.0,0.0,12.976,224.0,224.0
2008-11-01,,,,0.0,0.0,0.0,11.252,194.0,194.0
2008-12-01,,,,0.0,0.0,0.0,10.463000000000001,181.0,181.0
2009-01-01,,,,0.0,0.0,0.0,7.298,121.0,121.0
2009-02-01,,,,0.0,0.0,0.0,6.941000000000001,115.0,115.0
2009-03-01,,,,0.0,0.0,0.0,8.264000000000001,137.0,137.0
2009-04-01,,,,0.0,0.0,0.0,8.19,135.0,135.0
2009-05-01,,,,0.0,0.0,0.0,7.759,128.0,128.0
2009-06-01,,,,0.0,0.0,0.0,8.255,136.0,136.0
2009-07-01,,,,0.0,0.0,0.0,9.994,166.0,166.0
2009-08-01,,,,0.0,0.0,0.0,12.171000000000001,201.0,201.0
2009-09-01,,,,0.0,0.0,0.0,8.356,138.0,138.0
2009-10-01,,,,0.0,0.0,0.0,7.485,124.0,124.0
2009-11-01,,,,0.0,0.0,0.0,7.482,124.0,124.0
2009-12-01,,,,0.0,0.0,0.0,7.805,129.0,129.0
2010-01-01,,,,0.808,22.0,22.0,9.332,167.0,167.0
2010-02-01,,,,0.225,6.0,6.0,8.841000000000001,158.0,158.0
2010-03-01,,,,0.14600000000000002,0.0,0.0,9.004,160.0,160.0
2010-04-01,,,,0.137,0.0,0.0,9.671000000000001,172.0,172.0
2010-05-01,,,,0.188,6.0,6.0,10.481,186.0,186.0
2010-06-01,,,,0.6960000000000001,11.0,11.0,13.731,244.0,244.0
2010-07-01,,,,1.3780000000000001,22.0,22.0,18.698,333.0,333.0
2010-08-01,,,,0.751,11.0,11.0,16.867,300.0,300.0
2010-09-01,,,,0.343,6.0,6.0,15.217,271.0,271.0
2010-10-01,,,,0.08,0.0,0.0,11.295,201.0,201.0
2010-11-01,,,,0.081,0.0,0.0,11.895000000000001,212.0,212.0
2010-12-01,,,,0.48500000000000004,11.0,11.0,10.65,189.0,189.0
2011-01-01,,,,0.0,0.0,0.0,65.827,987.0,987.0
2011-02-01,,,,0.0,0.0,0.0,60.374,908.0,908.0
2011-03-01,,,,0.0,0.0,0.0,75.086,1129.0,1129.0
2011-04-01,,,,0.0,0.0,0.0,66.409,998.0,998.0
2011-05-01,,,,0.0,0.0,0.0,72.003,1082.0,1082.0
2011-06-01,,,,0.0,0.0,0.0,85.052,1279.0,1279.0
2011-07-01,,,,0.0,0.0,0.0,124.339,1869.0,1869.0
2011-08-01,,,,0.0,0.0,0.0,106.533,1601.0,1601.0
2011-09-01,,,,0.0,0.0,0.0,86.608,1301.0,1301.0
2011-10-01,,,,0.0,0.0,0.0,80.339,1208.0,1208.0
2011-11-01,,,,0.0,0.0,0.0,71.415,1073.0,1073.0
2011-12-01,,,,0.0,0.0,0.0,78.015,1173.0,1173.0
2012-01-01,,,,0.0,0.0,0.0,0.41,7.0,7.0
2012-02-01,,,,0.0,0.0,0.0,0.394,7.0,7.0
2012-03-01,,,,0.0,0.0,0.0,0.382,7.0,7.0
2012-04-01,,,,0.0,0.0,0.0,0.416,7.0,7.0
2012-05-01,,,,0.0,0.0,0.0,0.515,9.0,9.0
2012-06-01,,,,0.0,0.0,0.0,0.584,10.0,10.0
2012-07-01,,,,0.0,0.0,0.0,0.757,13.0,13.0
2012-08-01,,,,0.0,0.0,0.0,0.664,11.0,11.0
2012-09-01,,,,0.0,0.0,0.0,0.5,9.0,9.0
2012-10-01,,,,0.0,0.0,0.0,0.473,8.0,8.0
2012-11-01,,,,0.0,0.0,0.0,0.471,8.0,8.0
2012-12-01,,,,0.0,0.0,0.0,0.434,7.0,7.0
2013-01-01,,,,0.0,0.0,0.0,30.256,475.0,475.0
2013-02-01,,,,0.0,0.0,0.0,31.019,487.0,487.0
2013-03-01,,,,0.0,0.0,0.0,32.27,507.0,507.0
2013-04-01,,,,0.0,0.0,0.0,26.78,420.0,420.0
2013-05-01,,,,0.0,0.0,0.0,31.439,493.0,493.0
2013-06-01,,,,0.0,0.0,0.0,36.585,575.0,575.0
2013-07-01,,,,0.0,0.0,0.0,53.123,834.0,834.0
2013-08-01,,,,0.0,0.0,0.0,39.364,618.0,618.0
2013-09-01,,,,0.0,0.0,0.0,30.99,486.0,486.0
2013-10-01,,,,0.0,0.0,0.0,26.562,417.0,417.0
2013-11-01,,,,0.0,0.0,0.0,28.543,448.0,448.0
2013-12-01,,,,0.0,0.0,0.0,33.069,519.0,519.0
2014-01-01,,,,0.0,0.0,0.0,20.721,320.0,320.0
2014-02-01,,,,0.0,0.0,0.0,23.463,364.0,364.0
2014-03-01,,,,0.0,0.0,0.0,24.923,386.0,386.0
2014-04-01,,,,0.0,0.0,0.0,20.623,319.0,319.0
2014-05-01,,,,0.0,0.0,0.0,22.218,344.0,344.0
2014-06-01,,,,0.0,0.0,0.0,29.215,452.0,452.0
2014-07-01,,,,0.0,0.0,0.0,34.237,530.0,530.0
2014-08-01,,,,0.0,0.0,0.0,31.344,485.0,485.0
2014-09-01,,,,0.0,0.0,0.0,29.216,452.0,452.0
2014-10-01,,,,0.0,0.0,0.0,24.617,381.0,381.0
2014-11-01,,,,0.0,0.0,0.0,23.185,359.0,359.0
2014-12-01,,,,0.0,0.0,0.0,25.238,390.0,390.0
2015-01-01,,,,2.004,34.0,34.0,7.558,113.0,113.0
2015-02-01,,,,7.242,106.0,106.0,6.321,94.0,94.0
2015-03-01,,,,0.558,6.0,6.0,8.679,129.0,129.0
