measured_on,Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2019-01-01,88.872,791.0,791.0
2019-02-01,103.699,923.0,923.0
2019-03-01,157.52,1403.0,1403.0
2019-04-01,183.207,1631.0,1631.0
2019-05-01,190.748,1699.0,1699.0
2019-06-01,230.603,2054.0,2054.0
2019-07-01,227.576,2027.0,2027.0
2019-08-01,222.883,1985.0,1985.0
2019-09-01,182.272,1623.0,1623.0
2019-10-01,167.477,1491.0,1491.0
2019-11-01,107.108,954.0,954.0
2019-12-01,69.035,615.0,615.0
2020-01-01,92.903,814.0,814.0
2020-02-01,125.934,1104.0,1104.0
2020-03-01,123.234,1080.0,1080.0
2020-04-01,155.31,1362.0,1362.0
2020-05-01,203.262,1782.0,1782.0
2020-06-01,202.408,1775.0,1775.0
2020-07-01,228.623,2004.0,2004.0
2020-08-01,189.408,1661.0,1661.0
2020-09-01,148.723,1304.0,1304.0
2020-10-01,137.469,1205.0,1205.0
2020-11-01,108.679,953.0,953.0
2020-12-01,86.047,754.0,754.0
2021-01-01,98.552,872.0,872.0
2021-02-01,129.102,1142.0,1142.0
2021-03-01,166.693,1474.0,1474.0
2021-04-01,208.656,1845.0,1845.0
2021-05-01,227.431,2011.0,2011.0
2021-06-01,220.924,1954.0,1954.0
2021-07-01,211.603,1871.0,1871.0
2021-08-01,208.134,1841.0,1841.0
2021-09-01,179.465,1587.0,1587.0
2021-10-01,149.373,1321.0,1321.0
2021-11-01,118.855,1051.0,1051.0
2021-12-01,81.212,718.0,718.0
2022-01-01,102.244,349.0,349.0
2022-02-01,121.954,416.0,416.0
2022-03-01,161.685,552.0,552.0
2022-04-01,182.386,622.0,622.0
2022-05-01,213.762,729.0,729.0
2022-06-01,222.58,759.0,759.0
2022-07-01,214.675,732.0,732.0
2022-08-01,199.324,680.0,680.0
2022-09-01,168.213,574.0,574.0
2022-10-01,154.973,529.0,529.0
2022-11-01,114.886,392.0,392.0
2022-12-01,80.318,274.0,274.0
2023-01-01,61.0,208.0,208.0
2023-02-01,102.0,348.0,348.0
2023-03-01,142.0,485.0,485.0
2023-04-01,226.0,771.0,771.0
2023-05-01,244.0,833.0,833.0
2023-06-01,242.0,826.0,826.0
2023-07-01,251.0,856.0,856.0
2023-08-01,219.0,747.0,747.0
2023-09-01,172.0,587.0,587.0
2023-10-01,133.0,454.0,454.0
2023-11-01,84.0,287.0,287.0
2023-12-01,42.0,143.0,143.0
2024-01-01,60.0,205.0,205.0
2024-02-01,110.0,375.0,375.0
2024-03-01,170.0,580.0,580.0
2024-04-01,207.0,706.0,706.0
2024-05-01,149.0,508.0,508.0
2024-06-01,229.0,781.0,781.0
2024-07-01,241.0,822.0,822.0
2024-08-01,205.0,699.0,699.0
2024-09-01,160.0,546.0,546.0
2024-10-01,142.0,485.0,485.0
2024-11-01,94.0,321.0,321.0
2024-12-01,64.0,218.0,218.0
