measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Kerosene Generation,Kerosene Quantity Consumed For Electricity,Kerosene Total Fuel Consumed
2001-01-01,67.0,928.0,928.0,,,
2001-02-01,41.0,502.0,502.0,,,
2001-03-01,87.0,1226.0,1226.0,,,
2001-04-01,133.0,1775.0,1775.0,,,
2001-05-01,59.0,928.0,928.0,,,
2001-06-01,40.0,572.0,572.0,,,
2001-07-01,377.0,5773.0,5773.0,,,
2001-08-01,462.0,6608.0,6608.0,,,
2001-09-01,0.0,0.0,0.0,,,
2001-10-01,0.0,0.0,0.0,,,
2001-11-01,100.0,1658.0,1658.0,,,
2001-12-01,112.0,1635.0,1635.0,,,
2002-01-01,38.0,490.0,490.0,,,
2002-02-01,131.0,1777.0,1777.0,,,
2002-03-01,519.0,6864.0,6864.0,,,
2002-04-01,229.0,3157.0,3157.0,,,
2002-05-01,0.0,0.0,0.0,,,
2002-06-01,175.0,2376.0,2376.0,,,
2002-07-01,1248.0,17089.0,17089.0,,,
2002-08-01,673.0,9356.0,9356.0,,,
2002-09-01,0.0,0.0,0.0,,,
2002-10-01,14.0,226.0,226.0,,,
2002-11-01,295.0,4054.0,4054.0,,,
2002-12-01,4.0,154.0,154.0,,,
2003-01-01,0.0,0.0,0.0,,,
2003-02-01,0.0,0.0,0.0,,,
2003-03-01,6.0,133.0,133.0,,,
2003-04-01,82.0,1155.0,1155.0,,,
2003-05-01,0.0,0.0,0.0,,,
2003-06-01,0.0,0.0,0.0,,,
2003-07-01,164.0,2273.0,2273.0,,,
2003-08-01,486.0,6421.0,6421.0,,,
2003-09-01,29.0,374.0,374.0,,,
2003-10-01,0.0,0.0,0.0,,,
2003-11-01,1471.0,19844.0,19844.0,,,
2003-12-01,173.0,2244.0,2244.0,,,
2004-01-01,68.769,1051.0,1051.0,,,
2004-02-01,19.149,293.0,293.0,,,
2004-03-01,31.516000000000002,482.0,482.0,,,
2004-04-01,7.047000000000001,108.0,108.0,,,
2004-05-01,20.615,315.0,315.0,,,
2004-06-01,10.641,163.0,163.0,,,
2004-07-01,12.236,187.0,187.0,,,
2004-08-01,14.109,216.0,216.0,,,
2004-09-01,9.152000000000001,140.0,140.0,,,
2004-10-01,14.638,224.0,224.0,,,
2004-11-01,6.261,96.0,96.0,,,
2004-12-01,17.867,273.0,273.0,,,
2005-01-01,,,,22.973000000000003,354.57,354.57
2005-02-01,,,,7.893000000000001,121.82,121.82
2005-03-01,,,,8.748000000000001,135.02,135.02
