measured_on,"Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Generation","Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Quantity Consumed For Electricity","Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Total Fuel Consumed",Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Generation,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Quantity Consumed For Electricity,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Total Fuel Consumed,Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2003-01-01,6584.0,67426.74,67426.74,,,,,,
2003-02-01,5888.0,60299.01,60299.01,,,,,,
2003-03-01,6416.0,65706.26,65706.26,,,,,,
2003-04-01,6056.0,62019.5,62019.5,,,,,,
2003-05-01,4624.0,47354.38,47354.38,,,,,,
2003-06-01,4464.0,45715.82,45715.82,,,,,,
2003-07-01,4232.0,43339.91,43339.91,,,,,,
2003-08-01,4304.0,44077.26,44077.26,,,,,,
2003-09-01,3752.0,38424.23,38424.23,,,,,,
2003-10-01,3984.0,40800.14,40800.14,,,,,,
2003-11-01,3896.0,39898.94,39898.94,,,,,,
2003-12-01,3944.0,40390.5,40390.5,,,,,,
2005-01-01,5439.345,54388.01,54388.01,,,,,,
2005-02-01,4592.836,45923.77,45923.77,,,,,,
2005-03-01,5199.5,51989.8,51989.8,,,,,,
2005-04-01,5202.327,52018.07,52018.07,,,,,,
2005-05-01,5524.353,55238.01,55238.01,,,,,,
2005-06-01,5455.273,54547.27,54547.27,,,,,,
2005-07-01,5579.859,55793.01,55793.01,,,,,,
2005-08-01,5511.419,55108.68,55108.68,,,,,,
2005-09-01,5393.2570000000005,53927.18,53927.18,,,,,,
2005-10-01,5524.035,55234.83,55234.83,,,,,,
2005-11-01,5361.905000000001,53613.69,53613.69,,,,,,
2005-12-01,5511.8910000000005,55113.4,55113.4,,,,,,
2006-01-01,5356.768,53133.78,53133.78,,,,,,
2006-02-01,4855.303,48159.75,48159.75,,,,,,
2006-03-01,5488.153,54436.99,54436.99,,,,,,
2006-04-01,4910.22,48704.47,48704.47,,,,,,
2006-05-01,4776.236,47375.48,47375.48,,,,,,
2006-06-01,5184.309,51423.16,51423.16,,,,,,
2006-07-01,5446.592000000001,54024.75,54024.75,,,,,,
2006-08-01,5561.518,55164.7,55164.7,,,,,,
2006-09-01,5263.274,52206.41,52206.41,,,,,,
2006-10-01,5485.457,54410.25,54410.25,,,,,,
2006-11-01,5312.904,52698.69,52698.69,,,,,,
2006-12-01,5543.267,54983.67,54983.67,,,,,,
2007-01-01,2850.63,28175.63,28175.63,,,,,,
2007-02-01,2342.141,23149.72,23149.72,,,,,,
2007-03-01,2607.501,25772.54,25772.54,,,,,,
2007-04-01,2427.485,23993.26,23993.26,,,,,,
2007-05-01,2056.986,20331.25,20331.25,,,,,,
2007-06-01,2383.1,23554.56,23554.56,,,,,,
2007-07-01,2355.159,23278.39,23278.39,,,,,,
2007-08-01,2408.6040000000003,23806.64,23806.64,,,,,,
2007-09-01,2326.724,22997.34,22997.34,,,,,,
2007-10-01,2388.011,23603.1,23603.1,,,,,,
2007-11-01,2366.237,23387.89,23387.89,,,,,,
2007-12-01,2485.422,24565.91,24565.91,,,,,,
2008-01-01,952.768,9388.58,9388.58,712.3810000000001,7019.8,7019.8,,,
2008-02-01,764.096,7529.400000000001,7529.400000000001,571.312,5629.71,5629.71,,,
2008-03-01,2784.481,27438.28,27438.28,2081.945,20515.49,20515.49,,,
2008-04-01,3043.26,29988.28,29988.28,2275.434,22422.13,22422.13,,,
2008-05-01,2985.5040000000004,29419.16,29419.16,2232.25,21996.59,21996.59,,,
2008-06-01,2787.6420000000003,27469.420000000002,27469.420000000002,2084.309,20538.78,20538.78,,,
2008-07-01,2756.504,27162.59,27162.59,2061.027,20309.36,20309.36,,,
2008-08-01,2754.077,27138.670000000002,27138.670000000002,2059.213,20291.48,20291.48,,,
2008-09-01,2652.1310000000003,26134.100000000002,26134.100000000002,1982.988,19540.36,19540.36,,,
2008-10-01,2934.844,28919.95,28919.95,2194.3720000000003,21623.34,21623.34,,,
2008-11-01,2906.683,28642.45,28642.45,2173.3160000000003,21415.86,21415.86,,,
2008-12-01,3062.01,30173.05,30173.05,2289.453,22560.27,22560.27,,,
2009-01-01,3697.348,36086.12,36086.12,2663.972,26000.37,26000.37,,,
2009-02-01,3379.67,32985.58,32985.58,2435.0840000000003,23766.42,23766.42,,,
2009-03-01,3819.467,37278.0,37278.0,2751.9610000000002,26859.14,26859.14,,,
2009-04-01,3508.628,34244.21,34244.21,2527.9990000000003,24673.27,24673.27,,,
2009-05-01,3277.309,31986.54,31986.54,2361.3320000000003,23046.6,23046.6,,,
2009-06-01,3447.2110000000002,33644.78,33644.78,2483.748,24241.38,24241.38,,,
2009-07-01,3420.6150000000002,33385.2,33385.2,2464.585,24054.35,24054.35,,,
2009-08-01,3466.61,33834.11,33834.11,2497.725,24377.8,24377.8,,,
2009-09-01,3335.954,32558.91,32558.91,2403.5860000000002,23459.0,23459.0,,,
2009-10-01,2604.6730000000002,25421.61,25421.61,1876.692,18316.51,18316.51,,,
