measured_on,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2024-01-01,2554.066,26661.0,26661.0
2024-02-01,1591.77,16616.0,16616.0
2024-03-01,1365.984,14259.0,14259.0
2024-04-01,1495.074,15607.0,15607.0
2024-05-01,2092.298,21842.0,21842.0
2024-06-01,2476.222,25849.0,25849.0
2024-07-01,2815.624,29392.0,29392.0
2024-08-01,2965.691,30958.0,30958.0
2024-09-01,2152.377,22469.0,22469.0
2024-10-01,1688.772,17628.0,17628.0
2024-11-01,1790.679,18692.0,18692.0
2024-12-01,1930.443,20152.0,20152.0
