measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,33.611000000000004,379.0,379.0,225.75300000000001,2547.0,2547.0
2003-02-01,30.347,342.0,342.0,203.828,2300.0,2300.0
2003-03-01,29.068,328.0,328.0,195.24,2203.0,2203.0
2003-04-01,24.444000000000003,275.0,275.0,164.18300000000002,1853.0,1853.0
2003-05-01,28.313000000000002,319.0,319.0,190.167,2146.0,2146.0
2003-06-01,31.914,360.0,360.0,214.352,2419.0,2419.0
2003-07-01,37.407000000000004,422.0,422.0,251.246,2835.0,2835.0
2003-08-01,38.138000000000005,430.0,430.0,256.156,2891.0,2891.0
2003-09-01,28.876,325.0,325.0,193.95100000000002,2189.0,2189.0
2003-10-01,28.396,320.0,320.0,190.725,2152.0,2152.0
2003-11-01,29.693,335.0,335.0,199.436,2250.0,2250.0
2003-12-01,33.792,381.0,381.0,226.964,2561.0,2561.0
2004-01-01,0.0,0.0,0.0,231.25,2987.0,2987.0
2004-02-01,0.0,0.0,0.0,231.25,2987.0,2987.0
2004-03-01,3.95,51.0,51.0,231.25,2987.0,2987.0
2004-04-01,0.304,4.0,4.0,231.25,2987.0,2987.0
2004-05-01,1.5190000000000001,20.0,20.0,231.25,2987.0,2987.0
2004-06-01,1.215,16.0,16.0,231.25,2987.0,2987.0
2004-07-01,9.115,118.0,118.0,231.25,2987.0,2987.0
2004-08-01,48.008,620.0,620.0,231.25,2987.0,2987.0
2004-09-01,1.5190000000000001,20.0,20.0,231.25,2987.0,2987.0
2004-10-01,6.077,78.0,78.0,231.25,2987.0,2987.0
2004-11-01,6.988,90.0,90.0,231.25,2987.0,2987.0
2004-12-01,0.304,4.0,4.0,231.25,2987.0,2987.0
2005-01-01,12.712,164.22,164.22,179.80200000000002,2321.14,2321.14
2005-02-01,4.367,56.42,56.42,143.842,1856.93,1856.93
2005-03-01,4.841,62.53,62.53,199.608,2576.83,2576.83
2005-04-01,5.863,75.75,75.75,189.479,2446.07,2446.07
2005-05-01,5.446000000000001,70.35,70.35,181.187,2339.02,2339.02
2005-06-01,7.0680000000000005,91.3,91.3,342.03,4415.41,4415.41
2005-07-01,7.194,92.94,92.94,450.266,5812.68,5812.68
2005-08-01,8.451,109.18,109.18,447.29400000000004,5774.31,5774.31
2005-09-01,5.532,71.47,71.47,270.808,3495.98,3495.98
2005-10-01,6.144,79.37,79.37,192.019,2478.85,2478.85
2005-11-01,4.939,63.81,63.81,168.28900000000002,2172.52,2172.52
2005-12-01,10.443,134.92,134.92,210.376,2715.84,2715.84
2006-01-01,7.051,595.0,595.0,275.824,3152.0,3152.0
2006-02-01,3.69,312.0,312.0,311.79400000000004,3563.0,3563.0
2006-03-01,3.099,262.0,262.0,410.87,4695.0,4695.0
2006-04-01,5.937,501.0,501.0,340.009,3885.0,3885.0
2006-05-01,5.55,469.0,469.0,447.879,5118.0,5118.0
2006-06-01,5.0440000000000005,426.0,426.0,576.919,6593.0,6593.0
2006-07-01,7.307,617.0,617.0,1032.377,11797.0,11797.0
2006-08-01,7.088,598.0,598.0,917.3580000000001,10483.0,10483.0
2006-09-01,3.2560000000000002,275.0,275.0,539.609,6166.0,6166.0
2006-10-01,3.44,290.0,290.0,584.503,6679.0,6679.0
2006-11-01,4.05,342.0,342.0,392.957,4490.0,4490.0
2006-12-01,4.488,379.0,379.0,398.9,4558.0,4558.0
2007-01-01,24.134,267.0,267.0,368.06300000000005,4025.0,4025.0
2007-02-01,38.356,417.0,417.0,571.275,6247.0,6247.0
2007-03-01,18.449,203.0,203.0,152.173,1665.0,1665.0
2007-04-01,17.052,185.0,185.0,279.204,3053.0,3053.0
2007-05-01,36.958,406.0,406.0,669.488,7322.0,7322.0
2007-06-01,10.345,116.0,116.0,890.027,9734.0,9734.0
2007-07-01,13.774000000000001,151.0,151.0,1316.182,14395.0,14395.0
2007-08-01,6.462000000000001,70.0,70.0,2008.92,21971.0,21971.0
2007-09-01,17.893,197.0,197.0,869.889,9514.0,9514.0
2007-10-01,21.275,232.0,232.0,724.722,7926.0,7926.0
2007-11-01,21.902,238.0,238.0,610.0830000000001,6672.0,6672.0
2007-12-01,30.438000000000002,330.0,330.0,652.937,7141.0,7141.0
2008-01-01,9.0,122.0,122.0,112.504,1493.0,1493.0
