measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed
2001-01-01,354.71700000000004,4173.0,4173.0
2001-02-01,307.242,3614.0,3614.0
2001-03-01,333.845,3927.0,3927.0
2001-04-01,283.61,3336.0,3336.0
2001-05-01,319.416,3757.0,3757.0
2001-06-01,337.995,3976.0,3976.0
2001-07-01,350.986,4129.0,4129.0
2001-08-01,360.79,4244.0,4244.0
2001-09-01,251.191,2955.0,2955.0
2001-10-01,284.35200000000003,3345.0,3345.0
2001-11-01,274.125,3225.0,3225.0
2001-12-01,306.73,3608.0,3608.0
2002-01-01,1628.643,19050.0,19050.0
2002-02-01,1468.602,17178.0,17178.0
2002-03-01,1674.047,19581.0,19581.0
2002-04-01,1613.713,18875.0,18875.0
2002-05-01,1498.261,17525.0,17525.0
2002-06-01,1795.65,21003.0,21003.0
2002-07-01,2065.29,24157.0,24157.0
2002-08-01,2028.1870000000001,23723.0,23723.0
2002-09-01,1817.6840000000002,21261.0,21261.0
2002-10-01,1748.535,20452.0,20452.0
2002-11-01,1785.373,20883.0,20883.0
2002-12-01,1838.0140000000001,21498.0,21498.0
