measured_on,Agricultural By-Products Generation,Agricultural By-Products Quantity Consumed For Electricity,Agricultural By-Products Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2007-01-01,,,,4678.552000000001,59826.0,99041.0,10709.448,136944.0,226710.0
2007-02-01,,,,3808.268,48331.0,75206.0,11339.732,143910.0,223938.0
2007-03-01,,,,2502.437,32882.0,52730.0,9490.563,124704.0,199980.0
2007-04-01,,,,811.1610000000001,10638.0,21476.0,4419.839,57969.0,117018.0
2007-05-01,,,,960.1260000000001,12435.0,17102.0,10437.874,135189.0,185922.0
2007-06-01,,,,3588.127,45297.0,55854.0,12668.873,159939.0,197208.0
2007-07-01,,,,2449.464,31075.0,37564.0,11981.536,152001.0,183744.0
2007-08-01,,,,3695.1730000000002,46700.0,60366.0,12895.827000000001,162981.0,210672.0
2007-09-01,,,,6352.759,79996.0,98465.0,7409.241,93303.0,114840.0
2007-10-01,,,,850.55,10738.0,15551.0,6194.45,78201.0,113256.0
2007-11-01,,,,2069.4610000000002,25913.0,35515.0,14329.539,179433.0,245916.0
2007-12-01,,,,2159.672,27544.0,43496.0,14186.328000000001,180927.0,285714.0
2008-01-01,,,,2190.745,27957.0,39780.0,13573.255000000001,173214.0,246466.0
2008-02-01,,,,2207.911,28262.0,41820.0,11245.089,143942.0,212993.0
2008-03-01,,,,701.068,9233.0,14280.0,5535.932000000001,72906.0,112761.0
2008-04-01,,,,710.274,9288.0,13260.0,5238.726000000001,68506.0,97801.0
2008-05-01,,,,246.73000000000002,3194.0,4692.0,9708.27,125666.0,184620.0
2008-06-01,,,,2113.032,26627.0,31620.0,15857.968,199828.0,237303.0
2008-07-01,,,,1928.6200000000001,24453.0,27540.0,16906.38,214353.0,241417.0
2008-08-01,,,,2824.9480000000003,35742.0,39780.0,14010.052,177258.0,197285.0
2008-09-01,,,,1979.9920000000002,25038.0,26520.0,15944.008000000002,201621.0,213554.0
2008-10-01,,,,549.668,7040.0,9690.0,11021.332,141166.0,194293.0
2008-11-01,,,,720.447,9210.0,13260.0,12913.553,165075.0,237677.0
2008-12-01,,,,2535.498,32381.0,48960.0,12434.502,158804.0,240108.0
2009-01-01,,,,2678.692,34359.0,54487.0,13370.308,171498.0,271966.0
2009-02-01,,,,2209.398,28452.0,41704.0,9939.602,128000.0,187616.0
2009-03-01,,,,594.9340000000001,7759.0,11272.0,9252.066,120668.0,175296.0
2009-04-01,,,,522.071,6897.0,10357.0,2838.929,37505.0,56320.0
