measured_on,"Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2018-02-01,545.565,6169.0,6169.0
2018-03-01,541.774,6126.0,6126.0
2018-04-01,514.641,5820.0,5820.0
2018-05-01,526.454,5953.0,5953.0
2018-06-01,527.058,5960.0,5960.0
2018-07-01,565.757,6398.0,6398.0
2018-08-01,589.563,6667.0,6667.0
2018-09-01,569.875,6444.0,6444.0
2018-10-01,574.302,6494.0,6494.0
2018-11-01,563.104,6368.0,6368.0
2018-12-01,598.907,6772.0,6772.0
2019-01-01,575.584,7192.0,7192.0
2019-02-01,526.665,6580.0,6580.0
2019-03-01,583.517,7290.0,7290.0
2019-04-01,541.35,6763.0,6763.0
2019-05-01,503.665,6293.0,6293.0
2019-06-01,511.683,6393.0,6393.0
2019-07-01,564.611,7054.0,7054.0
2019-08-01,589.039,7360.0,7360.0
2019-09-01,542.295,6775.0,6775.0
2019-10-01,482.829,6033.0,6033.0
2019-11-01,525.12,6561.0,6561.0
2019-12-01,566.642,7080.0,7080.0
2020-01-01,610.353,8234.0,8234.0
2020-02-01,549.022,7406.0,7406.0
2020-03-01,578.508,7804.0,7804.0
2020-04-01,541.431,7303.0,7303.0
2020-05-01,575.151,7759.0,7759.0
2020-06-01,530.104,7151.0,7151.0
2020-07-01,595.369,8032.0,8032.0
2020-08-01,568.432,7668.0,7668.0
2020-09-01,563.819,7605.0,7605.0
2020-10-01,542.623,7320.0,7320.0
2020-11-01,546.281,7369.0,7369.0
2020-12-01,487.907,6582.0,6582.0
2021-01-01,614.448,7564.0,7564.0
2021-02-01,570.701,7025.0,7025.0
2021-03-01,637.346,7846.0,7846.0
2021-04-01,528.835,6510.0,6510.0
2021-05-01,572.42,7047.0,7047.0
2021-06-01,588.15,7240.0,7240.0
2021-07-01,571.558,7036.0,7036.0
2021-08-01,567.895,6991.0,6991.0
2021-09-01,576.333,7095.0,7095.0
2021-10-01,564.606,6950.0,6950.0
2021-11-01,556.28,6848.0,6848.0
2021-12-01,557.428,6862.0,6862.0
2022-01-01,715.567,8601.0,8601.0
2022-02-01,633.699,7616.0,7616.0
2022-03-01,683.748,8217.0,8217.0
2022-04-01,532.138,6395.0,6395.0
2022-05-01,549.289,6601.0,6601.0
2022-06-01,610.039,7332.0,7332.0
2022-07-01,655.901,7883.0,7883.0
2022-08-01,689.99,8292.0,8292.0
2022-09-01,668.824,8039.0,8039.0
2022-10-01,673.258,8092.0,8092.0
2022-11-01,571.726,6872.0,6872.0
2022-12-01,651.821,7834.0,7834.0
2023-01-01,602.028,6972.0,6972.0
2023-02-01,584.663,6772.0,6772.0
2023-03-01,617.729,7155.0,7155.0
2023-04-01,588.845,6820.0,6820.0
2023-05-01,722.669,8370.0,8370.0
2023-06-01,646.069,7483.0,7483.0
2023-07-01,674.393,7810.0,7810.0
2023-08-01,724.203,8387.0,8387.0
2023-09-01,674.863,7816.0,7816.0
2023-10-01,636.136,7367.0,7367.0
2023-11-01,646.746,7491.0,7491.0
2023-12-01,729.656,8451.0,8451.0
2024-01-01,523.447,7678.0,7678.0
2024-02-01,455.6,6683.0,6683.0
2024-03-01,546.402,8015.0,8015.0
2024-04-01,447.732,6567.0,6567.0
2024-05-01,528.505,7753.0,7753.0
2024-06-01,493.127,7234.0,7234.0
2024-07-01,511.133,7498.0,7498.0
2024-08-01,516.549,7577.0,7577.0
2024-09-01,495.289,7265.0,7265.0
2024-10-01,479.301,7031.0,7031.0
2024-11-01,511.185,7498.0,7498.0
2024-12-01,534.73,7844.0,7844.0
