measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,30806.0,359833.0,359833.0,0.0,0.0,0.0
2003-02-01,38.0,557.0,557.0,0.0,0.0,0.0,20267.0,235914.0,235914.0,0.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,18.0,257.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,14.0,194.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,12.0,354.0,354.0,0.0,0.0,0.0,27412.0,292665.0,292665.0,0.0,0.0,0.0
2003-07-01,18.0,496.0,496.0,0.0,0.0,0.0,72145.0,762808.0,762808.0,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-01,88.0,1220.0,1220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,11.0,194.0,194.0,0.0,0.0,0.0,28900.0,310999.0,310999.0,0.0,0.0,0.0
2003-12-01,22.0,507.0,507.0,0.0,0.0,0.0,19605.0,240161.0,240161.0,0.0,0.0,0.0
2004-01-01,51.0,717.0,717.0,0.0,0.0,0.0,38587.0,444710.0,444710.0,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,19785.0,240922.0,240922.0,0.0,0.0,0.0
2004-03-01,93.0,1091.0,1091.0,0.0,0.0,0.0,0.0,23508.0,23508.0,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0,20515.0,220956.0,220956.0,0.0,0.0,0.0
2004-05-01,0.0,12.0,12.0,0.0,0.0,0.0,0.0,494.0,494.0,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,13751.0,185419.0,185419.0,0.0,0.0,0.0
2004-07-01,55.0,950.0,950.0,0.0,0.0,0.0,43717.0,465517.0,465517.0,0.0,0.0,0.0
2004-08-01,65.0,1284.0,1284.0,0.0,0.0,0.0,0.0,15399.0,15399.0,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-10-01,0.0,229.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,10956.0,128108.0,128108.0,0.0,0.0,0.0
2004-12-01,9.0,147.0,147.0,0.0,0.0,0.0,13352.0,126899.0,126899.0,0.0,0.0,0.0
2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-01,46.0,620.6,620.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-01,15.0,243.6,243.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0,0.0,0.0,0.0,17971.0,188437.01,188437.01,0.0,0.0,0.0
2005-06-01,87.0,2092.02,2092.02,0.0,0.0,0.0,62049.0,653909.92,653909.92,0.0,0.0,0.0
2005-07-01,35.0,855.56,855.56,0.0,0.0,0.0,47921.0,534289.84,534289.84,0.0,0.0,0.0
2005-08-01,134.0,2783.5,2783.5,0.0,0.0,0.0,86616.0,902602.39,902602.39,0.0,0.0,0.0
2005-09-01,0.0,0.0,0.0,0.0,0.0,0.0,32303.0,349818.9,349818.9,0.0,0.0,0.0
2005-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-01,0.0,87.9,87.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-01,43.0,621.0,621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,10.0,158.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-01,10.0,182.0,182.0,0.0,0.0,0.0,15070.0,225336.0,225336.0,0.0,0.0,0.0
2006-04-01,0.0,0.0,0.0,0.0,0.0,0.0,1819.0,26450.0,26450.0,0.0,0.0,0.0
2006-05-01,40.0,422.0,422.0,0.0,0.0,0.0,47665.0,531208.0,531208.0,0.0,0.0,0.0
2006-06-01,81.0,1119.0,1119.0,0.0,0.0,0.0,49024.0,525038.0,525038.0,0.0,0.0,0.0
2006-07-01,61.0,1096.0,1096.0,0.0,0.0,0.0,77250.0,845871.0,845871.0,0.0,0.0,0.0
2006-08-01,0.0,0.0,0.0,0.0,0.0,0.0,20634.0,194944.0,194944.0,0.0,0.0,0.0
2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-01,0.0,162.0,162.0,0.0,0.0,0.0,0.0,288.0,288.0,0.0,0.0,0.0
2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-01,47.0,644.0,644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-01,14.0,203.0,203.0,0.0,0.0,0.0,13259.0,153860.0,153860.0,0.0,0.0,0.0
2007-05-01,47.0,893.0,893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-01,25.0,273.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-01,40.0,615.0,615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-01,68.0,598.0,598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
